FACILITY_NUMBER,COUNTY,pub_priv_headstart,CITY,FACILITY_NAME,ENROLLMENT,n,pct,vac_info_type,REPORTED
10214883,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START . ANGELA AGUILAR CENTER,63,.,98,childcare,Y
13417425,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START . SUE MATHESON CENTER,47,.,95,childcare,Y
13420593,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START. COLLEGE OF ALAMEDA HEAD START,44,.,95,childcare,Y
13417441,ALAMEDA,PRIVATE,ALAMEDA,SUGAR AND SPICE,,.,.,childcare,N
6151211,ALAMEDA,PRIVATE,ALAMEDA,MCKINNEY CHRISTIAN ACADEMY,,.,.,kindergarten,N
6151211,ALAMEDA,PRIVATE,ALAMEDA,MCKINNEY CHRISTIAN ACADEMY,,.,.,7th grade,N
13415928,ALAMEDA,PRIVATE,ALAMEDA,BRIGHT HORIZONS AT GARNER,109,.,99,childcare,Y
13419403,ALAMEDA,PRIVATE,ALAMEDA,PETER PAN SCHOOL,100,.,99,childcare,Y
13418175,ALAMEDA,PRIVATE,ALAMEDA,FUZZY CATERPILLAR,72,.,98,childcare,Y
13419405,ALAMEDA,PRIVATE,ALAMEDA,PETER PAN ACADEMY,50,.,98,childcare,Y
13420949,ALAMEDA,PRIVATE,ALAMEDA,RISING STAR MONTESSORI SCHOOL,75,.,98,childcare,Y
13418967,ALAMEDA,PRIVATE,ALAMEDA,SMALL SIZE BIG MIND PRESCHOOL & INFANT CENTER,55,.,98,childcare,Y
13411388,ALAMEDA,PRIVATE,ALAMEDA,ABC PRESCHOOL,30,.,95,childcare,Y
10206014,ALAMEDA,PRIVATE,ALAMEDA,BAYSIDE MONTESSORI ASSOCIATION,23,.,95,childcare,Y
10210145,ALAMEDA,PRIVATE,ALAMEDA,CHILD UNIQUE MONT. SCHOOL,20,.,95,childcare,Y
13420947,ALAMEDA,PRIVATE,ALAMEDA,"CHILD UNIQUE MONTESSORI SCHOOL, THE",44,.,95,childcare,Y
13414800,ALAMEDA,PRIVATE,ALAMEDA,"CHILD UNIQUE MONTESSORI SCHOOL, THE",30,.,95,childcare,Y
13420896,ALAMEDA,PRIVATE,ALAMEDA,HAPPY LITTLE WORLD,20,.,95,childcare,Y
10200356,ALAMEDA,PRIVATE,ALAMEDA,KIDDIE KAMPUS COOPERATIVE PLAY SCHOOL,31,.,95,childcare,Y
13419407,ALAMEDA,PRIVATE,ALAMEDA,LITTLE SEEDS CHILDREN'S CENTER,40,.,95,childcare,Y
13418182,ALAMEDA,PRIVATE,ALAMEDA,LUNA'S MONTESSORI BILINGUAL SCHOOL,43,.,95,childcare,Y
13420950,ALAMEDA,PRIVATE,ALAMEDA,RISING STAR MONTESSORI CHILDREN'S COTTAGE,38,.,95,childcare,Y
13415259,ALAMEDA,PRIVATE,ALAMEDA,SEEDLING CHILD MONTESSORI SCHOOL,30,.,95,childcare,Y
10210438,ALAMEDA,PRIVATE,ALAMEDA,SON.LIGHT PRESCHOOL,33,.,95,childcare,Y
13422056,ALAMEDA,PRIVATE,ALAMEDA,SUPER SCHOLARS,30,.,95,childcare,Y
13422027,ALAMEDA,PRIVATE,ALAMEDA,TINY TREASURES PRESCHOOL,34,.,95,childcare,Y
10213754,ALAMEDA,PRIVATE,ALAMEDA,WEE CARE PRESCHOOL AND CHILD CARE,43,.,95,childcare,Y
6204697,ALAMEDA,PRIVATE,ALAMEDA,CHINESE CHRISTIAN SCHOOLS?ALAMEDA,45,.,95,kindergarten,Y
6973077,ALAMEDA,PRIVATE,ALAMEDA,ST. PHILIP NERI ELEMENTARY,34,.,95,kindergarten,Y
6204697,ALAMEDA,PRIVATE,ALAMEDA,CHINESE CHRISTIAN SCHOOLS ALAMEDA,31,.,95,7th grade,Y
6965891,ALAMEDA,PRIVATE,ALAMEDA,ST. JOSEPH ELEMENTARY,31,.,95,7th grade,Y
6973077,ALAMEDA,PRIVATE,ALAMEDA,ST. PHILIP NERI ELEMENTARY,35,.,95,7th grade,Y
13420589,ALAMEDA,PUBLIC,ALAMEDA,A.U.S.D.. WOODSTOCK CHILD DEVELOPMENT CENTER,104,.,99,childcare,Y
6100374,ALAMEDA,PUBLIC,ALAMEDA,AMELIA EARHART ELEMENTARY,149,.,99,kindergarten,Y
6090054,ALAMEDA,PUBLIC,ALAMEDA,LINCOLN MIDDLE,278,.,99,7th grade,Y
6090112,ALAMEDA,PUBLIC,ALAMEDA,WILL C. WOOD MIDDLE,183,.,99,7th grade,Y
6110779,ALAMEDA,PUBLIC,ALAMEDA,BAY FARM,73,.,98,kindergarten,Y
6090013,ALAMEDA,PUBLIC,ALAMEDA,EDISON ELEMENTARY,73,.,98,kindergarten,Y
131805,ALAMEDA,PUBLIC,ALAMEDA,THE ACADEMY OF ALAMEDA ELEMENTARY,50,.,98,kindergarten,Y
130609,ALAMEDA,PUBLIC,ALAMEDA,ALAMEDA COMMUNITY LEARNING CENTER,59,.,98,7th grade,Y
6090021,ALAMEDA,PUBLIC,ALAMEDA,FRANK OTIS ELEMENTARY,103,101,98,kindergarten,Y
6090047,ALAMEDA,PUBLIC,ALAMEDA,HENRY HAIGHT ELEMENTARY,124,121,98,kindergarten,Y
122085,ALAMEDA,PUBLIC,ALAMEDA,THE ACADEMY OF ALAMEDA,178,175,98,7th grade,Y
6090120,ALAMEDA,PUBLIC,ALAMEDA,WILLIAM G. PADEN ELEMENTARY,100,97,97,kindergarten,Y
111765,ALAMEDA,PUBLIC,ALAMEDA,RUBY BRIDGES ELEMENTARY,100,96,96,kindergarten,Y
13421982,ALAMEDA,PUBLIC,ALAMEDA,SON RISE PRESCHOOL,22,.,95,childcare,Y
6090039,ALAMEDA,PUBLIC,ALAMEDA,FRANKLIN ELEMENTARY,49,.,95,kindergarten,Y
119222,ALAMEDA,PUBLIC,ALAMEDA,NEA COMMUNITY LEARNING CENTER,48,.,95,kindergarten,Y
6110779,ALAMEDA,PUBLIC,ALAMEDA,BAY FARM,46,.,95,7th grade,Y
119222,ALAMEDA,PUBLIC,ALAMEDA,NEA COMMUNITY LEARNING CENTER,27,.,95,7th grade,Y
13412625,ALAMEDA,PUBLIC,ALAMEDA,"KINDERCARE LEARNING CENTER, #1335",57,54,95,childcare,Y
126656,ALAMEDA,PUBLIC,ALAMEDA,MAYA LIN,75,68,91,kindergarten,Y
132142,ALAMEDA,PUBLIC,ALAMEDA,ENCINAL JUNIOR/SENIOR HIGH,105,84,80,7th grade,Y
13421397,ALAMEDA,UNKNOWN,ALAMEDA,JUMPSTART DISCOVERIES LEARNING CENTER,,.,.,childcare,N
10209917,ALAMEDA,PRIVATE,ALBANY,ALBANY PRESCHOOL,56,54,96,childcare,Y
13412710,ALAMEDA,PRIVATE,ALBANY,BAY AREA KINDER STUBE,28,.,95,childcare,Y
13422035,ALAMEDA,PRIVATE,ALBANY,KIDS INTO SPEAKING SPANISH,24,.,95,childcare,Y
13418159,ALAMEDA,PRIVATE,ALBANY,LITTLE VILLAGE PRESCHOOL,22,.,95,childcare,Y
13421418,ALAMEDA,PRIVATE,ALBANY,RISING SUN MONTESSORI SCHOOL,21,.,95,childcare,Y
13420549,ALAMEDA,PUBLIC,ALBANY,ALBANY CHILDREN'S CENTER,72,.,98,childcare,Y
6090146,ALAMEDA,PUBLIC,ALBANY,CORNELL ELEMENTARY,69,.,98,kindergarten,Y
6095376,ALAMEDA,PUBLIC,ALBANY,MARIN ELEMENTARY,92,.,98,kindergarten,Y
6090161,ALAMEDA,PUBLIC,ALBANY,ALBANY MIDDLE,260,255,98,7th grade,Y
6116222,ALAMEDA,PUBLIC,ALBANY,OCEAN VIEW ELEMENTARY,155,150,97,kindergarten,Y
13420548,ALAMEDA,PUBLIC,ALBANY,UCB . UNIVERSITY VILLAGE ECEP,40,.,95,childcare,Y
