GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC04_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC04_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104,HC01_VC108,HC02_VC108,HC03_VC108,HC04_VC108,HC01_VC109,HC02_VC109,HC03_VC109,HC04_VC109,HC01_VC110,HC02_VC110,HC03_VC110,HC04_VC110
1600000US0600135,600135,"Acalanes Ridge CDP, California",1000,338,1000,(X),409,146,40.9,8.4,591,232,59.1,8.4,33,33,3.3,3.5,41,39,4.1,3.8,126,97,12.6,8.7,92,65,9.2,6.2,0,12,0,3.2,132,120,13.2,9.6,58,45,5.8,4.6,146,83,14.6,7.7,176,171,17.6,13.7,91,68,9.1,7.3,73,54,7.3,5.7,17,27,1.7,2.9,15,25,1.5,2.7,46.1,6.3,(X),(X),708,280,70.8,12.5,708,280,70.8,12.5,138,79,13.8,9.9,105,65,10.5,8.1,708,280,708,(X),279,101,39.4,6.5,429,192,60.6,6.5,105,65,105,(X),57,46,54.3,24.5,48,37,45.7,24.5,1000,338,1000,(X),839,237,83.9,17,161,198,16.1,17,839,237,83.9,17,630,209,63,15.7,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,209,146,20.9,14.7,0,12,0,3.2,118,119,11.8,11.6,37,59,3.7,5.9,0,12,0,3.2,41,66,4.1,6.8,0,12,0,3.2,13,21,1.3,2.3,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,161,198,16.1,17,0,12,0,3.2,0,12,0,3.2,161,198,16.1,17,0,12,0,3.2,1000,338,1000,(X),791,331,79.1,14.7,0,12,0,3.2,0,12,0,3.2,370,230,37,15.7,0,12,0,3.2,0,12,0,3.2,1000,338,1000,(X),0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,0,12,0,3.2,1000,338,100,3.2,630,209,63,15.7,0,12,0,3.2,0,12,0,3.2,209,146,20.9,14.7,0,12,0,3.2,0,12,0,3.2,161,198,16.1,17,0,12,0,3.2,161,198,16.1,17,361,92,(X),(X),695,281,695,(X),279,101,40.1,7.1,416,194,59.9,7.1
1600000US0600156,600156,"Acampo CDP, California",466,398,466,(X),291,277,62.4,13.7,175,137,37.6,13.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,62,87,13.3,12,85,100,18.2,14,15,25,3.2,8.9,101,157,21.7,35.4,53,73,11.4,10.3,52,74,11.2,10.4,98,152,21,33.3,0,12,0,6.7,0,12,0,6.7,53.3,14.8,(X),(X),466,398,100,6.7,466,398,100,6.7,98,152,21,33.3,98,152,21,33.3,466,398,466,(X),291,277,62.4,13.7,175,137,37.6,13.7,98,152,98,(X),48,75,49,2.2,50,78,51,2.2,466,398,466,(X),466,398,100,6.7,0,12,0,6.7,466,398,100,6.7,466,398,100,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,466,398,466,(X),466,398,100,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,466,398,466,(X),0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,466,398,100,6.7,466,398,100,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,0,12,0,6.7,178,122,(X),(X),466,398,466,(X),291,277,62.4,13.7,175,137,37.6,13.7
1600000US0600212,600212,"Acton CDP, California",7170,555,7170,(X),3776,318,52.7,1.8,3394,292,47.3,1.8,350,201,4.9,2.6,312,128,4.4,1.6,352,103,4.9,1.4,370,137,5.2,1.9,591,183,8.2,2.4,464,152,6.5,2,681,108,9.5,1.4,1245,195,17.4,3,1076,220,15,2.9,643,152,9,2,752,157,10.5,2.5,301,151,4.2,2,33,42,0.5,0.6,50,2,(X),(X),5959,398,83.1,3.4,5653,378,78.8,3.9,1485,220,20.7,2.7,1086,156,15.1,2.1,5959,398,5959,(X),3168,261,53.2,2,2791,198,46.8,2,1086,156,1086,(X),545,100,50.2,6.7,541,112,49.8,6.7,7170,555,7170,(X),7070,567,98.6,1.1,100,75,1.4,1.1,7070,567,98.6,1.1,6284,576,87.6,3.3,120,75,1.7,1,15,24,0.2,0.3,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,67,63,0.9,0.9,39,53,0.5,0.7,0,17,0,0.5,28,33,0.4,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,584,216,8.1,3,100,75,1.4,1.1,17,23,0.2,0.3,38,58,0.5,0.8,10,16,0.1,0.2,11,15,0.2,0.2,7170,555,7170,(X),6350,567,88.6,3.1,155,78,2.2,1.1,65,67,0.9,1,100,73,1.4,1,17,27,0.2,0.4,584,216,8.1,3,7170,555,7170,(X),1103,207,15.4,2.8,831,211,11.6,2.8,54,78,0.8,1.1,80,113,1.1,1.6,138,107,1.9,1.5,6067,533,84.6,2.8,5710,541,79.6,3.1,120,75,1.7,1,15,24,0.2,0.3,67,63,0.9,0.9,0,17,0,0.5,56,91,0.8,1.3,99,75,1.4,1.1,0,17,0,0.5,99,75,1.4,1.1,2848,113,(X),(X),5777,411,5777,(X),3020,279,52.3,2.2,2757,199,47.7,2.2
1600000US0600296,600296,"Adelanto city, California",32311,35,32311,(X),16350,651,50.6,2,15961,650,49.4,2,3148,416,9.7,1.3,3647,483,11.3,1.5,3350,336,10.4,1,2866,389,8.9,1.2,2675,394,8.3,1.2,4517,545,14,1.7,4083,415,12.6,1.3,3631,391,11.2,1.2,1265,294,3.9,0.9,1197,257,3.7,0.8,1137,244,3.5,0.8,614,186,1.9,0.6,181,95,0.6,0.3,26.2,1.9,(X),(X),20370,599,63,1.9,18643,584,57.7,1.8,2507,333,7.8,1,1932,286,6,0.9,20370,599,20370,(X),10307,562,50.6,2,10063,426,49.4,2,1932,286,1932,(X),839,190,43.4,8.4,1093,244,56.6,8.4,32311,35,32311,(X),30548,633,94.5,2,1763,632,5.5,2,30548,633,94.5,2,19574,1276,60.6,4,6067,891,18.8,2.8,103,113,0.3,0.3,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,515,175,1.6,0.5,0,25,0,0.1,29,50,0.1,0.2,124,66,0.4,0.2,8,12,0,0.1,23,41,0.1,0.1,57,63,0.2,0.2,274,155,0.8,0.5,18,30,0.1,0.1,18,30,0.1,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,4271,843,13.2,2.6,1763,632,5.5,2,749,554,2.3,1.7,197,181,0.6,0.6,90,72,0.3,0.2,11,17,0,0.1,32311,35,32311,(X),20961,1267,64.9,3.9,7116,937,22,2.9,522,266,1.6,0.8,839,214,2.6,0.7,76,76,0.2,0.2,4708,916,14.6,2.8,32311,35,32311,(X),19902,862,61.6,2.7,16710,979,51.7,3,498,318,1.5,1,23,29,0.1,0.1,2671,654,8.3,2,12409,863,38.4,2.7,5036,687,15.6,2.1,5810,849,18,2.6,12,21,0,0.1,497,179,1.5,0.6,0,25,0,0.1,47,55,0.1,0.2,1007,571,3.1,1.8,10,18,0,0.1,997,570,3.1,1.8,9144,432,(X),(X),16322,990,16322,(X),8399,706,51.5,2.4,7923,539,48.5,2.4
1600000US0600310,600310,"Adin CDP, California",155,91,155,(X),59,40,38.1,13.8,96,60,61.9,13.8,7,16,4.5,10.3,0,12,0,18.8,18,29,11.6,13.8,20,27,12.9,13.2,0,12,0,18.8,5,13,3.2,9.4,10,14,6.5,9.7,15,24,9.7,11.6,28,34,18.1,21,12,15,7.7,10.1,15,17,9.7,10.8,12,13,7.7,9.3,13,21,8.4,13.7,57.3,20.4,(X),(X),115,58,74.2,25.7,110,60,71,25.6,52,38,33.5,26.4,40,29,25.8,20,115,58,115,(X),52,33,45.2,15.8,63,35,54.8,15.8,40,29,40,(X),25,21,62.5,42.5,15,21,37.5,42.5,155,91,155,(X),150,92,96.8,9.1,5,13,3.2,9.1,150,92,96.8,9.1,150,92,96.8,9.1,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,5,13,3.2,9.1,5,13,3.2,9.1,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,155,91,155,(X),155,91,100,18.8,5,13,3.2,9.1,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,155,91,155,(X),0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,155,91,100,18.8,150,92,96.8,9.1,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,0,12,0,18.8,5,13,3.2,9.1,0,12,0,18.8,5,13,3.2,9.1,89,39,(X),(X),115,58,115,(X),52,33,45.2,15.8,63,35,54.8,15.8
1600000US0600394,600394,"Agoura Hills city, California",20689,34,20689,(X),10132,362,49,1.7,10557,362,51,1.7,910,287,4.4,1.4,1180,280,5.7,1.4,1571,312,7.6,1.5,1606,286,7.8,1.4,1027,246,5,1.2,1597,284,7.7,1.4,2768,403,13.4,1.9,4161,404,20.1,2,1865,309,9,1.5,1223,239,5.9,1.2,2006,281,9.7,1.4,574,170,2.8,0.8,201,101,1,0.5,44.5,0.8,(X),(X),15806,367,76.4,1.8,15202,395,73.5,1.9,3643,386,17.6,1.9,2781,295,13.4,1.4,15806,367,15806,(X),7842,393,49.6,2,7964,336,50.4,2,2781,295,2781,(X),1464,205,52.6,4.7,1317,189,47.4,4.7,20689,34,20689,(X),20074,237,97,1.2,615,239,3,1.2,20074,237,97,1.2,17829,607,86.2,2.9,314,162,1.5,0.8,10,16,0,0.1,0,22,0,0.2,0,22,0,0.2,0,22,0,0.2,0,22,0,0.2,1320,343,6.4,1.7,314,189,1.5,0.9,402,251,1.9,1.2,208,151,1,0.7,165,133,0.8,0.6,67,74,0.3,0.4,0,22,0,0.2,164,123,0.8,0.6,0,22,0,0.2,0,22,0,0.2,0,22,0,0.2,0,22,0,0.2,0,22,0,0.2,601,478,2.9,2.3,615,239,3,1.2,35,46,0.2,0.2,71,85,0.3,0.4,322,188,1.6,0.9,20,31,0.1,0.1,20689,34,20689,(X),18347,559,88.7,2.7,442,200,2.1,1,120,119,0.6,0.6,1747,408,8.4,2,40,58,0.2,0.3,684,479,3.3,2.3,20689,34,20689,(X),2618,747,12.7,3.6,1507,532,7.3,2.6,118,98,0.6,0.5,132,141,0.6,0.7,861,393,4.2,1.9,18071,751,87.3,3.6,15894,814,76.8,3.9,313,162,1.5,0.8,10,16,0,0.1,1302,344,6.3,1.7,0,22,0,0.2,90,75,0.4,0.4,462,209,2.2,1,25,30,0.1,0.1,437,208,2.1,1,7735,361,(X),(X),14749,628,14749,(X),7329,446,49.7,2.2,7420,448,50.3,2.2
1600000US0600450,600450,"Agua Dulce CDP, California",3541,414,3541,(X),1814,230,51.2,3.9,1727,264,48.8,3.9,208,70,5.9,1.9,127,74,3.6,2.2,187,123,5.3,3.3,231,134,6.5,3.4,151,90,4.3,2.3,368,104,10.4,2.9,248,85,7,2.4,739,156,20.9,3.4,420,141,11.9,3.8,255,95,7.2,2.9,455,121,12.8,3.1,127,53,3.6,1.5,25,35,0.7,1,47.4,3.1,(X),(X),2868,329,81,4.1,2759,284,77.9,5.2,744,132,21,3.6,607,128,17.1,3.3,2868,329,2868,(X),1495,179,52.1,2.8,1373,186,47.9,2.8,607,128,607,(X),358,89,59,5.8,249,58,41,5.8,3541,414,3541,(X),3170,347,89.5,6.9,371,263,10.5,6.9,3170,347,89.5,6.9,3009,369,85,7.2,13,15,0.4,0.4,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,58,97,1.6,2.8,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,58,97,1.6,2.8,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,0,12,0,0.9,90,65,2.5,1.9,371,263,10.5,6.9,21,26,0.6,0.7,275,241,7.8,6.4,14,22,0.4,0.6,0,12,0,0.9,3541,414,3541,(X),3380,436,95.5,3.2,50,42,1.4,1.2,291,243,8.2,6.4,72,101,2,2.9,0,12,0,0.9,135,91,3.8,2.6,3541,414,3541,(X),696,202,19.7,5.3,497,156,14,4.6,74,137,2.1,3.7,0,12,0,0.9,125,83,3.5,2.4,2845,388,80.3,5.3,2527,357,71.4,6.5,8,12,0.2,0.3,0,12,0,0.9,58,97,1.6,2.8,0,12,0,0.9,0,12,0,0.9,252,212,7.1,5.8,0,12,0,0.9,252,212,7.1,5.8,1236,86,(X),(X),2751,345,2751,(X),1460,190,53.1,3,1291,191,46.9,3
1600000US0600464,600464,"Aguanga CDP, California",673,309,673,(X),306,141,45.5,8.6,367,190,54.5,8.6,0,12,0,4.7,36,41,5.3,5.9,46,53,6.8,6.7,71,73,10.5,8.6,0,12,0,4.7,54,41,8,6.6,98,89,14.6,11.3,8,20,1.2,2.7,177,180,26.3,22.1,27,44,4,6.5,58,57,8.6,7.8,75,71,11.1,9.6,23,37,3.4,5.5,56.1,22.3,(X),(X),549,256,81.6,12.6,520,246,77.3,13.7,183,131,27.2,16.6,156,109,23.2,14.1,549,256,549,(X),260,125,47.4,8.7,289,149,52.6,8.7,156,109,156,(X),82,69,52.6,25.5,74,61,47.4,25.5,673,309,673,(X),673,309,100,4.7,0,12,0,4.7,673,309,100,4.7,571,310,84.8,19.1,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,102,127,15.2,19.1,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,673,309,673,(X),571,310,84.8,19.1,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,102,127,15.2,19.1,673,309,673,(X),228,162,33.9,22.1,178,150,26.4,20.9,0,12,0,4.7,0,12,0,4.7,50,81,7.4,11.9,445,271,66.1,22.1,445,271,66.1,22.1,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,0,12,0,4.7,323,145,(X),(X),549,256,549,(X),260,125,47.4,8.7,289,149,52.6,8.7
1600000US0600478,600478,"Ahwahnee CDP, California",2225,495,2225,(X),1178,319,52.9,5.9,1047,238,47.1,5.9,101,124,4.5,5.2,157,115,7.1,4.3,117,107,5.3,4.4,94,76,4.2,3.1,138,120,6.2,4.8,179,144,8,5.7,134,115,6,4.7,171,123,7.7,5.8,223,135,10,6.5,144,80,6.5,3.8,341,150,15.3,6.9,417,174,18.7,8.9,9,12,0.4,0.6,55.2,10.7,(X),(X),1761,317,79.1,10.1,1756,316,78.9,10,835,204,37.5,11.2,767,193,34.5,10.5,1761,317,1761,(X),895,172,50.8,4.3,866,178,49.2,4.3,767,193,767,(X),490,144,63.9,10.8,277,112,36.1,10.8,2225,495,2225,(X),2189,492,98.4,1.8,36,40,1.6,1.8,2189,492,98.4,1.8,2157,486,96.9,2.8,0,12,0,1.4,32,51,1.4,2.3,32,51,1.4,2.3,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,36,40,1.6,1.8,0,12,0,1.4,8,12,0.4,0.6,0,12,0,1.4,0,12,0,1.4,2225,495,2225,(X),2193,489,98.6,2.3,0,12,0,1.4,40,50,1.8,2.2,0,12,0,1.4,5,9,0.2,0.4,23,37,1,1.6,2225,495,2225,(X),47,46,2.1,2.1,13,23,0.6,1,0,12,0,1.4,0,12,0,1.4,34,40,1.5,1.8,2178,498,97.9,2.1,2133,492,95.9,3.1,0,12,0,1.4,32,51,1.4,2.3,0,12,0,1.4,0,12,0,1.4,0,12,0,1.4,13,15,0.6,0.7,0,12,0,1.4,13,15,0.6,0.7,1069,169,(X),(X),1761,317,1761,(X),895,172,50.8,4.3,866,178,49.2,4.3
1600000US0600535,600535,"Airport CDP, California",1605,393,1605,(X),892,218,55.6,8.1,713,247,44.4,8.1,260,148,16.2,6.7,146,70,9.1,3.3,81,51,5,2.8,82,71,5.1,4.3,94,71,5.9,4.5,343,115,21.4,4.8,235,99,14.6,5.7,153,78,9.5,5.1,20,19,1.2,1.3,54,51,3.4,3.1,98,74,6.1,4.8,39,32,2.4,2.1,0,12,0,2,30,3.4,(X),(X),1086,209,67.7,8.4,1036,199,64.5,8.1,171,95,10.7,6,137,85,8.5,5.5,1086,209,1086,(X),620,127,57.1,8.4,466,145,42.9,8.4,137,85,137,(X),32,26,23.4,16.6,105,73,76.6,16.6,1605,393,1605,(X),1599,393,99.6,0.6,6,10,0.4,0.6,1599,393,99.6,0.6,1484,403,92.5,5.6,42,43,2.6,2.7,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,73,66,4.5,4.3,6,10,0.4,0.6,0,12,0,2,6,10,0.4,0.6,0,12,0,2,0,12,0,2,1605,393,1605,(X),1490,403,92.8,5.5,42,43,2.6,2.7,6,10,0.4,0.6,0,12,0,2,0,12,0,2,73,66,4.5,4.3,1605,393,1605,(X),1254,377,78.1,10.4,1213,387,75.6,11.2,9,14,0.6,0.9,0,12,0,2,32,50,2,3.3,351,167,21.9,10.4,303,175,18.9,10.9,42,43,2.6,2.7,0,12,0,2,0,12,0,2,0,12,0,2,0,12,0,2,6,10,0.4,0.6,0,12,0,2,6,10,0.4,0.6,573,97,(X),(X),775,168,775,(X),420,111,54.2,10.6,355,122,45.8,10.6
