FACILITY_NUMBER,COUNTY,pub_priv_headstart,CITY,STATE,FACILITY_NAME,ENROLLMENT,n,pct,vac_info_type,REPORTED
10214883,ALAMEDA,HEAD START,ALAMEDA,CA,ALAMEDA HEAD START . ANGELA AGUILAR CENTER,63,61,98,childcare,Y
13417425,ALAMEDA,HEAD START,ALAMEDA,CA,ALAMEDA HEAD START . SUE MATHESON CENTER,47,44,95,childcare,Y
13420593,ALAMEDA,HEAD START,ALAMEDA,CA,ALAMEDA HEAD START. COLLEGE OF ALAMEDA HEAD START,44,41,95,childcare,Y
13415928,ALAMEDA,PRIVATE,ALAMEDA,CA,BRIGHT HORIZONS AT GARNER,109,107,99,childcare,Y
13419403,ALAMEDA,PRIVATE,ALAMEDA,CA,PETER PAN SCHOOL,100,99,99,childcare,Y
13418175,ALAMEDA,PRIVATE,ALAMEDA,CA,FUZZY CATERPILLAR,72,70,98,childcare,Y
13419405,ALAMEDA,PRIVATE,ALAMEDA,CA,PETER PAN ACADEMY,50,49,98,childcare,Y
13420949,ALAMEDA,PRIVATE,ALAMEDA,CA,RISING STAR MONTESSORI SCHOOL,75,73,98,childcare,Y
13418967,ALAMEDA,PRIVATE,ALAMEDA,CA,SMALL SIZE BIG MIND PRESCHOOL & INFANT CENTER,55,53,98,childcare,Y
13411388,ALAMEDA,PRIVATE,ALAMEDA,CA,ABC PRESCHOOL,30,28,95,childcare,Y
10206014,ALAMEDA,PRIVATE,ALAMEDA,CA,BAYSIDE MONTESSORI ASSOCIATION,23,21,95,childcare,Y
10210145,ALAMEDA,PRIVATE,ALAMEDA,CA,CHILD UNIQUE MONT. SCHOOL,20,19,95,childcare,Y
13420947,ALAMEDA,PRIVATE,ALAMEDA,CA,"CHILD UNIQUE MONTESSORI SCHOOL, THE",44,41,95,childcare,Y
13414800,ALAMEDA,PRIVATE,ALAMEDA,CA,"CHILD UNIQUE MONTESSORI SCHOOL, THE",30,28,95,childcare,Y
13420896,ALAMEDA,PRIVATE,ALAMEDA,CA,HAPPY LITTLE WORLD,20,19,95,childcare,Y
10200356,ALAMEDA,PRIVATE,ALAMEDA,CA,KIDDIE KAMPUS COOPERATIVE PLAY SCHOOL,31,29,95,childcare,Y
13419407,ALAMEDA,PRIVATE,ALAMEDA,CA,LITTLE SEEDS CHILDREN'S CENTER,40,38,95,childcare,Y
13418182,ALAMEDA,PRIVATE,ALAMEDA,CA,LUNA'S MONTESSORI BILINGUAL SCHOOL,43,40,95,childcare,Y
13420950,ALAMEDA,PRIVATE,ALAMEDA,CA,RISING STAR MONTESSORI CHILDREN'S COTTAGE,38,36,95,childcare,Y
13415259,ALAMEDA,PRIVATE,ALAMEDA,CA,SEEDLING CHILD MONTESSORI SCHOOL,30,28,95,childcare,Y
10210438,ALAMEDA,PRIVATE,ALAMEDA,CA,SON.LIGHT PRESCHOOL,33,31,95,childcare,Y
13422056,ALAMEDA,PRIVATE,ALAMEDA,CA,SUPER SCHOLARS,30,28,95,childcare,Y
13422027,ALAMEDA,PRIVATE,ALAMEDA,CA,TINY TREASURES PRESCHOOL,34,32,95,childcare,Y
10213754,ALAMEDA,PRIVATE,ALAMEDA,CA,WEE CARE PRESCHOOL AND CHILD CARE,43,40,95,childcare,Y
6204697,ALAMEDA,PRIVATE,ALAMEDA,CA,CHINESE CHRISTIAN SCHOOLS?ALAMEDA,45,42,95,kindergarten,Y
