,COUNTY,CITY,vac_info_type,n
0,Alameda,Alameda,7th grade,931
1,Alameda,Alameda,childcare,1231
2,Alameda,Alameda,kindergarten,986
3,Alameda,Albany,7th grade,255
4,Alameda,Albany,childcare,249
5,Alameda,Albany,kindergarten,307
6,Alameda,Berkeley,7th grade,908
7,Alameda,Berkeley,childcare,2346
8,Alameda,Berkeley,kindergarten,860
9,Alameda,Castro Valley,7th grade,776
10,Alameda,Castro Valley,childcare,797
11,Alameda,Castro Valley,kindergarten,864
12,Alameda,Dublin,7th grade,939
13,Alameda,Dublin,childcare,1275
14,Alameda,Dublin,kindergarten,1150
15,Alameda,Emeryville,7th grade,50
16,Alameda,Emeryville,childcare,238
17,Alameda,Emeryville,kindergarten,70
18,Alameda,Fremont,7th grade,2855
19,Alameda,Fremont,childcare,4388
20,Alameda,Fremont,kindergarten,3743
21,Alameda,Hayward,7th grade,1803
22,Alameda,Hayward,childcare,1852
23,Alameda,Hayward,kindergarten,2101
24,Alameda,Livermore,7th grade,1047
25,Alameda,Livermore,childcare,1439
26,Alameda,Livermore,kindergarten,1331
27,Alameda,Newark,7th grade,514
28,Alameda,Newark,childcare,1015
29,Alameda,Newark,kindergarten,673
30,Alameda,Oakland,7th grade,4118
31,Alameda,Oakland,childcare,4446
32,Alameda,Oakland,kindergarten,5354
33,Alameda,Piedmont,7th grade,237
34,Alameda,Piedmont,childcare,57
35,Alameda,Piedmont,kindergarten,196
36,Alameda,Pleasanton,7th grade,1236
37,Alameda,Pleasanton,childcare,2088
38,Alameda,Pleasanton,kindergarten,1058
39,Alameda,San Leandro,7th grade,1005
40,Alameda,San Leandro,childcare,1083
41,Alameda,San Leandro,kindergarten,1038
42,Alameda,San Lorenzo,7th grade,680
43,Alameda,San Lorenzo,childcare,342
44,Alameda,San Lorenzo,kindergarten,390
45,Alameda,Sunol,7th grade,30
46,Alameda,Sunol,childcare,25
47,Alameda,Sunol,kindergarten,34
48,Alameda,Union City,7th grade,938
49,Alameda,Union City,childcare,491
50,Alameda,Union City,kindergarten,862
51,Amador,Ione,kindergarten,87
52,Amador,Jackson,7th grade,291
53,Amador,Jackson,childcare,36
54,Amador,Jackson,kindergarten,114
55,Amador,Pioneer,kindergarten,45
56,Amador,Plymouth,7th grade,21
57,Amador,Plymouth,childcare,34
58,Amador,Plymouth,kindergarten,28
59,Amador,Sutter Creek,kindergarten,63
60,Butte,Biggs,7th grade,34
61,Butte,Biggs,kindergarten,55
62,Butte,Chico,7th grade,959
63,Butte,Chico,childcare,1429
64,Butte,Chico,kindergarten,1178
65,Butte,Durham,7th grade,75
66,Butte,Durham,childcare,28
67,Butte,Durham,kindergarten,94
68,Butte,Gridley,7th grade,189
69,Butte,Gridley,childcare,137
70,Butte,Gridley,kindergarten,214
71,Butte,Magalia,7th grade,62
72,Butte,Magalia,childcare,84
73,Butte,Magalia,kindergarten,88
74,Butte,Oroville,7th grade,437
75,Butte,Oroville,childcare,662
76,Butte,Oroville,kindergarten,720
77,Butte,Palermo,7th grade,133
78,Butte,Palermo,childcare,59
79,Butte,Paradise,7th grade,224
80,Butte,Paradise,childcare,251
81,Butte,Paradise,kindergarten,266
82,Calaveras,Angels Camp,7th grade,104
83,Calaveras,Angels Camp,childcare,19
84,Calaveras,Angels Camp,kindergarten,47
85,Calaveras,Arnold,kindergarten,38
86,Calaveras,Avery,7th grade,62
87,Calaveras,Copperopolis,kindergarten,35
88,Calaveras,Murphys,kindergarten,36
89,Calaveras,San Andreas,7th grade,14
90,Calaveras,San Andreas,childcare,19
91,Calaveras,San Andreas,kindergarten,60
92,Calaveras,Valley Springs,7th grade,218
93,Calaveras,Valley Springs,kindergarten,166
94,Colusa,Arbuckle,7th grade,111
95,Colusa,Arbuckle,childcare,85
96,Colusa,Arbuckle,kindergarten,111
97,Colusa,Colusa,7th grade,208
98,Colusa,Colusa,childcare,78
99,Colusa,Colusa,kindergarten,117
100,Colusa,Maxwell,7th grade,19
101,Colusa,Maxwell,kindergarten,24
102,Colusa,Williams,7th grade,106
103,Colusa,Williams,childcare,71
104,Colusa,Williams,kindergarten,131
105,Contra Costa,Alamo,7th grade,188
106,Contra Costa,Alamo,childcare,335
107,Contra Costa,Alamo,kindergarten,128
108,Contra Costa,Antioch,7th grade,1129
109,Contra Costa,Antioch,childcare,701
110,Contra Costa,Antioch,kindergarten,1314
111,Contra Costa,Bay Point,7th grade,255
112,Contra Costa,Bay Point,childcare,257
113,Contra Costa,Bay Point,kindergarten,231
114,Contra Costa,Brentwood,7th grade,1075
115,Contra Costa,Brentwood,childcare,1042
116,Contra Costa,Brentwood,kindergarten,1049
117,Contra Costa,Byron,7th grade,217
118,Contra Costa,Byron,kindergarten,35
119,Contra Costa,Clayton,7th grade,246
120,Contra Costa,Clayton,childcare,148
121,Contra Costa,Clayton,kindergarten,132
122,Contra Costa,Concord,7th grade,924
123,Contra Costa,Concord,childcare,1813
124,Contra Costa,Concord,kindergarten,1524
125,Contra Costa,Crockett,7th grade,110
126,Contra Costa,Danville,7th grade,1025
127,Contra Costa,Danville,childcare,1280
128,Contra Costa,Danville,kindergarten,853
129,Contra Costa,Discovery Bay,childcare,138
130,Contra Costa,Discovery Bay,kindergarten,133
131,Contra Costa,El Cerrito,7th grade,531
132,Contra Costa,El Cerrito,childcare,230
133,Contra Costa,El Cerrito,kindergarten,237
134,Contra Costa,El Sobrante,7th grade,246
135,Contra Costa,El Sobrante,childcare,132
136,Contra Costa,El Sobrante,kindergarten,166
137,Contra Costa,Hercules,7th grade,206
138,Contra Costa,Hercules,childcare,73
139,Contra Costa,Hercules,kindergarten,211
140,Contra Costa,Kensington,childcare,211
141,Contra Costa,Kensington,kindergarten,73
142,Contra Costa,Knightsen,7th grade,76
143,Contra Costa,Knightsen,kindergarten,49
144,Contra Costa,Lafayette,7th grade,407
145,Contra Costa,Lafayette,childcare,850
146,Contra Costa,Lafayette,kindergarten,422
147,Contra Costa,Martinez,7th grade,311
148,Contra Costa,Martinez,childcare,625
149,Contra Costa,Martinez,kindergarten,500
150,Contra Costa,Moraga,7th grade,208
151,Contra Costa,Moraga,childcare,485
152,Contra Costa,Moraga,kindergarten,165
153,Contra Costa,Oakley,7th grade,648
154,Contra Costa,Oakley,childcare,264
155,Contra Costa,Oakley,kindergarten,721
156,Contra Costa,Orinda,7th grade,292
157,Contra Costa,Orinda,childcare,385
158,Contra Costa,Orinda,kindergarten,283
159,Contra Costa,Pinole,7th grade,326
160,Contra Costa,Pinole,childcare,94
161,Contra Costa,Pinole,kindergarten,191
162,Contra Costa,Pittsburg,7th grade,858
163,Contra Costa,Pittsburg,childcare,753
164,Contra Costa,Pittsburg,kindergarten,1063
165,Contra Costa,Pleasant Hill,7th grade,894
166,Contra Costa,Pleasant Hill,childcare,764
167,Contra Costa,Pleasant Hill,kindergarten,626
168,Contra Costa,Richmond,7th grade,798
169,Contra Costa,Richmond,childcare,1352
170,Contra Costa,Richmond,kindergarten,1423
171,Contra Costa,Rodeo,7th grade,32
172,Contra Costa,Rodeo,childcare,122
173,Contra Costa,Rodeo,kindergarten,170
174,Contra Costa,San Pablo,7th grade,474
175,Contra Costa,San Pablo,childcare,344
176,Contra Costa,San Pablo,kindergarten,437
177,Contra Costa,San Ramon,7th grade,1600
178,Contra Costa,San Ramon,childcare,1096
179,Contra Costa,San Ramon,kindergarten,1294
180,Contra Costa,Walnut Creek,7th grade,995
181,Contra Costa,Walnut Creek,childcare,1725
182,Contra Costa,Walnut Creek,kindergarten,952
183,Contra Costa,Walnut Creet,childcare,56
184,Del Norte,Crescent City,7th grade,261
185,Del Norte,Crescent City,childcare,221
186,Del Norte,Crescent City,kindergarten,287
187,Del Norte,Smith River,7th grade,21
188,Del Norte,Smith River,kindergarten,24
189,El Dorado,Cameron Park,7th grade,257
190,El Dorado,Cameron Park,childcare,127
191,El Dorado,Cameron Park,kindergarten,96
192,El Dorado,Camino,7th grade,32
193,El Dorado,Camino,kindergarten,53
194,El Dorado,Cool,childcare,20
195,El Dorado,Cool,kindergarten,38
196,El Dorado,Diamond Springs,childcare,118
197,El Dorado,El Dorado Hills,7th grade,640
198,El Dorado,El Dorado Hills,childcare,674
199,El Dorado,El Dorado Hills,kindergarten,639
200,El Dorado,Garden Valley,7th grade,74
201,El Dorado,Georgetown,kindergarten,56
202,El Dorado,Placerville,7th grade,434
203,El Dorado,Placerville,childcare,304
204,El Dorado,Placerville,kindergarten,438
205,El Dorado,Pollock Pines,7th grade,93
206,El Dorado,Pollock Pines,childcare,30
207,El Dorado,Pollock Pines,kindergarten,69
208,El Dorado,Rescue,7th grade,159
209,El Dorado,Rescue,childcare,19
210,El Dorado,Rescue,kindergarten,172
211,El Dorado,Shingle Springs,7th grade,37
212,El Dorado,Shingle Springs,childcare,110
213,El Dorado,Shingle Springs,kindergarten,120
214,El Dorado,Somerset,7th grade,29
215,El Dorado,Somerset,kindergarten,24
216,El Dorado,South Lake Tahoe,7th grade,300
217,El Dorado,South Lake Tahoe,childcare,374
218,El Dorado,South Lake Tahoe,kindergarten,331
219,Fresno,Auberry,childcare,19
220,Fresno,Cantua Creek,childcare,19
221,Fresno,Cantua Creek,kindergarten,19
222,Fresno,Caruthers,7th grade,130
223,Fresno,Caruthers,childcare,80
224,Fresno,Caruthers,kindergarten,140
225,Fresno,Clovis,7th grade,2233
226,Fresno,Clovis,childcare,2348
227,Fresno,Clovis,kindergarten,2042
228,Fresno,Coalinga,7th grade,202
229,Fresno,Coalinga,childcare,208
230,Fresno,Coalinga,kindergarten,265
231,Fresno,Del Rey,kindergarten,25
232,Fresno,Dunlap,7th grade,35
233,Fresno,Dunlap,kindergarten,48
234,Fresno,Firebaugh,7th grade,139
235,Fresno,Firebaugh,childcare,215
236,Fresno,Firebaugh,kindergarten,151
237,Fresno,Five Points,7th grade,19
238,Fresno,Five Points,childcare,45
239,Fresno,Five Points,kindergarten,22
240,Fresno,Fowler,7th grade,217
241,Fresno,Fowler,childcare,145
242,Fresno,Fowler,kindergarten,171
243,Fresno,Fresno,7th grade,8307
244,Fresno,Fresno,childcare,7928
245,Fresno,Fresno,kindergarten,10544
246,Fresno,Huron,7th grade,120
247,Fresno,Huron,childcare,87
248,Fresno,Huron,kindergarten,155
249,Fresno,Kerman,7th grade,429
250,Fresno,Kerman,childcare,268
251,Fresno,Kerman,kindergarten,441
252,Fresno,Kingsburg,7th grade,262
253,Fresno,Kingsburg,childcare,228
254,Fresno,Kingsburg,kindergarten,295
255,Fresno,Laton,7th grade,50
256,Fresno,Laton,childcare,53
257,Fresno,Laton,kindergarten,62
258,Fresno,Mendota,7th grade,249
259,Fresno,Mendota,childcare,177
260,Fresno,Mendota,kindergarten,338
261,Fresno,Orange Cove,7th grade,218
262,Fresno,Orange Cove,childcare,214
263,Fresno,Orange Cove,kindergarten,228
264,Fresno,Parlier,7th grade,350
265,Fresno,Parlier,childcare,232
266,Fresno,Parlier,kindergarten,333
267,Fresno,Pinedale,childcare,157
268,Fresno,Pinedale,kindergarten,185
269,Fresno,Prather,kindergarten,91
270,Fresno,Raisin City,7th grade,30
271,Fresno,Raisin City,childcare,21
272,Fresno,Raisin City,kindergarten,45
273,Fresno,Reedley,7th grade,527
274,Fresno,Reedley,childcare,483
275,Fresno,Reedley,kindergarten,578
276,Fresno,Riverdale,7th grade,122
277,Fresno,Riverdale,childcare,94
278,Fresno,Riverdale,kindergarten,121
279,Fresno,San Joaquin,7th grade,59
280,Fresno,San Joaquin,childcare,90
281,Fresno,San Joaquin,kindergarten,79
282,Fresno,Sanger,7th grade,918
283,Fresno,Sanger,childcare,446
284,Fresno,Sanger,kindergarten,680
285,Fresno,Selma,7th grade,940
286,Fresno,Selma,childcare,524
287,Fresno,Selma,kindergarten,482
288,Fresno,Simi Valley,7th grade,43
289,Fresno,Simi Valley,kindergarten,34
290,Fresno,Tollhouse,7th grade,100
291,Fresno,Tollhouse,childcare,22
292,Fresno,Tranquillity,7th grade,33
293,Glenn,Hamilton City,7th grade,35
294,Glenn,Hamilton City,childcare,60
295,Glenn,Hamilton City,kindergarten,51
296,Glenn,Orland,7th grade,228
297,Glenn,Orland,childcare,82
298,Glenn,Orland,kindergarten,249
299,Glenn,Willows,7th grade,133
300,Glenn,Willows,childcare,111
301,Glenn,Willows,kindergarten,139
302,Humboldt,Arcata,7th grade,152
303,Humboldt,Arcata,childcare,345
304,Humboldt,Arcata,kindergarten,201
305,Humboldt,Bayside,7th grade,50
306,Humboldt,Bayside,kindergarten,58
307,Humboldt,Blue Lake,childcare,19
308,Humboldt,Blue Lake,kindergarten,20
309,Humboldt,Briceland,childcare,18
310,Humboldt,Carlotta,childcare,25
311,Humboldt,Carlotta,kindergarten,20
312,Humboldt,Eureka,7th grade,487
313,Humboldt,Eureka,childcare,569
314,Humboldt,Eureka,kindergarten,504
315,Humboldt,Ferndale,7th grade,30
316,Humboldt,Ferndale,childcare,38
317,Humboldt,Ferndale,kindergarten,33
318,Humboldt,Fortuna,7th grade,135
319,Humboldt,Fortuna,childcare,143
320,Humboldt,Fortuna,kindergarten,169
321,Humboldt,Hoopa,7th grade,51
322,Humboldt,Hoopa,kindergarten,35
323,Humboldt,Hydesville,7th grade,19
324,Humboldt,Mckinleyville,7th grade,118
325,Humboldt,Mckinleyville,childcare,86
326,Humboldt,Mckinleyville,kindergarten,156
327,Humboldt,Miranda,7th grade,48
328,Humboldt,Petrolia,7th grade,31
329,Humboldt,Petrolia,kindergarten,64
330,Humboldt,Redway,childcare,29
331,Humboldt,Redway,kindergarten,41
332,Humboldt,Rio Dell,7th grade,33
333,Humboldt,Rio Dell,kindergarten,34
334,Humboldt,Trinidad,7th grade,25
335,Humboldt,Trinidad,kindergarten,31
336,Humboldt,Willow Creek,7th grade,23
337,Humboldt,Willow Creek,kindergarten,30
338,Imperial,Brawley,7th grade,466
339,Imperial,Brawley,childcare,462
340,Imperial,Brawley,kindergarten,436
341,Imperial,Calexico,7th grade,811
342,Imperial,Calexico,childcare,588
343,Imperial,Calexico,kindergarten,700
344,Imperial,Calipatria,7th grade,93
345,Imperial,Calipatria,childcare,36
346,Imperial,Calipatria,kindergarten,78
347,Imperial,El Centro,7th grade,911
348,Imperial,El Centro,childcare,891
349,Imperial,El Centro,kindergarten,1013
350,Imperial,Heber,7th grade,145
351,Imperial,Heber,childcare,59
352,Imperial,Heber,kindergarten,314
353,Imperial,Holtville,7th grade,301
354,Imperial,Holtville,childcare,77
355,Imperial,Holtville,kindergarten,115
356,Imperial,Imperial,7th grade,355
357,Imperial,Imperial,childcare,199
358,Imperial,Imperial,kindergarten,353
359,Imperial,Salton City,childcare,21
360,Imperial,Seeley,7th grade,29
361,Imperial,Seeley,childcare,29
362,Imperial,Seeley,kindergarten,42
363,Imperial,Westmorland,7th grade,40
364,Imperial,Westmorland,childcare,22
365,Imperial,Westmorland,kindergarten,39
366,Imperial,Winterhaven,7th grade,54
367,Imperial,Winterhaven,childcare,19
368,Imperial,Winterhaven,kindergarten,49
369,Inyo,Bishop,7th grade,140
370,Inyo,Bishop,childcare,97
371,Inyo,Bishop,kindergarten,149
372,Inyo,Lone Pine,7th grade,20
373,Inyo,Lone Pine,kindergarten,26
374,Kern,Arvin,7th grade,441
375,Kern,Arvin,childcare,287
376,Kern,Arvin,kindergarten,479
377,Kern,Bakersfield,7th grade,9560
378,Kern,Bakersfield,childcare,5939
379,Kern,Bakersfield,kindergarten,10535
380,Kern,Boron,7th grade,55
381,Kern,Boron,childcare,34
382,Kern,Boron,kindergarten,36
383,Kern,Buttonwillow,7th grade,36
384,Kern,Buttonwillow,childcare,22
385,Kern,Buttonwillow,kindergarten,38
386,Kern,California City,7th grade,150
387,Kern,California City,childcare,69
388,Kern,California City,kindergarten,160
389,Kern,Delano,7th grade,933
390,Kern,Delano,childcare,750
391,Kern,Delano,kindergarten,918
392,Kern,Edwards,kindergarten,141
393,Kern,Frazier Park,childcare,23
394,Kern,Inyokern,kindergarten,29
395,Kern,Kernville,kindergarten,19
396,Kern,Lake Isabella,7th grade,90
397,Kern,Lake Isabella,childcare,104
398,Kern,Lake Isabella,kindergarten,93
399,Kern,Lamont,childcare,257
400,Kern,Lamont,kindergarten,393
401,Kern,Lebec,7th grade,50
402,Kern,Lebec,kindergarten,46
403,Kern,Lost Hills,7th grade,54
404,Kern,Lost Hills,childcare,38
405,Kern,Lost Hills,kindergarten,89
406,Kern,Maricopa,7th grade,90
407,Kern,Maricopa,kindergarten,284
408,Kern,Mcfarland,7th grade,293
409,Kern,Mcfarland,childcare,121
410,Kern,Mcfarland,kindergarten,292
411,Kern,Mojave,7th grade,65
412,Kern,Mojave,childcare,32
413,Kern,Mojave,kindergarten,60
414,Kern,Ridgecrest,7th grade,399
415,Kern,Ridgecrest,childcare,416
416,Kern,Ridgecrest,kindergarten,465
417,Kern,Rosamond,7th grade,265
418,Kern,Rosamond,childcare,224
419,Kern,Rosamond,kindergarten,380
420,Kern,Shafter,7th grade,385
421,Kern,Shafter,childcare,224
422,Kern,Shafter,kindergarten,492
423,Kern,Simi Valley,7th grade,96
424,Kern,Simi Valley,kindergarten,94
425,Kern,Taft,7th grade,233
426,Kern,Taft,childcare,190
427,Kern,Taft,kindergarten,218
428,Kern,Tehachapi,7th grade,329
429,Kern,Tehachapi,childcare,200
430,Kern,Tehachapi,kindergarten,368
431,Kern,Tupman,7th grade,24
432,Kern,Wasco,7th grade,418
433,Kern,Wasco,childcare,218
434,Kern,Wasco,kindergarten,533
435,Kern,Weldon,7th grade,22
436,Kern,Weldon,childcare,20
437,Kern,Weldon,kindergarten,27
438,Kings,Armona,7th grade,119
439,Kings,Armona,childcare,92
440,Kings,Armona,kindergarten,105
441,Kings,Avenal,7th grade,177
442,Kings,Avenal,childcare,196
