,COUNTY,CITY,vac_info_type,pct
0,Alameda,Alameda,7th grade,94.9
1,Alameda,Alameda,childcare,96.0
2,Alameda,Alameda,kindergarten,96.38461538461539
3,Alameda,Albany,7th grade,98.0
4,Alameda,Albany,childcare,95.57142857142857
5,Alameda,Albany,kindergarten,97.66666666666667
6,Alameda,Berkeley,7th grade,96.75
7,Alameda,Berkeley,childcare,92.75
8,Alameda,Berkeley,kindergarten,91.33333333333333
9,Alameda,Castro Valley,7th grade,97.0
10,Alameda,Castro Valley,childcare,89.38461538461539
11,Alameda,Castro Valley,kindergarten,97.41666666666667
12,Alameda,Dublin,7th grade,97.2
13,Alameda,Dublin,childcare,92.85714285714286
14,Alameda,Dublin,kindergarten,97.8
15,Alameda,Emeryville,7th grade,96.0
16,Alameda,Emeryville,childcare,96.0
17,Alameda,Emeryville,kindergarten,98.0
18,Alameda,Fremont,7th grade,96.0
19,Alameda,Fremont,childcare,96.1969696969697
20,Alameda,Fremont,kindergarten,97.53846153846153
21,Alameda,Hayward,7th grade,97.27272727272727
22,Alameda,Hayward,childcare,95.74285714285715
23,Alameda,Hayward,kindergarten,97.21428571428571
24,Alameda,Livermore,7th grade,96.125
25,Alameda,Livermore,childcare,96.41666666666667
26,Alameda,Livermore,kindergarten,96.92857142857143
27,Alameda,Newark,7th grade,97.33333333333333
28,Alameda,Newark,childcare,96.61111111111111
29,Alameda,Newark,kindergarten,96.8
30,Alameda,Oakland,7th grade,96.11320754716981
31,Alameda,Oakland,childcare,95.47311827956989
32,Alameda,Oakland,kindergarten,95.1547619047619
33,Alameda,Piedmont,7th grade,97.0
34,Alameda,Piedmont,childcare,95.0
35,Alameda,Piedmont,kindergarten,95.75
36,Alameda,Pleasanton,7th grade,99.0
37,Alameda,Pleasanton,childcare,95.8
38,Alameda,Pleasanton,kindergarten,98.3
39,Alameda,San Leandro,7th grade,97.0
40,Alameda,San Leandro,childcare,95.20833333333333
41,Alameda,San Leandro,kindergarten,97.61538461538461
42,Alameda,San Lorenzo,7th grade,96.8
43,Alameda,San Lorenzo,childcare,95.375
44,Alameda,San Lorenzo,kindergarten,97.6
45,Alameda,Sunol,7th grade,95.0
46,Alameda,Sunol,childcare,95.0
47,Alameda,Sunol,kindergarten,94.0
48,Alameda,Union City,7th grade,97.33333333333333
49,Alameda,Union City,childcare,95.08333333333333
50,Alameda,Union City,kindergarten,98.57142857142857
51,Amador,Ione,kindergarten,97.0
52,Amador,Jackson,7th grade,99.0
53,Amador,Jackson,childcare,90.0
54,Amador,Jackson,kindergarten,91.0
55,Amador,Pioneer,kindergarten,95.0
56,Amador,Plymouth,7th grade,95.0
57,Amador,Plymouth,childcare,95.0
58,Amador,Plymouth,kindergarten,95.0
59,Amador,Sutter Creek,kindergarten,98.0
60,Butte,Biggs,7th grade,95.0
61,Butte,Biggs,kindergarten,96.0
62,Butte,Chico,7th grade,88.0
63,Butte,Chico,childcare,93.55882352941177
64,Butte,Chico,kindergarten,93.61111111111111
65,Butte,Durham,7th grade,98.0
66,Butte,Durham,childcare,95.0
67,Butte,Durham,kindergarten,98.0
68,Butte,Gridley,7th grade,97.0
69,Butte,Gridley,childcare,95.75
70,Butte,Gridley,kindergarten,96.0
71,Butte,Magalia,7th grade,98.0
72,Butte,Magalia,childcare,93.33333333333333
73,Butte,Magalia,kindergarten,94.0
74,Butte,Oroville,7th grade,97.4
75,Butte,Oroville,childcare,93.53333333333333
76,Butte,Oroville,kindergarten,94.45454545454545
77,Butte,Palermo,7th grade,99.0
78,Butte,Palermo,childcare,94.0
79,Butte,Paradise,7th grade,93.5
80,Butte,Paradise,childcare,93.6
81,Butte,Paradise,kindergarten,96.25
82,Calaveras,Angels Camp,7th grade,98.0
83,Calaveras,Angels Camp,childcare,95.0
84,Calaveras,Angels Camp,kindergarten,92.0
85,Calaveras,Arnold,kindergarten,93.0
86,Calaveras,Avery,7th grade,98.0
87,Calaveras,Copperopolis,kindergarten,83.0
88,Calaveras,Murphys,kindergarten,88.0
89,Calaveras,San Andreas,7th grade,30.0
90,Calaveras,San Andreas,childcare,95.0
91,Calaveras,San Andreas,kindergarten,70.0
92,Calaveras,Valley Springs,7th grade,99.0
93,Calaveras,Valley Springs,kindergarten,95.0
94,Colusa,Arbuckle,7th grade,99.0
95,Colusa,Arbuckle,childcare,95.0
96,Colusa,Arbuckle,kindergarten,99.0
