facility_num,county,is_public,city,facility_name,enrollment,n,pct,vac_info_type,reported
10214883,Alameda,HEAD START,Alameda,ALAMEDA HEAD START . ANGELA AGUILAR CENTER,63,61,98,ChildCareData,Y
13417425,Alameda,HEAD START,Alameda,ALAMEDA HEAD START . SUE MATHESON CENTER,47,44,95,ChildCareData,Y
13420593,Alameda,HEAD START,Alameda,ALAMEDA HEAD START. COLLEGE OF ALAMEDA HEAD START,44,41,95,ChildCareData,Y
13415928,Alameda,PRIVATE,Alameda,BRIGHT HORIZONS AT GARNER,109,107,99,ChildCareData,Y
13419403,Alameda,PRIVATE,Alameda,PETER PAN SCHOOL,100,99,99,ChildCareData,Y
13418175,Alameda,PRIVATE,Alameda,FUZZY CATERPILLAR,72,70,98,ChildCareData,Y
13419405,Alameda,PRIVATE,Alameda,PETER PAN ACADEMY,50,49,98,ChildCareData,Y
13420949,Alameda,PRIVATE,Alameda,RISING STAR MONTESSORI SCHOOL,75,73,98,ChildCareData,Y
13418967,Alameda,PRIVATE,Alameda,SMALL SIZE BIG MIND PRESCHOOL & INFANT CENTER,55,53,98,ChildCareData,Y
13411388,Alameda,PRIVATE,Alameda,ABC PRESCHOOL,30,28,95,ChildCareData,Y
10206014,Alameda,PRIVATE,Alameda,BAYSIDE MONTESSORI ASSOCIATION,23,21,95,ChildCareData,Y
10210145,Alameda,PRIVATE,Alameda,CHILD UNIQUE MONT. SCHOOL,20,19,95,ChildCareData,Y
13420947,Alameda,PRIVATE,Alameda,"CHILD UNIQUE MONTESSORI SCHOOL, THE",44,41,95,ChildCareData,Y
13414800,Alameda,PRIVATE,Alameda,"CHILD UNIQUE MONTESSORI SCHOOL, THE",30,28,95,ChildCareData,Y
13420896,Alameda,PRIVATE,Alameda,HAPPY LITTLE WORLD,20,19,95,ChildCareData,Y
10200356,Alameda,PRIVATE,Alameda,KIDDIE KAMPUS COOPERATIVE PLAY SCHOOL,31,29,95,ChildCareData,Y
13419407,Alameda,PRIVATE,Alameda,LITTLE SEEDS CHILDREN'S CENTER,40,38,95,ChildCareData,Y
13418182,Alameda,PRIVATE,Alameda,LUNA'S MONTESSORI BILINGUAL SCHOOL,43,40,95,ChildCareData,Y
13420950,Alameda,PRIVATE,Alameda,RISING STAR MONTESSORI CHILDREN'S COTTAGE,38,36,95,ChildCareData,Y
13415259,Alameda,PRIVATE,Alameda,SEEDLING CHILD MONTESSORI SCHOOL,30,28,95,ChildCareData,Y
10210438,Alameda,PRIVATE,Alameda,SON.LIGHT PRESCHOOL,33,31,95,ChildCareData,Y
13422056,Alameda,PRIVATE,Alameda,SUPER SCHOLARS,30,28,95,ChildCareData,Y
13422027,Alameda,PRIVATE,Alameda,TINY TREASURES PRESCHOOL,34,32,95,ChildCareData,Y
10213754,Alameda,PRIVATE,Alameda,WEE CARE PRESCHOOL AND CHILD CARE,43,40,95,ChildCareData,Y
6204697,Alameda,PRIVATE,Alameda,CHINESE CHRISTIAN SCHOOLS?ALAMEDA,45,42,95,KindergartenData,Y
6973077,Alameda,PRIVATE,Alameda,ST. PHILIP NERI ELEMENTARY,34,32,95,KindergartenData,Y
6204697,Alameda,PRIVATE,Alameda,CHINESE CHRISTIAN SCHOOLS ALAMEDA,31,29,95,7thGradeData,Y
6965891,Alameda,PRIVATE,Alameda,ST. JOSEPH ELEMENTARY,31,29,95,7thGradeData,Y
6973077,Alameda,PRIVATE,Alameda,ST. PHILIP NERI ELEMENTARY,35,33,95,7thGradeData,Y
13420589,Alameda,PUBLIC,Alameda,A.U.S.D.. WOODSTOCK CHILD DEVELOPMENT CENTER,104,102,99,ChildCareData,Y
6100374,Alameda,PUBLIC,Alameda,AMELIA EARHART ELEMENTARY,149,147,99,KindergartenData,Y
6090054,Alameda,PUBLIC,Alameda,LINCOLN MIDDLE,278,275,99,7thGradeData,Y
6090112,Alameda,PUBLIC,Alameda,WILL C. WOOD MIDDLE,183,181,99,7thGradeData,Y
6110779,Alameda,PUBLIC,Alameda,BAY FARM,73,71,98,KindergartenData,Y
6090013,Alameda,PUBLIC,Alameda,EDISON ELEMENTARY,73,71,98,KindergartenData,Y
131805,Alameda,PUBLIC,Alameda,THE ACADEMY OF ALAMEDA ELEMENTARY,50,49,98,KindergartenData,Y
130609,Alameda,PUBLIC,Alameda,ALAMEDA COMMUNITY LEARNING CENTER,59,57,98,7thGradeData,Y
6090021,Alameda,PUBLIC,Alameda,FRANK OTIS ELEMENTARY,103,101,98,KindergartenData,Y
6090047,Alameda,PUBLIC,Alameda,HENRY HAIGHT ELEMENTARY,124,121,98,KindergartenData,Y
122085,Alameda,PUBLIC,Alameda,THE ACADEMY OF ALAMEDA,178,175,98,7thGradeData,Y
6090120,Alameda,PUBLIC,Alameda,WILLIAM G. PADEN ELEMENTARY,100,97,97,KindergartenData,Y
111765,Alameda,PUBLIC,Alameda,RUBY BRIDGES ELEMENTARY,100,96,96,KindergartenData,Y
13421982,Alameda,PUBLIC,Alameda,SON RISE PRESCHOOL,22,20,95,ChildCareData,Y
6090039,Alameda,PUBLIC,Alameda,FRANKLIN ELEMENTARY,49,46,95,KindergartenData,Y
119222,Alameda,PUBLIC,Alameda,NEA COMMUNITY LEARNING CENTER,48,45,95,KindergartenData,Y
6110779,Alameda,PUBLIC,Alameda,BAY FARM,46,43,95,7thGradeData,Y
119222,Alameda,PUBLIC,Alameda,NEA COMMUNITY LEARNING CENTER,27,25,95,7thGradeData,Y
13412625,Alameda,PUBLIC,Alameda,"KINDERCARE LEARNING CENTER, #1335",57,54,95,ChildCareData,Y
126656,Alameda,PUBLIC,Alameda,MAYA LIN,75,68,91,KindergartenData,Y
132142,Alameda,PUBLIC,Alameda,ENCINAL JUNIOR/SENIOR HIGH,105,84,80,7thGradeData,Y
10209917,Alameda,PRIVATE,Albany,ALBANY PRESCHOOL,56,54,96,ChildCareData,Y
13412710,Alameda,PRIVATE,Albany,BAY AREA KINDER STUBE,28,26,95,ChildCareData,Y
13422035,Alameda,PRIVATE,Albany,KIDS INTO SPEAKING SPANISH,24,22,95,ChildCareData,Y
13418159,Alameda,PRIVATE,Albany,LITTLE VILLAGE PRESCHOOL,22,20,95,ChildCareData,Y
13421418,Alameda,PRIVATE,Albany,RISING SUN MONTESSORI SCHOOL,21,19,95,ChildCareData,Y
13420549,Alameda,PUBLIC,Albany,ALBANY CHILDREN'S CENTER,72,70,98,ChildCareData,Y
6090146,Alameda,PUBLIC,Albany,CORNELL ELEMENTARY,69,67,98,KindergartenData,Y
6095376,Alameda,PUBLIC,Albany,MARIN ELEMENTARY,92,90,98,KindergartenData,Y
6090161,Alameda,PUBLIC,Albany,ALBANY MIDDLE,260,255,98,7thGradeData,Y
6116222,Alameda,PUBLIC,Albany,OCEAN VIEW ELEMENTARY,155,150,97,KindergartenData,Y
13420548,Alameda,PUBLIC,Albany,UCB . UNIVERSITY VILLAGE ECEP,40,38,95,ChildCareData,Y
13411435,Alameda,HEAD START,Berkeley,BERKELEY YMCA HEAD START . OCEAN VIEW,38,36,95,ChildCareData,Y
10200607,Alameda,HEAD START,Berkeley,BERKELEY YMCA HEAD START . SOUTH YMCA,45,42,95,ChildCareData,Y
13419470,Alameda,PRIVATE,Berkeley,AMERICAN INTERNATIONAL MONTESSORI SCHOOL,66,64,98,ChildCareData,Y
10200050,Alameda,PRIVATE,Berkeley,BERKELEY MONTESSORI SCHOOL,94,92,98,ChildCareData,Y
10204414,Alameda,PRIVATE,Berkeley,CLAREMONT DAY NURSERIES INC,59,57,98,ChildCareData,Y
