geoid,geoid2,city,tot_pop,male,male_pct,female,female_pct,under_5,under_5_pct,5_9,5_9_pct,10_14,10_14_pct,15_19,15_19_pct,20_24,20_24_pct,25_34,25_34_pct,35_44,35_44_pct,45_54,45_54_pct,55_59,55_59_pct,60_64,60_64_pct,65_74,65_74_pct,75_84,75_84_pct,85_over,85_over_pct,median_age,median_age_pct,hispanic_latino,hispanic_latino_pct,mexican,mexican_pct,white,white_pct,black,black_pct,aian,aian_pct,asian,asian_pct,nhopi,nhopi_pct,other,other_pct,median_income,insurance,insurance_pct,private_insure,private_insure_pct,public_insure,public_insure_pct,no_insurance,no_insurance_pct
1600000US0600135,600135,Acalanes Ridge,1431,705,49.3,726,50.7,126,8.8,44,3.1,207,14.5,92,6.4,17,1.2,90,6.3,365,25.5,242,16.9,125,8.7,24,1.7,83,5.8,16,1.1,0,0.0,37.1,,68,4.8,68,4.8,1007,70.4,0,0.0,0,0.0,146,10.2,37,2.6,346,24.2,138672.0,,,,,,,,
1600000US0600156,600156,Acampo,387,263,68.0,124,32.0,55,14.2,0,0.0,0,0.0,0,0.0,67,17.3,126,32.6,0,0.0,78,20.2,61,15.8,0,0.0,0,0.0,0,0.0,0,0.0,31.1,,357,92.2,357,92.2,30,7.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,121455.0,,,,,,,,
1600000US0600212,600212,Acton,7138,3596,50.4,3542,49.6,488,6.8,434,6.1,379,5.3,644,9.0,340,4.8,532,7.5,893,12.5,1736,24.3,543,7.6,337,4.7,525,7.4,254,3.6,33,0.5,43.9,,1126,15.8,858,12.0,5771,80.8,11,0.2,0,0.0,88,1.2,0,0.0,281,3.8,87896.0,,,,,,,,
1600000US0600296,600296,Adelanto,30670,16740,54.6,13930,45.4,3364,11.0,3343,10.9,3501,11.4,2683,8.7,2789,9.1,5611,18.3,3743,12.2,2539,8.3,814,2.7,944,3.1,914,3.0,425,1.4,0,0.0,24.4,,15881,51.8,13687,44.6,5756,18.8,6397,20.9,69,0.2,683,2.2,262,0.9,3181,10.3,42208.0,,,,,,,,
1600000US0600310,600310,Adin,418,211,50.5,207,49.5,21,5.0,51,12.2,31,7.4,0,0.0,0,0.0,0,0.0,83,19.9,56,13.4,19,4.5,52,12.4,33,7.9,56,13.4,16,3.8,52.2,,9,2.2,9,2.2,395,94.5,0,0.0,14,3.3,0,0.0,0,0.0,0,0.0,45625.0,,,,,,,,
1600000US0600394,600394,Agoura Hills,20353,10515,51.7,9838,48.3,749,3.7,1044,5.1,1813,8.9,2018,9.9,875,4.3,2076,10.2,2246,11.0,4226,20.8,1742,8.6,1335,6.6,1363,6.7,721,3.5,145,0.7,43.2,,2326,11.4,1628,8.0,15951,78.4,319,1.6,0,0.0,1249,6.1,0,0.0,986,4.8,108820.0,,,,,,,,
1600000US0600450,600450,Agua Dulce,2991,1388,46.4,1603,53.6,86,2.9,166,5.5,239,8.0,225,7.5,170,5.7,100,3.3,486,16.2,479,16.0,381,12.7,365,12.2,209,7.0,74,2.5,11,0.4,45.9,,527,17.6,385,12.9,2374,79.4,0,0.0,0,0.0,24,0.8,0,0.0,132,4.4,97000.0,,,,,,,,
1600000US0600464,600464,Aguanga,1540,750,48.7,790,51.3,14,0.9,145,9.4,73,4.7,258,16.8,38,2.5,108,7.0,23,1.5,408,26.5,50,3.2,99,6.4,203,13.2,121,7.9,0,0.0,47.9,,134,8.7,134,8.7,1341,87.1,42,2.7,0,0.0,0,0.0,0,0.0,46,3.0,47754.0,,,,,,,,
1600000US0600478,600478,Ahwahnee,1685,795,47.2,890,52.8,0,0.0,122,7.2,55,3.3,61,3.6,96,5.7,119,7.1,200,11.9,293,17.4,74,4.4,86,5.1,324,19.2,197,11.7,58,3.4,53.2,,1,0.1,1,0.1,1683,99.9,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,48289.0,,,,,,,,
1600000US0600535,600535,Airport,1490,827,55.5,663,44.5,115,7.7,108,7.2,207,13.9,100,6.7,113,7.6,185,12.4,132,8.9,260,17.4,70,4.7,53,3.6,59,4.0,72,4.8,16,1.1,31.9,,920,61.7,863,57.9,495,33.2,0,0.0,75,5.0,0,0.0,0,0.0,0,0.0,18779.0,,,,,,,,
