FACILITY_NUMBER,COUNTY,pub_priv_headstart,CITY,FACILITY_NAME,ENROLLMENT,n,pct,vac_info_type,REPORTED
13417683,ALAMEDA,PRIVATE,HAYWARD,A JOYFUL NOISE LEARNING CENTER,22,.,95,childcare,Y
13420892,ALAMEDA,UNKNOWN,ALAMEDA,A.U.S.D. - WOODSTOCK C.D.C. - HAIGHT,,.,.,childcare,N
13420589,ALAMEDA,PUBLIC,ALAMEDA,A.U.S.D.- WOODSTOCK CHILD DEVELOPMENT CENTER,100,98,98,childcare,Y
13422012,ALAMEDA,UNKNOWN,SAN LEANDRO,AB'S PRESCHOOL & DAYCARE,,.,.,childcare,N
13419449,ALAMEDA,PRIVATE,FREMONT,ABC MAGIC MOMENTS PRESCHOOL - IRVINGTON,55,.,98,childcare,Y
13417471,ALAMEDA,PRIVATE,FREMONT,"ABC MAGIC MOMENTS,INC. PRESCHOOL/CHILDCARE",28,.,95,childcare,Y
13411388,ALAMEDA,PRIVATE,ALAMEDA,ABC PRESCHOOL,32,.,95,childcare,Y
13421345,ALAMEDA,PRIVATE,CASTRO VALLEY,ABC PRESCHOOL & DAYCARE,47,.,95,childcare,Y
13420975,ALAMEDA,PRIVATE,OAKLAND,ACADEMIA DE MI ABUELA,32,.,95,childcare,Y
13415846,ALAMEDA,PRIVATE,OAKLAND,ACTS FULL GOSPEL CHRISTIAN ACADEMY,35,.,95,childcare,Y
13417566,ALAMEDA,PRIVATE,OAKLAND,ADVANCE DAY CARE CENTER,68,.,98,childcare,Y
13416177,ALAMEDA,PRIVATE,UNION CITY,ADVENTURE MONTESSORI ACADEMY AND SCHOOL,38,.,95,childcare,Y
10206772,ALAMEDA,UNKNOWN,SAN LORENZO,ADVENTURE TIME - DEL REY,,.,.,childcare,N
10205718,ALAMEDA,UNKNOWN,PLEASANTON,ADVENTURES IN LEARNING,,.,.,childcare,N
10214883,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START - ANGELA AGUILAR CENTER,50,.,98,childcare,Y
13417425,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START - SUE MATHESON CENTER,49,.,95,childcare,Y
13420593,ALAMEDA,HEAD START,ALAMEDA,ALAMEDA HEAD START- COLLEGE OF ALAMEDA HEAD START,70,.,98,childcare,Y
13420549,ALAMEDA,PUBLIC,ALBANY,ALBANY CHILDREN'S CENTER,70,67,96,childcare,Y
10209917,ALAMEDA,PRIVATE,ALBANY,ALBANY PRESCHOOL,47,43,91,childcare,Y
13420957,ALAMEDA,PRIVATE,ALBANY,ALBANY YMCA PRESCHOOL,,.,.,childcare,N
118216,ALAMEDA,PUBLIC,CASTRO VALLEY,ALMA PRESCHOOL,43,.,95,childcare,Y
13419470,ALAMEDA,PRIVATE,BERKELEY,AMERICAN INTERNATIONAL MONTESSORI SCHOOL,74,.,98,childcare,Y
13417502,ALAMEDA,PRIVATE,BERKELEY,AQUATIC PARK SCHOOL,56,41,73,childcare,Y
13412710,ALAMEDA,PRIVATE,ALBANY,BAY AREA KINDER STUBE,27,25,93,childcare,Y
10206014,ALAMEDA,PRIVATE,ALAMEDA,BAYSIDE MONTESSORI ASSOCIATION,23,.,95,childcare,Y
10209453,ALAMEDA,PRIVATE,BERKELEY,BERKELEY HILLS NURSERY SCHOOL,33,.,95,childcare,Y
10200050,ALAMEDA,PRIVATE,BERKELEY,BERKELEY MONTESSORI SCHOOL,85,.,98,childcare,Y
13420958,ALAMEDA,PRIVATE,BERKELEY,BERKELEY ROSE SCHOOL,37,22,59,childcare,Y
122804,ALAMEDA,PUBLIC,BERKELEY,BERKELEY SPECIAL EDUCATION PRESCHOOL,,.,.,childcare,N
13420963,ALAMEDA,HEAD START,EMERYVILLE,BERKELEY YMCA HEAD START - EMERYVILLE MARINA,44,.,95,childcare,Y
13411435,ALAMEDA,HEAD START,BERKELEY,BERKELEY YMCA HEAD START - OCEAN VIEW,38,.,95,childcare,Y
10200607,ALAMEDA,HEAD START,BERKELEY,BERKELEY YMCA HEAD START - SOUTH YMCA,38,.,95,childcare,Y
10206120,ALAMEDA,PUBLIC,BERKELEY,BERKELEY YMCA HEAD START - WEST,56,.,98,childcare,Y
10214258,ALAMEDA,PRIVATE,OAKLAND,BERNICE & JOE PLAYSCHOOL,33,.,95,childcare,Y
13420573,ALAMEDA,UNKNOWN,LIVERMORE,BEST FRIENDS ENRICHMENT CAMPUS,,.,.,childcare,N
13418160,ALAMEDA,PRIVATE,BERKELEY,BETH EL NURSERY SCHOOL,61,.,98,childcare,Y
13417600,ALAMEDA,PRIVATE,PLEASANTON,BETH EMEK PRESCHOOL,41,.,95,childcare,Y
10209547,ALAMEDA,PRIVATE,SAN LEANDRO,BETH SHOLOM PRESCHOOL,45,.,95,childcare,Y
13417988,ALAMEDA,PRIVATE,OAKLAND,BETTY'S CHILDREN'S ACADEMY-PRESCHOOL & CHILD CARE,25,.,95,childcare,Y
13421383,ALAMEDA,PRIVATE,DUBLIN,BEYOND MONTESSORI SCHOOL,45,.,95,childcare,Y
10209844,ALAMEDA,PRIVATE,OAKLAND,BLUESKIES FOR CHILDREN - ELLEN SHERWOOD NURS SCH,55,.,98,childcare,Y
10206158,ALAMEDA,PUBLIC,OAKLAND,BOOTH MEMORIAL DAY CARE,51,.,98,childcare,Y
10213888,ALAMEDA,PRIVATE,FREMONT,BRIDGES COMMUNITY CHURCH - LITTLE LAMB MINISTRIES,130,.,99,childcare,Y
13418194,ALAMEDA,PRIVATE,OAKLAND,BRIGHT FUTURE EARLY LEARNING CENTER,,.,.,childcare,N
13422432,ALAMEDA,PRIVATE,OAKLAND,BRIGHT FUTURE EARLY LEARNING CENTER,37,.,95,childcare,Y
13420930,ALAMEDA,UNKNOWN,BERKELEY,BRIGHT HORIZONS AT BAYER,,.,.,childcare,N
13419488,ALAMEDA,PRIVATE,DUBLIN,BRIGHT HORIZONS AT DUBLIN,41,30,73,childcare,Y
13415928,ALAMEDA,PRIVATE,ALAMEDA,BRIGHT HORIZONS AT GARNER,110,.,99,childcare,Y
13418971,ALAMEDA,PRIVATE,ALBANY,BRIGHT STAR MONTESSORI SCHOOL,24,.,95,childcare,Y
10200078,ALAMEDA,PRIVATE,CASTRO VALLEY,BRIGHT WORLD PRESCHOOL,39,.,95,childcare,Y
13411080,ALAMEDA,PRIVATE,OAKLAND,"BROADWAY CHILDREN'S SCHOOL OF OAKLAND, INC.",54,.,98,childcare,Y
13418986,ALAMEDA,PRIVATE,SAN LEANDRO,BUBBLY TOTS LEARNING CENTER,50,.,98,childcare,Y
13421987,ALAMEDA,PRIVATE,PLEASANTON,BUILDING KIDZ,,.,.,childcare,N
123026,ALAMEDA,PUBLIC,OAKLAND,BURBANK PRESCHOOL CENTER,,.,.,childcare,N
