county,city,vac_info_type,n
Alameda,Alameda,7thGradeData,738.0
Alameda,Alameda,ChildCareData,1111.0
Alameda,Alameda,KindergartenData,796.0
Alameda,Albany,7thGradeData,299.0
Alameda,Albany,ChildCareData,247.0
Alameda,Albany,KindergartenData,269.0
Alameda,Berkeley,7thGradeData,900.0
Alameda,Berkeley,ChildCareData,2349.0
Alameda,Berkeley,KindergartenData,881.0
Alameda,Castro Valley,7thGradeData,719.0
Alameda,Castro Valley,ChildCareData,655.0
Alameda,Castro Valley,KindergartenData,803.0
Alameda,Dublin,7thGradeData,726.0
Alameda,Dublin,ChildCareData,1036.0
Alameda,Dublin,KindergartenData,983.0
Alameda,Emeryville,7thGradeData,33.0
Alameda,Emeryville,ChildCareData,144.0
Alameda,Emeryville,KindergartenData,43.0
Alameda,Fremont,7thGradeData,2690.0
Alameda,Fremont,ChildCareData,3883.0
Alameda,Fremont,KindergartenData,3022.0
Alameda,Hayward,7thGradeData,1605.0
Alameda,Hayward,ChildCareData,2217.0
Alameda,Hayward,KindergartenData,2182.0
Alameda,Kensington,KindergartenData,16.0
Alameda,Livermore,7thGradeData,1122.0
Alameda,Livermore,ChildCareData,1182.0
Alameda,Livermore,KindergartenData,75.0
Alameda,Newark,7thGradeData,556.0
Alameda,Newark,ChildCareData,789.0
Alameda,Newark,KindergartenData,747.0
Alameda,Oakland,7thGradeData,3536.0
Alameda,Oakland,ChildCareData,5417.0
Alameda,Oakland,KindergartenData,4505.0
Alameda,Piedmont,7thGradeData,249.0
Alameda,Piedmont,ChildCareData,65.0
Alameda,Piedmont,KindergartenData,174.0
Alameda,Pleasanton,7thGradeData,1170.0
Alameda,Pleasanton,ChildCareData,1501.0
Alameda,Pleasanton,KindergartenData,940.0
Alameda,San Leandro,7thGradeData,1018.0
Alameda,San Leandro,ChildCareData,778.0
Alameda,San Leandro,KindergartenData,1037.0
Alameda,San Lorenzo,7thGradeData,711.0
Alameda,San Lorenzo,ChildCareData,337.0
Alameda,San Lorenzo,KindergartenData,525.0
Alameda,Sunol,7thGradeData,19.0
Alameda,Sunol,ChildCareData,25.0
Alameda,Sunol,KindergartenData,34.0
Alameda,Union City,7thGradeData,19.0
Alameda,Union City,ChildCareData,613.0
Alameda,Union City,KindergartenData,842.0
Alpine,Markleeville,KindergartenData,10.0
Amador,Ione,ChildCareData,38.0
Amador,Ione,KindergartenData,64.0
Amador,Jackson,7thGradeData,263.0
Amador,Jackson,ChildCareData,65.0
Amador,Jackson,KindergartenData,94.0
Amador,Pine Grove,ChildCareData,34.0
Amador,Pioneer,ChildCareData,31.0
Amador,Pioneer,KindergartenData,26.0
Amador,Plymouth,ChildCareData,45.0
Amador,Plymouth,KindergartenData,29.0
Amador,Sutter Creek,KindergartenData,32.0
Butte,Bangor,7thGradeData,13.0
Butte,Bangor,KindergartenData,15.0
Butte,Berry Creek,7thGradeData,13.0
Butte,Biggs,7thGradeData,38.0
Butte,Biggs,ChildCareData,14.0
Butte,Biggs,KindergartenData,28.0
Butte,Chico,7thGradeData,1047.0
Butte,Chico,ChildCareData,1272.0
Butte,Chico,KindergartenData,1020.0
Butte,Durham,7thGradeData,60.0
Butte,Durham,ChildCareData,17.0
Butte,Durham,KindergartenData,68.0
Butte,Forest Ranch,KindergartenData,9.0
Butte,Gridley,7thGradeData,179.0
