geoid,city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
1600000US0600135,Acalanes Ridge,1431,705,726,126,44,207,92,17,90,365,242,125,24,83,16,0,37.1,68,1007,0,0,146,37,346,138672.0,,,,,2011
1600000US0600156,Acampo,387,263,124,55,0,0,0,67,126,0,78,61,0,0,0,0,31.1,357,30,0,0,0,0,0,121455.0,,,,,2011
1600000US0600212,Acton,7138,3596,3542,488,434,379,644,340,532,893,1736,543,337,525,254,33,43.9,1126,5771,11,0,88,0,281,87896.0,,,,,2011
1600000US0600296,Adelanto,30670,16740,13930,3364,3343,3501,2683,2789,5611,3743,2539,814,944,914,425,0,24.4,15881,5756,6397,69,683,262,3181,42208.0,,,,,2011
1600000US0600310,Adin,418,211,207,21,51,31,0,0,0,83,56,19,52,33,56,16,52.2,9,395,0,14,0,0,0,45625.0,,,,,2011
1600000US0600394,Agoura Hills,20353,10515,9838,749,1044,1813,2018,875,2076,2246,4226,1742,1335,1363,721,145,43.2,2326,15951,319,0,1249,0,986,108820.0,,,,,2011
1600000US0600450,Agua Dulce,2991,1388,1603,86,166,239,225,170,100,486,479,381,365,209,74,11,45.9,527,2374,0,0,24,0,132,97000.0,,,,,2011
1600000US0600464,Aguanga,1540,750,790,14,145,73,258,38,108,23,408,50,99,203,121,0,47.9,134,1341,42,0,0,0,46,47754.0,,,,,2011
1600000US0600478,Ahwahnee,1685,795,890,0,122,55,61,96,119,200,293,74,86,324,197,58,53.2,1,1683,0,0,1,0,0,48289.0,,,,,2011
1600000US0600535,Airport,1490,827,663,115,108,207,100,113,185,132,260,70,53,59,72,16,31.9,920,495,0,75,0,0,0,18779.0,,,,,2011
1600000US0600562,Alameda,73239,35212,38027,4119,4119,4112,3898,4662,10132,11204,11585,5730,4318,4763,3072,1525,40.0,8609,31707,4721,135,23847,382,7487,75832.0,,,,,2011
1600000US0600618,Alamo,15531,7683,7848,646,1144,1592,1053,448,594,2116,2933,1282,1337,1482,656,248,45.7,556,13350,91,12,1082,26,828,149601.0,,,,,2011
1600000US0600674,Albany,18217,8731,9486,1437,1142,1235,1021,735,3239,2967,2378,1357,918,1018,506,264,35.9,1774,9588,550,10,5278,17,1937,72479.0,,,,,2011
1600000US0600716,Albion,255,162,93,0,0,0,46,6,35,12,103,0,45,0,0,8,46.6,31,195,0,0,14,0,30,30331.0,,,,,2011
1600000US0600786,Alderpoint,113,59,54,6,7,0,0,0,7,8,0,40,45,0,0,0,55.7,0,113,0,0,0,0,0,31000.0,,,,,2011
1600000US0600884,Alhambra,83301,39799,43502,4101,4308,4177,4817,5317,13852,12053,12406,5635,4147,6524,3813,2151,39.2,27891,8517,1217,142,44324,99,1960,52717.0,,,,,2011
1600000US0600898,Alhambra Valley,910,521,389,40,39,25,57,38,68,48,201,110,87,93,68,36,54.2,0,897,0,0,13,0,0,124547.0,,,,,2011
1600000US0600947,Aliso Viejo,47037,22226,24811,3983,3063,3235,2745,2610,7360,9819,8410,2063,1396,1568,583,202,35.6,8002,29479,1536,8,6294,19,3251,99095.0,,,,,2011
1600000US0600982,Alleghany,65,49,16,0,0,0,0,0,0,0,46,0,19,0,0,0,50.3,0,65,0,0,0,0,0,30278.0,,,,,2011
1600000US0600996,Allendale,1968,1024,944,39,66,147,276,33,116,264,361,242,149,232,43,0,47.3,289,1531,0,0,63,0,156,112837.0,,,,,2011
1600000US0601010,Allensworth,281,133,148,15,34,51,30,16,21,37,61,10,2,2,2,0,21.6,238,17,20,0,5,0,2,24375.0,,,,,2011
1600000US0601094,Almanor,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,0,10,0,0,0,0,0,,,,,,2011
1600000US0601150,Alondra Park,8358,4120,4238,769,553,603,415,552,1491,1165,957,674,458,406,193,122,33.5,4073,1966,927,0,1219,72,202,58906.0,,,,,2011
1600000US0601164,Alpaugh,847,406,441,159,143,61,60,43,106,79,110,42,11,19,14,0,21.1,631,177,20,13,0,0,12,22875.0,,,,,2011
1600000US0601192,Alpine,13332,6536,6796,593,786,938,700,751,1583,1464,2401,1012,896,1432,538,238,44.4,2107,10419,166,95,167,0,714,76663.0,,,,,2011
1600000US0601228,Alpine Village,180,110,70,36,20,0,29,0,0,22,39,11,4,17,2,0,42.5,3,82,0,95,0,0,0,56964.0,,,,,2011
1600000US0601276,Alta,549,273,276,6,41,36,37,45,31,88,98,57,33,39,34,4,43.6,54,483,0,0,0,2,20,56250.0,,,,,2011
1600000US0601290,Altadena,45006,21920,23086,2872,2670,2553,3332,2378,5052,6738,7474,3454,2429,3090,1934,1030,40.7,13090,18224,10261,24,1808,119,2763,84413.0,,,,,2011
1600000US0601360,Alta Sierra,6888,3151,3737,201,550,241,267,195,744,676,888,690,735,941,573,187,52.6,564,5956,0,12,106,68,346,69539.0,,,,,2011
1600000US0601416,Alto,741,335,406,35,53,30,46,18,0,186,169,84,0,67,0,53,45.1,122,619,0,0,0,0,0,78426.0,,,,,2011
1600000US0601444,Alturas,2813,1315,1498,148,165,268,189,203,293,304,522,174,181,188,131,47,37.9,195,2345,37,122,46,8,120,32237.0,,,,,2011
1600000US0601458,Alum Rock,11814,6037,5777,891,708,887,1222,827,1843,1661,1366,655,610,564,489,91,32.9,8623,1558,236,15,1332,0,100,62884.0,,,,,2011
1600000US0601514,Amador City,158,87,71,11,11,8,2,16,28,8,26,13,20,4,8,3,42.0,0,158,0,0,0,0,0,63036.0,,,,,2011
1600000US0601640,American Canyon,18489,8754,9735,1114,1250,2055,1608,1258,1824,2865,2745,1166,878,1087,446,193,35.7,4571,5613,1195,97,6015,241,1386,83581.0,,,,,2011
1600000US0601651,Amesti,3599,1587,2012,297,247,359,505,226,414,430,440,178,163,184,131,25,29.2,2501,1069,0,0,15,0,28,45696.0,,,,,2011
1600000US0602000,Anaheim,335057,167153,167904,26102,25653,25719,26056,24713,52820,49191,43112,16670,13353,17132,10340,4196,32.1,177631,93438,8155,397,48446,1161,11085,59330.0,,,,,2011
1600000US0602028,Anchor Bay,361,191,170,0,16,31,0,41,0,18,96,93,23,43,0,0,52.9,0,353,0,0,0,0,16,66544.0,,,,,2011
1600000US0602042,Anderson,9927,4693,5234,700,669,581,587,707,1333,1149,1584,722,342,594,654,305,38.3,1031,7869,139,214,310,48,632,34862.0,,,,,2011
1600000US0602112,Angels,3820,1677,2143,199,158,44,219,186,460,430,616,249,304,611,181,163,47.9,677,3015,0,0,0,0,256,48614.0,,,,,2011
1600000US0602168,Angwin,3179,1645,1534,118,92,152,548,746,476,184,314,145,171,101,120,12,23.5,803,1638,226,2,407,7,192,64479.0,,,,,2011
1600000US0602210,Antelope,46343,21618,24725,3477,3649,5049,4039,3467,5814,7873,6347,2112,1899,1675,712,230,31.0,6338,27259,4633,72,4939,547,5059,71211.0,,,,,2011
1600000US0602252,Antioch,101118,48863,52255,7704,7444,8266,8973,8455,12089,13712,15065,6174,4408,5272,2503,1053,32.9,32486,35589,17430,406,9696,1073,8249,66479.0,,,,,2011
1600000US0602294,Anza,3111,1481,1630,228,160,274,104,238,525,324,330,203,306,163,188,68,35.8,986,2021,11,7,0,86,0,46890.0,,,,,2011
1600000US0602364,Apple Valley,68316,32342,35974,4966,4536,6212,5726,4440,7488,7675,9578,4013,3727,5507,3417,1031,35.9,19619,38855,6961,233,1376,0,2375,50664.0,,,,,2011
1600000US0602378,Aptos,6121,2996,3125,363,332,279,377,305,816,733,1091,498,371,635,251,70,42.9,912,4807,84,0,215,6,194,76862.0,,,,,2011
1600000US0602382,Aptos Hills-Larkin Valley,2557,1227,1330,123,237,168,222,80,234,294,350,212,262,291,70,14,41.6,761,1762,0,0,0,0,68,76743.0,,,,,2011
1600000US0602420,Arbuckle,3236,1628,1608,307,238,297,462,253,275,434,407,180,150,152,70,11,28.0,2135,786,0,0,15,0,600,48878.0,,,,,2011
1600000US0602462,Arcadia,55993,26551,29442,2706,2961,3979,3734,3116,6518,8439,9368,3542,3105,4019,3022,1484,41.3,7202,15054,639,135,31736,61,2286,77221.0,,,,,2011
1600000US0602476,Arcata,17118,8202,8916,683,540,673,2273,3583,2821,1485,1545,1153,756,783,551,272,27.4,2091,12817,452,755,514,7,928,31815.0,,,,,2011
1600000US0602553,Arden-Arcade,91132,42934,48198,6064,4797,4526,5740,7116,13234,11461,12842,6998,4760,5517,5162,2915,38.7,15914,58145,7180,438,4879,398,8010,46694.0,,,,,2011
1600000US0602700,Armona,3419,1754,1665,215,306,328,273,183,603,620,376,144,100,166,86,19,32.2,2005,953,258,0,156,0,47,42122.0,,,,,2011
1600000US0602770,Arnold,3172,1643,1529,46,74,188,161,67,203,312,697,402,194,529,286,13,54.0,218,2913,0,10,0,0,62,53036.0,,,,,2011
1600000US0602812,Aromas,2532,1362,1170,153,169,163,218,144,170,256,460,251,174,223,104,47,42.5,601,1631,0,35,124,0,248,91357.0,,,,,2011
1600000US0602868,Arroyo Grande,17132,8262,8870,678,785,1206,1221,1262,1296,2262,2755,1316,1074,1590,1049,638,44.4,2182,13324,209,144,839,0,800,64900.0,,,,,2011
1600000US0602896,Artesia,16495,8599,7896,827,870,973,1503,1376,2286,2109,2584,1236,818,1005,563,345,37.1,5894,3806,635,98,5738,0,618,58281.0,,,,,2011
1600000US0602910,Artois,189,97,92,22,8,0,0,0,10,12,36,0,56,45,0,0,61.2,23,166,0,0,0,0,0,70288.0,,,,,2011
1600000US0602924,Arvin,18809,9765,9044,2338,1882,1857,2340,1952,2346,2306,1954,462,531,577,210,54,22.5,17124,1443,41,10,101,0,180,29740.0,,,,,2011
1600000US0602980,Ashland,22106,10146,11960,1919,1779,1448,1701,1720,3641,3352,2763,965,906,805,753,354,32.2,10330,3762,3690,62,3628,154,960,48026.0,,,,,2011
1600000US0603026,Aspen Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,2011
1600000US0603064,Atascadero,28194,14683,13511,1479,1144,1983,2010,2045,3239,3389,4866,2683,1540,1935,1403,478,42.0,3857,22768,452,278,407,0,864,68502.0,,,,,2011
1600000US0603092,Atherton,6883,3471,3412,280,468,737,555,306,275,624,1216,427,695,671,435,194,46.4,351,5555,11,0,681,65,435,,,,,,2011
1600000US0603162,Atwater,27922,13538,14384,2629,2432,2270,2415,2043,4278,3376,3123,1012,1196,1739,1085,324,29.9,13729,10041,1199,49,1933,137,1584,40752.0,,,,,2011
1600000US0603190,Auberry,2259,1169,1090,123,99,173,164,25,122,223,416,196,290,192,109,127,49.6,210,1819,2,167,11,0,100,70096.0,,,,,2011
1600000US0603204,Auburn,13476,6250,7226,698,878,672,841,594,1524,1630,2185,1163,929,1159,730,473,44.7,885,11738,137,54,147,16,968,62600.0,,,,,2011
1600000US0603205,Auburn Lake Trails,3741,1834,1907,194,203,305,338,24,295,584,700,249,197,365,126,161,44.1,87,3559,38,0,8,0,98,79573.0,,,,,2011
1600000US0603209,August,8017,3699,4318,855,960,763,462,613,1063,1095,812,434,258,221,322,159,27.8,5661,1838,122,9,336,0,102,30231.0,,,,,2011
1600000US0603274,Avalon,3690,1890,1800,277,83,391,222,195,573,407,543,236,182,329,174,78,36.9,2275,1357,1,0,13,0,88,49514.0,,,,,2011
1600000US0603302,Avenal,15705,8766,6939,1645,1659,1283,1170,1393,2869,2019,1805,628,452,587,138,57,26.8,13571,1445,446,37,47,0,318,29183.0,,,,,2011
1600000US0603316,Avery,415,160,255,0,0,0,24,24,0,27,137,0,38,101,64,0,51.9,0,415,0,0,0,0,0,23162.0,,,,,2011
1600000US0603330,Avilla Beach,1086,513,573,0,18,0,16,10,92,0,238,135,202,220,132,23,62.4,24,969,0,0,0,0,186,65483.0,,,,,2011
1600000US0603344,Avocado Heights,15378,7616,7762,944,1105,1186,1470,1355,2186,1911,2101,728,668,984,529,211,32.7,12340,1276,168,10,1368,0,301,73030.0,,,,,2011
1600000US0603386,Azusa,46177,22221,23956,3752,3036,3329,5058,5844,6537,6483,5220,2063,1538,1841,1113,363,27.8,30919,9389,1632,60,3638,0,988,53826.0,,,,,2011
1600000US0603512,Baker,713,494,219,35,39,77,61,66,138,130,108,11,30,18,0,0,30.2,496,116,58,0,0,13,54,33000.0,,,,,2011
1600000US0603526,Bakersfield,339761,167703,172058,30489,28994,28529,29344,26430,50808,45195,43325,16066,11828,15724,9377,3652,29.8,151310,130481,26962,1852,19661,395,17355,54656.0,,,,,2011
1600000US0603666,Baldwin Park,75441,37607,37834,5572,5771,6720,7366,6073,11034,10589,9457,4084,2637,3526,1980,632,30.2,59477,3683,306,92,11170,50,1201,52094.0,,,,,2011
1600000US0603694,Ballard,429,191,238,11,26,15,39,19,42,76,63,53,37,30,18,0,44.6,23,391,0,0,0,0,30,123750.0,,,,,2011
1600000US0603708,Ballico,384,194,190,33,28,25,30,63,40,39,43,24,15,27,3,14,28.5,189,183,0,2,6,4,0,66875.0,,,,,2011
1600000US0603792,Bangor,416,175,241,10,18,48,30,0,33,27,93,27,47,48,16,19,48.6,0,368,0,18,9,0,42,45625.0,,,,,2011
1600000US0603820,Banning,29414,13820,15594,1427,1517,1719,1915,1372,3027,3003,3768,1478,1559,4008,3555,1066,46.7,10874,14469,1770,74,1922,0,558,37373.0,,,,,2011
1600000US0604030,Barstow,22913,11668,11245,2186,1242,1635,2222,1793,2826,3266,3032,1314,1179,1212,756,250,33.3,9067,7787,3709,322,373,699,1912,45417.0,,,,,2011
1600000US0604198,Bass Lake,473,212,261,0,0,0,9,13,16,40,93,49,49,145,45,14,61.7,16,441,0,16,0,0,0,77857.0,,,,,2011
1600000US0604415,Bay Point,21987,11241,10746,1796,1961,1569,2330,1383,3556,3418,2915,1049,707,932,302,69,30.5,11884,4810,2631,34,1682,91,1665,45389.0,,,,,2011
1600000US0604470,"Bayview CDP (Contra Costa County), California",2168,1099,1069,158,136,134,128,97,382,297,301,102,100,143,134,56,37.1,641,803,269,20,394,0,82,78385.0,,,,,2011
1600000US0604478,"Bayview CDP (Humboldt County), California",2818,1370,1448,190,238,159,123,307,465,334,342,231,96,129,138,66,33.1,710,1842,0,123,23,0,240,31828.0,,,,,2011
1600000US0604576,Beale AFB,1818,968,850,305,245,132,70,269,548,189,36,0,12,0,0,12,23.8,329,1113,34,0,94,8,416,43125.0,,,,,2011
1600000US0604632,Bear Creek,188,111,77,0,14,31,29,18,0,35,32,10,0,19,0,0,38.2,168,20,0,0,0,0,0,72625.0,,,,,2011
1600000US0604716,"Bear Valley CDP (Alpine County), California",71,25,46,0,9,0,0,30,17,0,15,0,0,0,0,0,23.9,9,62,0,0,0,0,0,57188.0,,,,,2011
1600000US0604730,"Bear Valley CDP (Mariposa County), California",255,170,85,0,0,45,0,81,0,0,25,35,0,32,37,0,45.1,0,255,0,0,0,0,0,15417.0,,,,,2011
1600000US0604734,Bear Valley Springs,5273,2729,2544,289,283,364,345,180,309,408,982,606,433,701,269,104,47.9,470,4489,23,6,96,0,362,78635.0,,,,,2011
