city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
Acampo,462,324,138,64,0,0,0,81,149,18,85,65,0,0,0,0,31.2,407,55,0,0,0,0,0,123635.0,377,377,0,85,2012
Acton,7117,3547,3570,432,421,440,597,367,414,823,1653,563,466,617,294,30,45.3,929,5865,27,0,92,0,303,91888.0,6543,5676,1766,569,2012
Adelanto,31040,16275,14765,3305,3262,3660,2843,3073,4987,3912,2774,825,1021,900,467,11,24.1,16800,5255,6571,24,756,224,2813,41113.0,22321,10474,13060,6888,2012
Adin,322,156,166,15,39,20,0,0,0,54,43,22,47,36,25,21,54.3,8,309,0,5,0,0,0,38750.0,308,222,157,14,2012
Agoura Hills,20431,10427,10004,732,1219,1568,1790,1015,1926,2202,4247,1824,1477,1513,756,162,44.4,2204,16171,277,12,1230,0,1030,110716.0,19067,17813,3220,1314,2012
Agua Dulce,3233,1575,1658,165,138,256,362,170,149,472,501,323,373,225,78,21,43.7,754,2296,0,0,26,0,314,101023.0,2932,2635,588,301,2012
Aguanga,1254,584,670,21,89,54,192,51,96,0,296,28,141,180,106,0,49.5,47,1158,31,0,0,0,36,47983.0,848,728,488,406,2012
Ahwahnee,1748,827,921,7,119,89,108,119,83,258,271,81,106,257,205,45,52.3,31,1707,0,0,1,0,18,52708.0,1553,1321,616,185,2012
Alameda,74023,35792,38231,4161,4390,3873,3776,4698,9951,11493,11944,5443,4545,5140,3078,1531,40.0,9107,32287,4834,135,23406,465,7395,77249.0,65482,55055,18158,7212,2012
Alamo,15504,7704,7800,788,1251,1316,1196,480,893,1999,2684,1366,1061,1504,693,273,44.3,872,12936,93,5,1158,24,832,149495.0,15229,14632,2752,246,2012
Albany,18493,8975,9518,1440,1210,1328,1013,817,3062,3252,2234,1400,982,1020,492,243,36.1,1768,9450,518,41,5528,34,2264,73728.0,17012,15588,3043,1460,2012
Albion,298,178,120,0,0,0,61,16,29,16,92,0,59,14,0,11,46.4,26,226,9,0,22,0,30,30214.0,193,143,61,105,2012
Alhambra,83513,39750,43763,4210,4142,3957,4807,5486,13517,11814,12998,5838,4450,6132,3832,2330,39.8,28197,8821,1338,125,43983,41,1827,53917.0,67156,50229,22837,15706,2012
Aliso Viejo,47910,22732,25178,4069,3167,3438,2759,2556,7365,9449,8570,2258,1464,1874,659,282,35.8,8103,29082,1221,0,7571,22,3409,98515.0,42913,39925,4880,4936,2012
Allensworth,386,179,207,25,44,60,46,17,49,51,67,16,6,2,3,0,25.2,332,22,25,0,5,0,4,23594.0,255,63,201,131,2012
Alpaugh,793,418,375,140,115,64,55,40,113,88,98,37,21,11,10,1,23.4,551,176,26,31,0,0,18,20724.0,573,237,387,220,2012
Alpine,13511,6386,7125,583,740,826,852,705,1161,1663,2479,1093,914,1545,657,293,46.7,2450,10193,219,75,172,0,766,75151.0,12166,10400,3704,1254,2012
Alta,527,262,265,4,28,33,44,37,31,91,96,50,35,49,25,4,44.3,40,476,0,0,0,1,20,58523.0,457,416,139,70,2012
Altadena,44578,21397,23181,2762,2635,2584,3044,2252,5123,6360,7364,3342,2596,3536,1987,993,41.7,13086,17838,9903,12,2079,135,2937,82854.0,37375,30217,11346,6927,2012
Alturas,2792,1371,1421,152,121,266,187,204,202,312,591,160,199,260,110,28,42.1,270,2295,31,104,0,0,184,35944.0,2250,1330,1325,465,2012
American Canyon,19127,9017,10110,1126,1363,2082,1611,1201,1853,3092,2673,1204,893,1267,602,160,36.3,4583,5602,1347,68,6452,297,1382,83609.0,16972,14159,4377,2095,2012
