city,enrollment,vaccinated,school_year,year,vac_pct,geoid,male_pct,female_pct,under_5_pct,5_9_pct,10_14_pct,15_19_pct,20_24_pct,25_34_pct,35_44_pct,45_54_pct,55_59_pct,60_64_pct,65_74_pct,75_84_pct,85_over_pct,median_age,hispanic_latino_pct,white_pct,black_pct,aian_pct,asian_pct,nhopi_pct,other_pct,median_income,insurance_pct,private_insure_pct,public_insure_pct,no_insurance_pct
Acampo,366.0,360.0,2011-2012,2012,98.36065573770492,1600000US0600156,70.1,29.9,13.9,0.0,0.0,0.0,17.5,32.3,3.9,18.4,14.1,0.0,0.0,0.0,0.0,31.2,88.1,11.9,0.0,0.0,0.0,0.0,0.0,123635.0,81.6,81.6,0.0,18.4
Acton,841.0,636.0,2011-2012,2012,75.62425683709868,1600000US0600212,49.8,50.2,6.1,5.9,6.2,8.4,5.2,5.8,11.6,23.2,7.9,6.5,8.7,4.1,0.4,45.3,13.1,82.4,0.4,0.0,1.3,0.0,4.3,91888.0,92.0,79.8,24.8,8.0
Adelanto,1500.0,1415.0,2011-2012,2012,94.33333333333334,1600000US0600296,52.4,47.6,10.6,10.5,11.8,9.2,9.9,16.1,12.6,8.9,2.7,3.3,2.9,1.5,0.0,24.1,54.1,16.9,21.2,0.1,2.4,0.7,9.0,41113.0,76.4,35.9,44.7,23.6
Adin,20.0,18.0,2011-2012,2012,90.0,1600000US0600310,48.4,51.6,4.7,12.1,6.2,0.0,0.0,0.0,16.8,13.4,6.8,14.6,11.2,7.8,6.5,54.3,2.5,96.0,0.0,1.6,0.0,0.0,0.0,38750.0,95.7,68.9,48.8,4.3
Agoura Hills,3619.0,3406.0,2011-2012,2012,94.11439624205582,1600000US0600394,51.0,49.0,3.6,6.0,7.7,8.8,5.0,9.4,10.8,20.8,8.9,7.2,7.4,3.7,0.8,44.4,10.8,79.1,1.4,0.1,6.0,0.0,5.0,110716.0,93.6,87.4,15.8,6.4
Agua Dulce,34.0,32.0,2011-2012,2012,94.11764705882352,1600000US0600450,48.7,51.3,5.1,4.3,7.9,11.2,5.3,4.6,14.6,15.5,10.0,11.5,7.0,2.4,0.6,43.7,23.3,71.0,0.0,0.0,0.8,0.0,9.8,101023.0,90.7,81.5,18.2,9.3
Aguanga,109.0,103.0,2011-2012,2012,94.4954128440367,1600000US0600464,46.6,53.4,1.7,7.1,4.3,15.3,4.1,7.7,0.0,23.6,2.2,11.2,14.4,8.5,0.0,49.5,3.7,92.3,2.5,0.0,0.0,0.0,2.8,47983.0,67.6,58.1,38.9,32.4
Ahwahnee,114.0,101.0,2011-2012,2012,88.59649122807018,1600000US0600478,47.3,52.7,0.4,6.8,5.1,6.2,6.8,4.7,14.8,15.5,4.6,6.1,14.7,11.7,2.6,52.3,1.8,97.7,0.0,0.0,0.1,0.0,1.0,52708.0,89.4,76.0,35.4,10.6
Alameda,7618.0,7411.0,2011-2012,2012,97.28275137831452,1600000US0600562,48.4,51.6,5.6,5.9,5.2,5.1,6.3,13.4,15.5,16.1,7.4,6.1,6.9,4.2,2.1,40.0,12.3,43.6,6.5,0.2,31.6,0.6,10.0,77249.0,90.1,75.7,25.0,9.9
Alamo,3049.0,3012.0,2011-2012,2012,98.78648737290915,1600000US0600618,49.7,50.3,5.1,8.1,8.5,7.7,3.1,5.8,12.9,17.3,8.8,6.8,9.7,4.5,1.8,44.3,5.6,83.4,0.6,0.0,7.5,0.2,5.4,149495.0,98.4,94.6,17.8,1.6
Albany,2407.0,2247.0,2011-2012,2012,93.35272122974658,1600000US0600674,48.5,51.5,7.8,6.5,7.2,5.5,4.4,16.6,17.6,12.1,7.6,5.3,5.5,2.7,1.3,36.1,9.6,51.1,2.8,0.2,29.9,0.2,12.2,73728.0,92.1,84.4,16.5,7.9
Alhambra,9753.0,9662.0,2011-2012,2012,99.06695375781811,1600000US0600884,47.6,52.4,5.0,5.0,4.7,5.8,6.6,16.2,14.1,15.6,7.0,5.3,7.3,4.6,2.8,39.8,33.8,10.6,1.6,0.1,52.7,0.0,2.1,53917.0,81.0,60.6,27.6,19.0
Aliso Viejo,7221.0,6473.0,2011-2012,2012,89.64132391635508,1600000US0600947,47.4,52.6,8.5,6.6,7.2,5.8,5.3,15.4,19.7,17.9,4.7,3.1,3.9,1.4,0.6,35.8,16.9,60.7,2.5,0.0,15.8,0.0,7.199999999999998,98515.0,89.7,83.4,10.2,10.3
Allensworth,25.0,24.0,2011-2012,2012,96.0,1600000US0601010,46.4,53.6,6.5,11.4,15.5,11.9,4.4,12.7,13.2,17.4,4.1,1.6,0.5,0.8,0.0,25.2,86.0,5.7,6.5,0.0,1.3,0.0,1.0,23594.0,66.1,16.3,52.1,33.9
Alpaugh,164.0,157.0,2011-2012,2012,95.73170731707317,1600000US0601164,52.7,47.3,17.7,14.5,8.1,6.9,5.0,14.2,11.1,12.4,4.7,2.6,1.4,1.3,0.1,23.4,69.5,22.2,3.3,3.9,0.0,0.0,2.2,20724.0,72.3,29.9,48.8,27.7
Alpine,869.0,796.0,2011-2012,2012,91.59953970080552,1600000US0601192,47.3,52.7,4.3,5.5,6.1,6.3,5.2,8.6,12.3,18.3,8.1,6.8,11.4,4.9,2.2,46.7,18.1,75.4,1.6,0.6,1.3,0.0,5.7,75151.0,90.7,77.5,27.6,9.3
Alta,28.0,25.0,2011-2012,2012,89.28571428571429,1600000US0601276,49.7,50.3,0.8,5.3,6.3,8.3,7.0,5.9,17.3,18.2,9.5,6.6,9.3,4.7,0.8,44.3,7.6,90.3,0.0,0.0,0.0,0.2,3.8,58523.0,86.7,78.9,26.4,13.3
Altadena,1835.0,1665.0,2011-2012,2012,90.73569482288828,1600000US0601290,48.0,52.0,6.2,5.9,5.8,6.8,5.1,11.5,14.3,16.5,7.5,5.8,7.9,4.5,2.2,41.7,29.4,40.0,22.2,0.0,4.7,0.3,6.7,82854.0,84.4,68.2,25.6,15.6
Alturas,657.0,533.0,2011-2012,2012,81.12633181126331,1600000US0601444,49.1,50.9,5.4,4.3,9.5,6.7,7.3,7.2,11.2,21.2,5.7,7.1,9.3,3.9,1.0,42.1,9.7,82.2,1.1,3.7,0.0,0.0,6.6,35944.0,82.9,49.0,48.8,17.1
American Canyon,2076.0,2063.0,2011-2012,2012,99.373795761079,1600000US0601640,47.1,52.9,5.9,7.1,10.9,8.4,6.3,9.7,16.2,14.0,6.3,4.7,6.6,3.1,0.8,36.3,24.0,29.3,7.0,0.4,33.7,1.6,7.300000000000002,83609.0,89.0,74.3,23.0,11.0
Anaheim,41407.0,40773.0,2011-2012,2012,98.46885792257348,1600000US0602000,50.2,49.8,7.8,7.5,7.6,7.7,7.4,15.7,14.4,13.1,5.1,4.0,5.2,3.0,1.3,32.4,52.8,27.6,2.4,0.1,14.8,0.5,3.3000000000000003,59627.0,76.9,53.6,28.6,23.1
Anderson,2153.0,1980.0,2011-2012,2012,91.96470041802137,1600000US0602042,45.7,54.3,7.7,6.8,5.8,6.9,6.4,14.7,12.6,14.3,6.7,4.2,6.2,5.3,2.4,37.0,9.5,78.4,1.5,1.8,2.9,0.7,10.2,34306.0,83.6,43.8,52.0,16.4
Angels,1021.0,978.0,2011-2012,2012,95.78844270323212,1600000US0602112,44.4,55.6,6.7,3.9,2.1,4.4,4.6,11.2,11.1,15.2,7.1,7.5,16.7,4.0,5.5,50.0,14.6,82.6,0.0,0.9,0.0,0.0,3.8,51986.0,82.5,64.8,41.6,17.5
