city,enrollment,vaccinated,s_year,vac_pct,geoid
Acampo,366.0,360.0,2012,98.36065573770492,1600000US0600156
Acton,841.0,636.0,2012,75.62425683709868,1600000US0600212
Adelanto,1500.0,1415.0,2012,94.33333333333334,1600000US0600296
Adin,20.0,18.0,2012,90.0,1600000US0600310
Agoura Hills,3619.0,3406.0,2012,94.11439624205582,1600000US0600394
Agua Dulce,34.0,32.0,2012,94.11764705882352,1600000US0600450
Aguanga,109.0,103.0,2012,94.4954128440367,1600000US0600464
Ahwahnee,114.0,101.0,2012,88.59649122807018,1600000US0600478
Alameda,7618.0,7411.0,2012,97.28275137831452,1600000US0600562
Alamo,3049.0,3012.0,2012,98.78648737290915,1600000US0600618
Albany,2407.0,2247.0,2012,93.35272122974658,1600000US0600674
Alhambra,9753.0,9662.0,2012,99.06695375781811,1600000US0600884
Aliso Viejo,7221.0,6473.0,2012,89.64132391635508,1600000US0600947
Allensworth,25.0,24.0,2012,96.0,1600000US0601010
Alpaugh,164.0,157.0,2012,95.73170731707317,1600000US0601164
Alpine,869.0,796.0,2012,91.59953970080552,1600000US0601192
Alta,28.0,25.0,2012,89.28571428571429,1600000US0601276
Altadena,1835.0,1665.0,2012,90.73569482288828,1600000US0601290
Alturas,657.0,533.0,2012,81.12633181126331,1600000US0601444
American Canyon,2076.0,2063.0,2012,99.373795761079,1600000US0601640
Anaheim,41407.0,40773.0,2012,98.46885792257348,1600000US0602000
Anderson,2153.0,1980.0,2012,91.96470041802137,1600000US0602042
Angels,1021.0,978.0,2012,95.78844270323212,1600000US0602112
Angwin,151.0,132.0,2012,87.41721854304636,1600000US0602168
Antelope,4980.0,4691.0,2012,94.19678714859437,1600000US0602210
Antioch,11474.0,11197.0,2012,97.58584626111208,1600000US0602252
Anza,575.0,537.0,2012,93.3913043478261,1600000US0602294
Apple Valley,9166.0,8689.0,2012,94.79598516255727,1600000US0602364
Aptos,2852.0,2679.0,2012,93.93408134642355,1600000US0602378
Arbuckle,789.0,776.0,2012,98.35234474017744,1600000US0602420
Arcadia,7691.0,7573.0,2012,98.46573917565986,1600000US0602462
