city,enrollment,vaccinated,s_year,vac_pct,geoid
Acampo,145.0,136.0,2018,93.79310344827586,1600000US0600156
Acton,2412.0,1017.0,2018,42.16417910447761,1600000US0600212
Adelanto,1363.0,1282.0,2018,94.05722670579604,1600000US0600296
Agoura Hills,1146.0,1081.0,2018,94.3280977312391,1600000US0600394
Aguanga,51.0,47.0,2018,92.15686274509804,1600000US0600464
Ahwahnee,69.0,59.0,2018,85.5072463768116,1600000US0600478
Alameda,3283.0,3148.0,2018,95.88790740176668,1600000US0600562
Alamo,672.0,651.0,2018,96.875,1600000US0600618
Albany,839.0,811.0,2018,96.6626936829559,1600000US0600674
Alhambra,2998.0,2887.0,2018,96.29753168779186,1600000US0600884
Aliso Viejo,2122.0,1998.0,2018,94.1564561734213,1600000US0600947
Alpaugh,135.0,112.0,2018,82.96296296296296,1600000US0601164
Alpine,935.0,910.0,2018,97.32620320855615,1600000US0601192
Altadena,1391.0,1245.0,2018,89.5039539899353,1600000US0601290
Alturas,135.0,130.0,2018,96.29629629629629,1600000US0601444
American Canyon,824.0,807.0,2018,97.93689320388349,1600000US0601640
Anaheim,13610.0,13127.0,2018,96.45113886847906,1600000US0602000
Anderson,635.0,610.0,2018,96.06299212598425,1600000US0602042
Angels,177.0,170.0,2018,96.045197740113,1600000US0602112
Antelope,1367.0,1278.0,2018,93.48939283101683,1600000US0602210
Antioch,3378.0,3144.0,2018,93.07282415630551,1600000US0602252
Anza,90.0,84.0,2018,93.33333333333333,1600000US0602294
Apple Valley,3497.0,3376.0,2018,96.53989133543037,1600000US0602364
Aptos,979.0,928.0,2018,94.7906026557712,1600000US0602378
Arbuckle,318.0,307.0,2018,96.54088050314465,1600000US0602420
Arcadia,2758.0,2688.0,2018,97.46192893401016,1600000US0602462
Arcata,764.0,698.0,2018,91.36125654450262,1600000US0602476
Armona,324.0,316.0,2018,97.53086419753086,1600000US0602700
Arnold,41.0,38.0,2018,92.6829268292683,1600000US0602770
Aromas,124.0,117.0,2018,94.35483870967742,1600000US0602812
Arroyo Grande,1379.0,1343.0,2018,97.38941261783901,1600000US0602868
Artesia,1311.0,1267.0,2018,96.64378337147215,1600000US0602896
Arvin,1238.0,1207.0,2018,97.49596122778675,1600000US0602924
Atascadero,1045.0,1007.0,2018,96.36363636363636,1600000US0603064
Atherton,1005.0,946.0,2018,94.12935323383084,1600000US0603092
Atwater,1743.0,1702.0,2018,97.64773379231211,1600000US0603162
Auberry,20.0,19.0,2018,95.0,1600000US0603190
Auburn,1025.0,964.0,2018,94.04878048780488,1600000US0603204
Avalon,122.0,115.0,2018,94.26229508196722,1600000US0603274
Avenal,607.0,593.0,2018,97.69357495881383,1600000US0603302
Avery,64.0,62.0,2018,96.875,1600000US0603316
Azusa,1980.0,1935.0,2018,97.72727272727273,1600000US0603386
Bakersfield,26834.0,26034.0,2018,97.01870760974882,1600000US0603526
Baldwin Park,3145.0,3071.0,2018,97.6470588235294,1600000US0603666
Ballico,41.0,38.0,2018,92.6829268292683,1600000US0603708
Banning,1026.0,991.0,2018,96.58869395711501,1600000US0603820
Barstow,1355.0,1293.0,2018,95.42435424354242,1600000US0604030
Bay Point,767.0,743.0,2018,96.87092568448502,1600000US0604415
Beale AFB,192.0,186.0,2018,96.875,1600000US0604576
Beaumont,1995.0,1916.0,2018,96.04010025062657,1600000US0604758
Bell,1241.0,1221.0,2018,98.3883964544722,1600000US0604870
Bell Gardens,1870.0,1839.0,2018,98.34224598930481,1600000US0604996
Bella Vista,107.0,100.0,2018,93.45794392523365,1600000US0604926
Bellflower,1984.0,1910.0,2018,96.27016129032258,1600000US0604982
Belmont,1297.0,1261.0,2018,97.22436391673092,1600000US0605108
Belvedere,58.0,55.0,2018,94.82758620689656,1600000US0605164
Benicia,1312.0,1257.0,2018,95.8079268292683,1600000US0605290
Berkeley,4378.0,4114.0,2018,93.96984924623115,1600000US0606000
Bermuda Dunes,444.0,430.0,2018,96.84684684684684,1600000US0606028
Beverly Hills,1105.0,1050.0,2018,95.02262443438913,1600000US0606308
Big Bear City,188.0,175.0,2018,93.08510638297872,1600000US0606406
Big Bear Lake,322.0,307.0,2018,95.34161490683229,1600000US0606434
Biggs,93.0,89.0,2018,95.6989247311828,1600000US0606560
Bishop,397.0,386.0,2018,97.22921914357683,1600000US0606798
Bloomington,1678.0,1636.0,2018,97.49702026221692,1600000US0607064
Blue Lake,43.0,39.0,2018,90.69767441860465,1600000US0607162
Blythe,745.0,698.0,2018,93.69127516778524,1600000US0607218
Bolinas,21.0,19.0,2018,90.47619047619048,1600000US0607316
Bonita,492.0,472.0,2018,95.9349593495935,1600000US0607414
Bonsall,456.0,412.0,2018,90.35087719298247,1600000US0607498
Boonville,108.0,102.0,2018,94.44444444444444,1600000US0607512
Boron,134.0,125.0,2018,93.28358208955224,1600000US0607568
Borrego Springs,103.0,97.0,2018,94.1747572815534,1600000US0607596
Boulder Creek,610.0,316.0,2018,51.80327868852459,1600000US0607652
Boulevard,44.0,41.0,2018,93.18181818181817,1600000US0607694
Boyes Hot Springs,20.0,19.0,2018,95.0,1600000US0607848
Bradbury,282.0,277.0,2018,98.22695035460993,1600000US0607946
Brawley,1403.0,1364.0,2018,97.22024233784748,1600000US0608058
Brea,1702.0,1654.0,2018,97.17978848413631,1600000US0608100
Brentwood,3254.0,3166.0,2018,97.29563614013522,1600000US0608142
Brisbane,130.0,122.0,2018,93.84615384615384,1600000US0608310
Buellton,153.0,148.0,2018,96.73202614379085,1600000US0608758
Buena Park,2562.0,2493.0,2018,97.30679156908664,1600000US0608786
Burbank,7846.0,7540.0,2018,96.09992352791231,1600000US0608954
Burbank,7846.0,7540.0,2018,96.09992352791231,1600000US0608968
Burlingame,1914.0,1864.0,2018,97.3876698014629,1600000US0609066
