FACILITY_NUMBER,COUNTY,pub_priv_headstart,CITY,FACILITY_NAME,ENROLLMENT,n,pct,vac_info_type,REPORTED
13417683,Alameda,PRIVATE,Hayward,A JOYFUL NOISE LEARNING CENTER,26,26,100,childcare,Y
13420589,Alameda,PUBLIC,Alameda,A.U.S.D.- WOODSTOCK CHILD DEVELOPMENT CENTER,99,93,93,childcare,Y
13419449,Alameda,PRIVATE,Fremont,ABC MAGIC MOMENTS PRESCHOOL - IRVINGTON,45,42,93,childcare,Y
13417471,Alameda,PRIVATE,Fremont,"ABC MAGIC MOMENTS,INC. PRESCHOOL CHILDCARE",25,25,100,childcare,Y
13411388,Alameda,PRIVATE,Alameda,ABC PRESCHOOL,35,34,97,childcare,Y
13421345,Alameda,PRIVATE,Castro Valley,ABC PRESCHOOL & DAYCARE,48,43,89,childcare,Y
13420975,Alameda,PRIVATE,Oakland,ACADEMIA DE MI ABUELA,37,23,62,childcare,Y
13415846,Alameda,PRIVATE,Oakland,ACTS FULL GOSPEL CHRISTIAN ACADEMY,33,33,100,childcare,Y
13417566,Alameda,PRIVATE,Oakland,ADVANCE DAY CARE CENTER,68,68,100,childcare,Y
10214883,Alameda,HEAD START,Alameda,ALAMEDA HEAD START - ANGELA AGUILAR CENTER,66,63,95,childcare,Y
13417425,Alameda,HEAD START,Alameda,ALAMEDA HEAD START - SUE MATHESON CENTER,41,39,95,childcare,Y
13420593,Alameda,HEAD START,Alameda,ALAMEDA HEAD START- COLLEGE OF ALAMEDA HEAD START,80,77,96,childcare,Y
13420549,Alameda,PUBLIC,Albany,ALBANY CHILDREN'S CENTER,72,69,95,childcare,Y
10209917,Alameda,PRIVATE,Albany,ALBANY PRESCHOOL,54,52,96,childcare,Y
13420957,Alameda,PRIVATE,Albany,ALBANY YMCA PRESCHOOL,17,16,94,childcare,Y
118216,Alameda,PUBLIC,Castro Valley,ALMA PRESCHOOL,43,41,95,childcare,Y
13419419,Alameda,PRIVATE,Hayward,"ARC OF ALAMEDA CO. FIRST STEP CHILDREN'S CTR., THE",17,16,94,childcare,Y
13412710,Alameda,PRIVATE,Albany,BAY AREA KINDER STUBE,27,26,96,childcare,Y
10206014,Alameda,PRIVATE,Alameda,BAYSIDE MONTESSORI ASSOCIATION,17,16,94,childcare,Y
13420963,Alameda,HEAD START,Emeryville,BERKELEY YMCA HEAD START - EMERYVILLE MARINA,40,39,97,childcare,Y
10214258,Alameda,PRIVATE,Oakland,BERNICE & JOE PLAYSCHOOL,35,31,88,childcare,Y
13417600,Alameda,PRIVATE,Pleasanton,BETH EMEK PRESCHOOL,42,40,95,childcare,Y
10209547,Alameda,PRIVATE,San Leandro,BETH SHOLOM PRESCHOOL,48,48,100,childcare,Y
13417988,Alameda,PRIVATE,Oakland,BETTY'S CHILDREN'S ACADEMY-PRESCHOOL & CHILD CARE,26,26,100,childcare,Y
13421383,Alameda,PRIVATE,Dublin,BEYOND MONTESSORI SCHOOL,47,46,97,childcare,Y
10209844,Alameda,PRIVATE,Oakland,BLUESKIES FOR CHILDREN - ELLEN SHERWOOD NURS SCH,43,42,97,childcare,Y
10206158,Alameda,PUBLIC,Oakland,BOOTH MEMORIAL DAY CARE,51,50,98,childcare,Y
10213888,Alameda,PRIVATE,Fremont,BRIDGES COMMUNITY CHURCH - LITTLE LAMB MINISTRIES,124,122,98,childcare,Y
13418194,Alameda,PRIVATE,Oakland,BRIGHT FUTURE EARLY LEARNING CENTER,29,29,100,childcare,Y
13420967,Alameda,PRIVATE,Dublin,BRIGHT HORIZONS AT DUBLIN,33,31,93,childcare,Y
13415928,Alameda,PRIVATE,Alameda,BRIGHT HORIZONS AT GARNER,108,108,100,childcare,Y
13418971,Alameda,PRIVATE,Albany,BRIGHT STAR MONTESSORI SCHOOL,26,26,100,childcare,Y
13411080,Alameda,PRIVATE,Oakland,"BROADWAY CHILDREN'S SCHOOL OF OAKLAND, INC.",53,51,96,childcare,Y
13418986,Alameda,PRIVATE,San Leandro,BUBBLY TOTS LEARNING CENTER,55,55,100,childcare,Y
13411608,Alameda,PUBLIC,Oakland,BUILDING BLOCKS,10,10,100,childcare,Y
13421987,Alameda,PRIVATE,Pleasanton,BUILDING KIDZ,20,20,100,childcare,Y
123026,Alameda,PUBLIC,Oakland,BURBANK PRESCHOOL CENTER,120,120,100,childcare,Y
131763,Alameda,PUBLIC,Fremont,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT,28,27,96,childcare,Y
13418167,Alameda,HEAD START,Livermore,CAPE - BESS PLATT,52,52,100,childcare,Y
13412137,Alameda,HEAD START,Pleasanton,CAPE - HEAD START - HILL 'N DALE PRESCHOOL,20,20,100,childcare,Y
13414731,Alameda,HEAD START,Livermore,CAPE - JACKSON CENTER,26,23,88,childcare,Y
13421992,Alameda,HEAD START,Dublin,CAPE - NIELSON,19,19,100,childcare,Y
10213356,Alameda,HEAD START,Livermore,CAPE - WM. ORMAND III EARLY ED. CTR.,36,36,100,childcare,Y
13420567,Alameda,PRIVATE,Emeryville,CCLC - CLIF BASE CAMP CHILD CARE CENTER,28,27,96,childcare,Y
13415193,Alameda,PRIVATE,Livermore,CELEBRATION LEARNING CENTER,41,40,97,childcare,Y
10200106,Alameda,PRIVATE,Fremont,CENTERVILLE CHURCH PRESCHOOL,23,23,100,childcare,Y
13421991,Alameda,HEAD START,Fremont,CFCS - BLACOW HEAD START,69,69,100,childcare,Y
13419482,Alameda,HEAD START,San Leandro,CFCS - HILLSIDE HEAD START,40,40,100,childcare,Y
13420960,Alameda,HEAD START,Hayward,CFCS - JOHN MUIR HEAD START SITE,71,71,100,childcare,Y
10215558,Alameda,HEAD START,Newark,CFCS HEAD START - ASH STREET,32,32,100,childcare,Y
13411098,Alameda,HEAD START,Union City,CFCS HEAD START - DECOTO PLAZA,30,29,96,childcare,Y
10212000,Alameda,HEAD START,Hayward,CFCS HEAD START - GLASSBROOK,40,40,100,childcare,Y
10215834,Alameda,HEAD START,San Leandro,CFCS HEAD START - JEFFERSON,20,20,100,childcare,Y
13418958,Alameda,HEAD START,San Leandro,CFCS HEAD START - SAN LEANDRO ADULT SCHOOL,39,39,100,childcare,Y
13418959,Alameda,HEAD START,Hayward,CFCS HEAD START - SUNSET,47,46,97,childcare,Y
13412444,Alameda,HEAD START,Newark,CFCS HEAD START - WHITEFORD,34,34,100,childcare,Y
13418950,Alameda,HEAD START,Hayward,CFCS HEAD START CENTER - BIDWELL,37,37,100,childcare,Y
13420577,Alameda,HEAD START,Hayward,CFCS- LORENZO MANOR HEAD START,38,38,100,childcare,Y
13411745,Alameda,PUBLIC,Hayward,"CHABOT COLLEGE, CHILDREN'S CENTER",59,58,98,childcare,Y
10212301,Alameda,PRIVATE,Newark,CHALLENGER SCHOOL,183,182,99,childcare,Y
13412399,Alameda,PRIVATE,Newark,CHALLENGER SCHOOL-ARDENWOOD,164,164,100,childcare,Y
13414363,Alameda,PRIVATE,Oakland,CHATHAM SCHOOL,64,64,100,childcare,Y
13418176,Alameda,PRIVATE,Oakland,CHATHAM SCHOOL - REDWOOD CAMPUS,119,119,100,childcare,Y
13414452,Alameda,PRIVATE,Hayward,CHERUBIM'S CHILDREN'S CENTER,11,11,100,childcare,Y
13420524,Alameda,PRIVATE,Pleasanton,"CHILD DAY SCHOOL, LLC - PLEASANTON",55,54,98,childcare,Y
10210145,Alameda,PRIVATE,Alameda,CHILD UNIQUE MONT. SCHOOL,25,23,92,childcare,Y
13420947,Alameda,PRIVATE,Alameda,"CHILD UNIQUE MONTESSORI SCHOOL, THE",33,30,90,childcare,Y
10211702,Alameda,PRIVATE,Fremont,CHILD'S HIDEAWAY -A-,18,18,100,childcare,Y
10209901,Alameda,PRIVATE,Fremont,"CHILD'S HIDEAWAY, A",30,30,100,childcare,Y
13418096,Alameda,PRIVATE,San Leandro,CHILDREN'S MONTESSORI ADVENTURE,37,35,94,childcare,Y
13420978,Alameda,PRIVATE,Hayward,CHILDRENS CHOICE EDUCARE,31,29,93,childcare,Y
13419473,Alameda,PUBLIC,Union City,CITY OF UNION CITY - HOLLY CENTER,19,19,100,childcare,Y
13420535,Alameda,PUBLIC,Union City,CITY OF UNION CITY - KENNEDY CENTER,16,16,100,childcare,Y
13411559,Alameda,PRIVATE,Oakland,COLOR ME CHILDREN,28,28,100,childcare,Y
13418972,Alameda,PUBLIC,Livermore,COTTAGE PRESCHOOL,58,58,100,childcare,Y
13420608,Alameda,PRIVATE,Hayward,CREATIVE KIDS,28,28,100,childcare,Y
13420541,Alameda,PRIVATE,Oakland,CULTIVATING KIDS EARLY CHILDHOOD CENTER,12,10,83,childcare,Y
10214589,Alameda,PUBLIC,Castro Valley,CVUSD - MARSHALL SCHOOL STATE PRESCHOOL,48,46,95,childcare,Y
13421334,Alameda,PRIVATE,Oakland,DAISY CHILD DEVELOPMENT CENTER,40,38,95,childcare,Y
13421981,Alameda,PRIVATE,Fremont,DANIEL CHRISTIAN ACADEMY,19,19,100,childcare,Y
13412358,Alameda,PRIVATE,San Leandro,DAVIS STREET AT JEFFERSON,38,38,100,childcare,Y
10214436,Alameda,PRIVATE,San Leandro,DAVIS STREET CHILD CARE CENTER,70,70,100,childcare,Y
13419489,Alameda,PRIVATE,San Leandro,DAVIS STREET PRESCHOOL AT GARFIELD,15,15,100,childcare,Y
13412740,Alameda,PRIVATE,Newark,DIVERSITY CHILDREN'S CENTER,35,35,100,childcare,Y
13418999,Alameda,PRIVATE,Oakland,DUCK POND PRESCHOOL -THE-,25,25,100,childcare,Y
13418978,Alameda,PRIVATE,Oakland,DUCK'S NEST ARTS AND SCIENCES,16,16,100,childcare,Y
13421405,Alameda,PRIVATE,Oakland,DUCKS NEST - PIEDMONT,83,79,95,childcare,Y
13419465,Alameda,PRIVATE,Castro Valley,EARLY BIRD MONTESSORI SCHOOL - CENTER,32,31,96,childcare,Y
10214653,Alameda,PRIVATE,Pleasanton,EARLY YEARS CHILDREN'S CENTER,57,57,100,childcare,Y
13417784,Alameda,PRIVATE,Oakland,"EAST BAY ACADEMY, INC.",92,92,100,childcare,Y
13410074,Alameda,PUBLIC,Berkeley,ECOLE BILINGUE DE BERKELEY PRESCHOOL,66,61,92,childcare,Y
13419440,Alameda,PRIVATE,Hayward,EIFFEL TOWER MONTESSORI PRESCHOOL & K,45,45,100,childcare,Y
10210079,Alameda,PRIVATE,Hayward,ELMHURST DAY CARE AND PRESCHOOL,54,53,98,childcare,Y
10213813,Alameda,PRIVATE,Emeryville,EMERYVILLE CHILD DEVELOPMENT CENTER,60,57,95,childcare,Y
13420938,Alameda,PRIVATE,Fremont,EMPIRE MONTESSORI PRESCHOOL,74,74,100,childcare,Y
13418191,Alameda,PRIVATE,Oakland,ESCUELA BILINGUE INTERNACIONAL,85,81,95,childcare,Y
10205961,Alameda,PRIVATE,Castro Valley,FIRST BAPTIST PRESCHOOL - A KIDS KINGDOM,46,43,93,childcare,Y
10201132,Alameda,PRIVATE,Oakland,FIRST COVENANT TREEHOUSE PRESCHOOL,138,133,96,childcare,Y
13421378,Alameda,PRIVATE,Dublin,FOUNTAINHEAD MONTESSORI SCHOOL,24,23,95,childcare,Y
13417785,Alameda,PRIVATE,Livermore,FOUNTAINHEAD MONTESSORI SCHOOL,61,58,95,childcare,Y
13418196,Alameda,PRIVATE,Dublin,FOUNTAINHEAD MONTESSORI SCHOOL - DUBLIN,223,219,98,childcare,Y
13421393,Alameda,PRIVATE,Livermore,FREE TO BE ME CHILD CARE,51,50,98,childcare,Y
10214913,Alameda,PRIVATE,Union City,FREE TO BE PRE-SCHOOL,28,28,100,childcare,Y
10212589,Alameda,PRIVATE,Fremont,FREMONT CHRISTIAN PRESCHOOL,146,145,99,childcare,Y
13417033,Alameda,PRIVATE,Fremont,FREMONT PARENTS NURSERY SCHOOL,39,37,94,childcare,Y
13416472,Alameda,PUBLIC,Fremont,FUSD - ALVIRDA HYMAN LEARNING CENTER,60,59,98,childcare,Y
13417235,Alameda,PUBLIC,Fremont,FUSD - BLACOW STATE PRESCHOOL,20,19,95,childcare,Y
10214464,Alameda,PUBLIC,Fremont,FUSD - CABRILLO STATE PRESCHOOL,24,24,100,childcare,Y
10214465,Alameda,PUBLIC,Fremont,FUSD - DURHAM STATE PRESCHOOL,57,57,100,childcare,Y
13421986,Alameda,PUBLIC,Fremont,FUSD - GLANKLER SCHOOL,37,37,100,childcare,Y
13415472,Alameda,PUBLIC,Fremont,FUSD - GRIMMER STATE PRESCHOOL,27,27,100,childcare,Y
13418175,Alameda,PRIVATE,Alameda,FUZZY CATERPILLAR,72,71,98,childcare,Y
10205169,Alameda,PRIVATE,Oakland,GAN AVRAHAM NURSERY SCHOOL,52,51,98,childcare,Y
13422036,Alameda,PRIVATE,Oakland,GAN MAH TOV PRESCHOOL,20,20,100,childcare,Y
10213705,Alameda,PRIVATE,Fremont,GAN SAMEACH NURSERY SCHOOL,21,20,95,childcare,Y
13421411,Alameda,PRIVATE,Fremont,GENIUS KIDS,20,20,100,childcare,Y
13422025,Alameda,PRIVATE,Fremont,GENIUS KIDS - CIVIC CENTER,10,10,100,childcare,Y
13421976,Alameda,PRIVATE,Fremont,GENIUS KIDS - MOWRY CAMPUS,36,36,100,childcare,Y
13422010,Alameda,PUBLIC,Pleasanton,GENIUS KIDS - PLEASANTON CAMPUS,21,21,100,childcare,Y
13412010,Alameda,PRIVATE,Oakland,GIGGLES,29,28,96,childcare,Y
128298,Alameda,PUBLIC,Fremont,GLANKLER EARLY LEARNING CENTER,144,141,97,childcare,Y
10210313,Alameda,PRIVATE,Oakland,GRACE CHILDREN'S ACADEMY,20,18,90,childcare,Y
10210354,Alameda,PRIVATE,Oakland,GRAND LAKE MONTESSORI,146,139,95,childcare,Y
13415884,Alameda,PRIVATE,Oakland,GROWING LIGHT MONTESSORI SCHOOL OF OAKLAND,65,65,100,childcare,Y
10211854,Alameda,PRIVATE,Castro Valley,GROWING YEARS PRESCHOOL,60,59,98,childcare,Y
13422049,Alameda,HEAD START,Hayward,HANSEN CENTER,34,34,100,childcare,Y
10200263,Alameda,PRIVATE,Castro Valley,HAPPINESS HILL PRESCHOOL AND DAY CARE,151,149,98,childcare,Y
13420896,Alameda,PRIVATE,Alameda,HAPPY LITTLE WORLD,17,17,100,childcare,Y
122986,Alameda,PUBLIC,Pleasanton,HARVEST PARK PRESCHOOL CENTER,61,59,96,childcare,Y
13419480,Alameda,PRIVATE,Fremont,HEARTS AND HANDS CHRISTIAN CHILDCARE & PRESCHOOL,69,62,89,childcare,Y
10200300,Alameda,PRIVATE,Piedmont,HIGHLANDS PRE-SCHOOL,36,35,97,childcare,Y
10211775,Alameda,PRIVATE,Castro Valley,HIS GROWING GROVE,97,96,98,childcare,Y
13415716,Alameda,PRIVATE,Hayward,HIS KIDS,34,24,70,childcare,Y
10200306,Alameda,PRIVATE,Livermore,HOLY CROSS LUTHERAN NURSERY SCHOOL,141,138,97,childcare,Y
10215763,Alameda,PRIVATE,Fremont,HOLY SPIRIT PRESCHOOL,30,29,96,childcare,Y
13420954,Alameda,PUBLIC,Hayward,HUSD - FAIRVIEW STATE PRESCHOOL,46,43,93,childcare,Y
13420955,Alameda,PUBLIC,Hayward,HUSD - HARDER STATE PRESCHOOL,47,47,100,childcare,Y
13421426,Alameda,PUBLIC,Hayward,HUSD - PARK STATE PRESCHOOL,47,46,97,childcare,Y
10214552,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - BOWMAN,46,42,91,childcare,Y
10214554,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - CHERRYLAND,48,48,100,childcare,Y
10206034,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - HELEN TURNER,219,208,94,childcare,Y
10214550,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - MUIR,86,81,94,childcare,Y
10214551,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - SHEPHERD,48,47,97,childcare,Y
13414055,Alameda,PUBLIC,Hayward,HUSD CHILD DEVELOPMENT CTR. - PALMA CEIA,44,43,97,childcare,Y
10216208,Alameda,PRIVATE,Oakland,ILE OMODE SCHOOL,21,17,80,childcare,Y
10200334,Alameda,PUBLIC,Dublin,JOHN KNOX CO-OP PRESCHOOL,75,74,98,childcare,Y
10205609,Alameda,PRIVATE,Dublin,JOY PRESCHOOL AND DAY CARE CENTER,30,29,96,childcare,Y
13422000,Alameda,PRIVATE,Dublin,JOYFUL KIDS ACADEMY,19,18,94,childcare,Y
13421392,Alameda,PRIVATE,Union City,KIDANGO - ALVARADO,42,42,100,childcare,Y
13419486,Alameda,PRIVATE,Hayward,KIDANGO - AMADOR,79,79,100,childcare,Y
13420603,Alameda,PRIVATE,San Lorenzo,KIDANGO - BAY,44,44,100,childcare,Y
13416835,Alameda,PRIVATE,Fremont,KIDANGO - CARLSON CENTER,20,20,100,childcare,Y
13420905,Alameda,PRIVATE,Hayward,KIDANGO - COLONIAL ACRES,47,47,100,childcare,Y
13420560,Alameda,PUBLIC,San Leandro,KIDANGO - CORVALIS,46,46,100,childcare,Y
13420602,Alameda,PRIVATE,San Leandro,KIDANGO - DAYTON,49,48,97,childcare,Y
13416345,Alameda,PRIVATE,Union City,KIDANGO - DECOTO INFANT CENTER,10,10,100,childcare,Y
13420562,Alameda,PRIVATE,San Lorenzo,KIDANGO - DEL REY,49,48,97,childcare,Y
13422029,Alameda,PUBLIC,Hayward,KIDANGO - EDEN YOUTH CENTER,53,53,100,childcare,Y
13421333,Alameda,PRIVATE,Dublin,KIDANGO - EMERALD VISTA,70,68,97,childcare,Y
13421406,Alameda,PUBLIC,Newark,KIDANGO - GRAHAM,55,53,96,childcare,Y
13420559,Alameda,PRIVATE,San Lorenzo,KIDANGO - GRANT,48,48,100,childcare,Y
13420558,Alameda,PRIVATE,San Lorenzo,KIDANGO - HESPERIAN,49,47,95,childcare,Y
10214395,Alameda,PRIVATE,Fremont,KIDANGO - MARIE KAISER INFANT CENTER,12,11,91,childcare,Y
13421391,Alameda,PRIVATE,Union City,KIDANGO - PIONEER,35,35,100,childcare,Y
10206134,Alameda,PRIVATE,Fremont,KIDANGO - RIX CENTER,212,203,95,childcare,Y
13421997,Alameda,PRIVATE,Newark,KIDANGO - SCHILLING,50,50,100,childcare,Y
13416238,Alameda,PRIVATE,Union City,KIDANGO - SEARLES CHILD DEVELOPMENT CENTER,45,44,97,childcare,Y
13416126,Alameda,PRIVATE,Fremont,KIDANGO - SHARON JONES CENTER,50,47,94,childcare,Y
13420561,Alameda,PUBLIC,Hayward,KIDANGO - SUNSET,48,48,100,childcare,Y
13416836,Alameda,PRIVATE,Fremont,KIDANGO - WASHINGTON HOSPITAL CENTER,39,39,100,childcare,Y
13419447,Alameda,PRIVATE,Livermore,KIDANGO ALMOND,62,59,95,childcare,Y
13419469,Alameda,PRIVATE,Hayward,KIDANGO HELEN TURNER,41,40,97,childcare,Y
13419429,Alameda,PRIVATE,Union City,KIDANGO LOGAN,44,44,100,childcare,Y
