facility_num,county,is_public,city,facility_name,enrollment,n,pct,vac_info_type,reported
13417683,Alameda,PRIVATE,Hayward,A JOYFUL NOISE LEARNING CENTER,22,20,95,ChildCareData,Y
13420589,Alameda,PUBLIC,Alameda,A.U.S.D.- WOODSTOCK CHILD DEVELOPMENT CENTER,100,98,98,ChildCareData,Y
13419449,Alameda,PRIVATE,Fremont,ABC MAGIC MOMENTS PRESCHOOL - IRVINGTON,55,53,98,ChildCareData,Y
13417471,Alameda,PRIVATE,Fremont,"ABC MAGIC MOMENTS,INC. PRESCHOOL/CHILDCARE",28,26,95,ChildCareData,Y
13411388,Alameda,PRIVATE,Alameda,ABC PRESCHOOL,32,30,95,ChildCareData,Y
13421345,Alameda,PRIVATE,Castro Valley,ABC PRESCHOOL & DAYCARE,47,44,95,ChildCareData,Y
13420975,Alameda,PRIVATE,Oakland,ACADEMIA DE MI ABUELA,32,30,95,ChildCareData,Y
13415846,Alameda,PRIVATE,Oakland,ACTS FULL GOSPEL CHRISTIAN ACADEMY,35,33,95,ChildCareData,Y
13417566,Alameda,PRIVATE,Oakland,ADVANCE DAY CARE CENTER,68,66,98,ChildCareData,Y
13416177,Alameda,PRIVATE,Union City,ADVENTURE MONTESSORI ACADEMY AND SCHOOL,38,36,95,ChildCareData,Y
10214883,Alameda,HEAD START,Alameda,ALAMEDA HEAD START - ANGELA AGUILAR CENTER,50,49,98,ChildCareData,Y
13417425,Alameda,HEAD START,Alameda,ALAMEDA HEAD START - SUE MATHESON CENTER,49,46,95,ChildCareData,Y
13420593,Alameda,HEAD START,Alameda,ALAMEDA HEAD START- COLLEGE OF ALAMEDA HEAD START,70,68,98,ChildCareData,Y
13420549,Alameda,PUBLIC,Albany,ALBANY CHILDREN'S CENTER,70,67,96,ChildCareData,Y
10209917,Alameda,PRIVATE,Albany,ALBANY PRESCHOOL,47,43,91,ChildCareData,Y
118216,Alameda,PUBLIC,Castro Valley,ALMA PRESCHOOL,43,40,95,ChildCareData,Y
13419470,Alameda,PRIVATE,Berkeley,AMERICAN INTERNATIONAL MONTESSORI SCHOOL,74,72,98,ChildCareData,Y
13417502,Alameda,PRIVATE,Berkeley,AQUATIC PARK SCHOOL,56,41,73,ChildCareData,Y
13412710,Alameda,PRIVATE,Albany,BAY AREA KINDER STUBE,27,25,93,ChildCareData,Y
10206014,Alameda,PRIVATE,Alameda,BAYSIDE MONTESSORI ASSOCIATION,23,21,95,ChildCareData,Y
10209453,Alameda,PRIVATE,Berkeley,BERKELEY HILLS NURSERY SCHOOL,33,31,95,ChildCareData,Y
10200050,Alameda,PRIVATE,Berkeley,BERKELEY MONTESSORI SCHOOL,85,83,98,ChildCareData,Y
13420958,Alameda,PRIVATE,Berkeley,BERKELEY ROSE SCHOOL,37,22,59,ChildCareData,Y
13420963,Alameda,HEAD START,Emeryville,BERKELEY YMCA HEAD START - EMERYVILLE MARINA,44,41,95,ChildCareData,Y
13411435,Alameda,HEAD START,Berkeley,BERKELEY YMCA HEAD START - OCEAN VIEW,38,36,95,ChildCareData,Y
10200607,Alameda,HEAD START,Berkeley,BERKELEY YMCA HEAD START - SOUTH YMCA,38,36,95,ChildCareData,Y
10206120,Alameda,PUBLIC,Berkeley,BERKELEY YMCA HEAD START - WEST,56,54,98,ChildCareData,Y
10214258,Alameda,PRIVATE,Oakland,BERNICE & JOE PLAYSCHOOL,33,31,95,ChildCareData,Y
13418160,Alameda,PRIVATE,Berkeley,BETH EL NURSERY SCHOOL,61,59,98,ChildCareData,Y
13417600,Alameda,PRIVATE,Pleasanton,BETH EMEK PRESCHOOL,41,38,95,ChildCareData,Y
10209547,Alameda,PRIVATE,San Leandro,BETH SHOLOM PRESCHOOL,45,42,95,ChildCareData,Y
13417988,Alameda,PRIVATE,Oakland,BETTY'S CHILDREN'S ACADEMY-PRESCHOOL & CHILD CARE,25,23,95,ChildCareData,Y
13421383,Alameda,PRIVATE,Dublin,BEYOND MONTESSORI SCHOOL,45,42,95,ChildCareData,Y
10209844,Alameda,PRIVATE,Oakland,BLUESKIES FOR CHILDREN - ELLEN SHERWOOD NURS SCH,55,53,98,ChildCareData,Y
10206158,Alameda,PUBLIC,Oakland,BOOTH MEMORIAL DAY CARE,51,49,98,ChildCareData,Y
10213888,Alameda,PRIVATE,Fremont,BRIDGES COMMUNITY CHURCH - LITTLE LAMB MINISTRIES,130,128,99,ChildCareData,Y
13422432,Alameda,PRIVATE,Oakland,BRIGHT FUTURE EARLY LEARNING CENTER,37,35,95,ChildCareData,Y
13419488,Alameda,PRIVATE,Dublin,BRIGHT HORIZONS AT DUBLIN,41,30,73,ChildCareData,Y
13415928,Alameda,PRIVATE,Alameda,BRIGHT HORIZONS AT GARNER,110,108,99,ChildCareData,Y
13418971,Alameda,PRIVATE,Albany,BRIGHT STAR MONTESSORI SCHOOL,24,22,95,ChildCareData,Y
10200078,Alameda,PRIVATE,Castro Valley,BRIGHT WORLD PRESCHOOL,39,37,95,ChildCareData,Y
13411080,Alameda,PRIVATE,Oakland,"BROADWAY CHILDREN'S SCHOOL OF OAKLAND, INC.",54,52,98,ChildCareData,Y
13418986,Alameda,PRIVATE,San Leandro,BUBBLY TOTS LEARNING CENTER,50,49,98,ChildCareData,Y
13419436,Alameda,PUBLIC,Berkeley,BUSD - FRANKLIN PRESCHOOL,153,151,99,ChildCareData,Y
10214881,Alameda,PUBLIC,Berkeley,BUSD - HOPKINS STREET,93,90,97,ChildCareData,Y
