GEO.id,county,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
0500000US06001,Alameda ,1494876,733297,761579,98049,93980,89851,99073,105006,227381,228718,220208,93064,75085,87514,52652,24295,36.4,332103,517548,182827,3827,388491,11993,110254,70821,,,,,2011
0500000US06003,Alpine ,1167,605,562,77,106,39,106,126,49,180,190,96,65,90,39,4,40.4,82,765,0,232,39,21,56,59018,,,,,2011
0500000US06005,Amador ,38244,20860,17384,1242,1587,2195,2486,1730,3387,4621,6557,3677,3110,4223,2506,923,48.0,4677,30589,834,824,529,79,1385,56180,,,,,2011
0500000US06007,Butte ,219309,108441,110868,12270,11985,13301,17984,24169,25298,23662,29129,14557,13508,16867,11114,5465,37.2,30476,165531,3105,1761,9217,477,17308,42971,,,,,2011
0500000US06009,Calaveras ,45794,22861,22933,1900,2298,2789,2931,2100,3444,4830,7766,4126,4109,5641,2734,1126,49.0,4688,38272,489,506,591,16,2379,55256,,,,,2011
0500000US06011,Colusa ,21297,10990,10307,1838,1747,1625,1839,1220,2711,2765,2771,1232,1014,1352,867,316,33.5,11460,8735,185,122,219,41,1066,49558,,,,,2011
0500000US06013,Contra Costa ,1037817,506600,531217,66955,71324,73758,73590,59788,127372,150463,161930,67729,57371,68203,40192,19142,38.3,248089,503705,92044,2488,146195,4435,77372,79135,,,,,2011
0500000US06015,Del Norte ,28561,15688,12873,1727,1593,1866,1850,1912,3835,3721,4540,1891,1616,2302,1258,450,38.9,5003,18704,911,1351,891,271,2830,37588,,,,,2011
0500000US06017,El Dorado ,179878,90056,89822,9629,10888,12686,12712,8879,17013,22982,32415,14180,12951,14629,7849,3065,43.1,21222,144557,1331,1252,6034,167,10538,68815,,,,,2011
0500000US06019,Fresno ,920623,460116,460507,78566,73550,75679,79932,74867,131286,114944,113981,47116,38836,48241,29967,13658,30.6,458069,306388,44217,5024,85690,1148,37819,46903,,,,,2011
0500000US06021,Glenn ,28027,14128,13899,2125,1998,2357,2122,1918,3393,3414,3948,1652,1455,1903,1249,493,35.3,10270,15841,231,613,645,9,803,43239,,,,,2011
0500000US06023,Humboldt ,133585,66897,66688,7537,7362,7159,9904,12373,18984,15060,19024,10608,8129,9428,5335,2682,37.3,12771,103777,1545,7418,3109,452,8852,40376,,,,,2011
0500000US06025,Imperial ,171343,88485,82858,13659,13358,14073,15011,13199,23605,22757,22169,9035,6601,9545,6195,2136,31.8,136376,24364,5464,1524,2489,76,1981,39402,,,,,2011
0500000US06027,Inyo ,18457,9329,9128,1084,1025,1078,1219,765,1987,2032,2940,1589,1268,1767,1221,482,45.1,3445,12307,190,1806,268,48,656,49571,,,,,2011
0500000US06029,Kern ,829254,428053,401201,72489,67719,67946,71013,64765,120083,109433,106902,41776,32967,42598,23501,8062,30.6,402444,325055,45154,5340,32350,828,34639,48021,,,,,2011
0500000US06031,Kings ,152335,86391,65944,12876,11955,10566,11556,13299,25474,22350,19925,7119,5347,6806,3718,1344,31.0,76401,54952,10526,1275,5514,353,6429,48838,,,,,2011
0500000US06033,Lake ,64392,32458,31934,3474,3974,3719,4272,3177,6470,7501,10192,4989,5453,6340,3218,1613,44.3,10784,47937,1414,1619,724,131,3415,39525,,,,,2011
0500000US06035,Lassen ,35001,22985,12016,1821,1207,1901,2009,3119,6474,5590,5402,2355,1764,1861,1097,401,37.0,6075,23314,2997,1207,442,162,1414,52484,,,,,2011
0500000US06037,Los Angeles ,9787747,4826636,4961111,654277,636761,687314,749978,741112,1482385,1446892,1355783,546711,437540,555360,346728,146906,34.6,4644328,2749159,816625,17324,1331809,23979,383199,56266,,,,,2011
0500000US06039,Madera ,149611,72056,77555,12088,11306,11805,12391,10748,20150,19232,19434,8459,7164,9491,5349,1994,33.2,79037,58157,4735,1707,2735,755,4864,47724,,,,,2011
0500000US06041,Marin ,250666,123455,127211,14071,14972,14124,12799,10423,24334,37335,42224,21226,18176,22179,12742,6061,44.3,37344,184503,6957,364,13924,507,13543,89605,,,,,2011
0500000US06043,Mariposa ,18290,9259,9031,822,847,1074,968,716,1805,1953,3205,1799,1354,2134,1250,363,48.4,1727,15209,180,288,200,46,1280,49174,,,,,2011
0500000US06045,Mendocino ,87525,43956,43569,5342,5359,5171,5793,5139,10262,10307,12728,7116,6852,7484,4205,1767,41.4,18964,60561,737,3584,1449,200,3963,44527,,,,,2011
0500000US06047,Merced ,253606,127671,125935,22352,21722,22285,23988,20072,34691,32351,30826,11995,9905,12897,7759,2763,29.5,137974,82235,8925,1182,18640,487,7879,43945,,,,,2011
0500000US06049,Modoc ,9587,4822,4765,508,532,667,534,414,955,957,1565,806,795,1101,506,247,46.5,1290,7570,108,321,73,8,434,35402,,,,,2011
0500000US06051,Mono ,14016,7554,6462,902,652,1028,797,1071,2222,2025,2136,900,1021,880,305,77,36.5,3613,9623,121,398,74,47,280,60469,,,,,2011
0500000US06053,Monterey ,411385,211665,199720,32869,30054,28576,32342,32357,61339,55203,53190,22415,19536,22199,15149,6156,32.8,224435,138147,11908,1278,24396,1826,17947,59737,,,,,2011
0500000US06055,Napa ,135377,67452,67925,8089,8412,9129,9398,8464,16423,17917,19851,8830,8528,10235,6601,3500,39.5,42603,77582,2635,454,8944,371,5338,68641,,,,,2011
0500000US06057,Nevada ,98392,48867,49525,4304,5151,5715,6198,4608,8950,11040,16095,9561,8000,10263,6084,2423,47.3,8185,85453,455,743,1340,128,4118,58077,,,,,2011
0500000US06059,Orange ,2989948,1479611,1510337,194230,200060,208103,223223,211548,413879,445323,437740,171737,141984,181623,112526,47972,36.0,994279,1339135,45836,6902,528429,8736,125312,75762,,,,,2011
0500000US06061,Placer ,343554,167829,175725,20840,23287,24713,23868,18224,38083,47224,52493,22615,20237,27969,17394,6607,40.0,43268,262970,4297,2173,20048,637,19549,74645,,,,,2011
0500000US06063,Plumas ,20192,10230,9962,865,1120,1056,1169,828,1688,2240,3280,2116,1758,2471,1078,523,49.0,1617,17254,253,516,208,18,652,44151,,,,,2011
0500000US06065,Riverside ,2154844,1073455,1081389,163060,165272,176611,182778,150731,278778,294900,284869,111346,93943,136383,86799,29374,33.5,968700,867229,128231,10416,124152,6144,93869,58365,,,,,2011
0500000US06067,Sacramento ,1408480,690157,718323,100877,96870,100733,104203,101185,205948,193225,198770,84283,66099,81548,52264,22475,34.7,298709,690766,139399,8240,199123,13440,113293,56553,,,,,2011
0500000US06069,San Benito ,54873,27417,27456,4127,4215,4764,4579,3499,7023,7665,8040,3276,2357,2961,1678,689,33.9,30497,21175,490,215,1289,0,2230,65570,,,,,2011
0500000US06071,San Bernardino ,2023452,1007191,1016261,159949,156714,170592,179155,158480,281408,276298,274238,105896,83739,100618,55883,20482,31.4,984022,685741,168190,7889,123415,5658,92190,55853,,,,,2011
0500000US06073,San Diego ,3060849,1536200,1524649,203716,193855,195273,223223,266614,465473,423104,425778,175075,143030,176166,117305,52237,34.6,967858,1500123,146379,10906,326884,12903,185230,63857,,,,,2011
0500000US06075,San Francisco ,797983,404490,393493,35295,28073,26106,34147,58320,167453,134179,110871,50422,43840,53817,38081,17379,38.4,119029,334808,47345,2064,265685,3234,48741,72947,,,,,2011
0500000US06077,San Joaquin ,680277,339095,341182,54758,53657,56793,57836,48242,90083,91955,90688,37490,28952,37329,22945,9549,32.5,260636,248594,46907,3043,95230,3229,44114,53764,,,,,2011
