county,enrollment,vaccinated,school_year,year,vac_pct,GEO.id,tot_pop,male,male_pct,female,female_pct,under_5,under_5_pct,5_9,5_9_pct,10_14,10_14_pct,15_19,15_19_pct,20_24,20_24_pct,25_34,25_34_pct,35_44,35_44_pct,45_54,45_54_pct,55_59,55_59_pct,60_64,60_64_pct,65_74,65_74_pct,75_84,75_84_pct,85_over,85_over_pct,median_age,median_age_pct,hispanic_latino,hispanic_latino_pct,mexican,mexican_pct,white,white_pct,black,black_pct,aian,aian_pct,asian,asian_pct,nhopi,nhopi_pct,other,other_pct,GEO.id2_y,median_income,insurance,insurance_pct,private_insure,private_insure_pct,public_insure,public_insure_pct,no_insurance,no_insurance_pct,hs_degree_pct,bachelor_degree_pct
Alameda,148667.0,145045.0,2011-2012,2012,97.56368259263992,0500000US06001,1515136,742993,49.0,772143,51.0,98185,6.5,95028,6.3,90384,6.0,98725,6.5,107624,7.1,230168,15.2,228990,15.1,221741,14.6,95216,6.3,78938,5.2,91973,6.1,53163,3.5,25001,1.7,36.6,,339441,22.4,261101.0,17.2,516580,34.1,181711,12.0,4318,0.3,397475,26.2,12442,0.8,120919,8.0,6001,71516,1316411,87.6,1065525,70.9,376206,25.0,185774,12.4,86.2,41.1
Alpine,57.0,56.0,2011-2012,2012,98.24561403508771,0500000US06003,1197,669,55.9,528,44.1,60,5.0,96,8.0,43,3.6,109,9.1,88,7.4,85,7.1,161,13.5,171,14.3,145,12.1,92,7.7,87,7.3,55,4.6,5,0.4,43.2,,78,6.5,23.0,1.9,835,69.8,0,0.0,230,19.2,32,2.7,22,1.8,0,0.0,6003,59931,906,75.7,649,54.2,363,30.3,291,24.3,91.1,31.7
Amador,2543.0,2417.0,2011-2012,2012,95.0452221785293,0500000US06005,37764,20542,54.4,17222,45.6,1345,3.6,1706,4.5,1845,4.9,2356,6.2,1640,4.3,3428,9.1,4462,11.8,6293,16.7,3729,9.9,3098,8.2,4543,12.0,2389,6.3,930,2.5,48.4,,4673,12.4,3414.0,9.0,30248,80.1,946,2.5,707,1.9,473,1.3,46,0.1,1317,3.5,6005,53462,29297,87.9,23254,69.8,13004,39.0,4021,12.1,87.5,18.8
Butte,22560.0,21008.0,2011-2012,2012,93.12056737588652,0500000US06007,220101,108961,49.5,111140,50.5,12340,5.6,12030,5.5,13211,6.0,17208,7.8,24468,11.1,25959,11.8,23423,10.6,28570,13.0,14860,6.8,13944,6.3,17445,7.9,11261,5.1,5382,2.4,37.3,,31256,14.2,26473.0,12.0,165440,75.2,2982,1.4,1712,0.8,9195,4.2,390,0.2,18141,8.299999999999999,6007,43339,182717,83.8,130226,59.7,82655,37.9,35348,16.2,86.7,24.0
Calaveras,3716.0,3417.0,2011-2012,2012,91.95371367061357,0500000US06009,45507,22871,50.3,22636,49.7,1838,4.0,2338,5.1,2626,5.8,2933,6.4,2014,4.4,3421,7.5,4592,10.1,7481,16.4,4290,9.4,4158,9.1,5950,13.1,2706,5.9,1160,2.5,49.5,,4738,10.4,3476.0,7.6,37944,83.4,468,1.0,354,0.8,619,1.4,20,0.0,2647,5.8,6009,54686,39963,88.8,31832,70.7,16796,37.3,5041,11.2,92.8,20.8
Colusa,2680.0,2631.0,2011-2012,2012,98.17164179104478,0500000US06011,21329,11019,51.7,10310,48.3,1833,8.6,1785,8.4,1601,7.5,1802,8.4,1272,6.0,2662,12.5,2736,12.8,2771,13.0,1151,5.4,1168,5.5,1394,6.5,877,4.1,277,1.3,33.9,,11740,55.0,11139.0,52.2,8535,40.0,157,0.7,109,0.5,223,1.0,45,0.2,1040,4.8,6011,52165,16636,78.9,10640,50.5,8038,38.1,4447,21.1,69.5,13.5
Contra Costa,119579.0,117161.0,2011-2012,2012,97.97790581958371,0500000US06013,1052047,513441,48.8,538606,51.2,66847,6.4,72770,6.9,73362,7.0,73605,7.0,61194,5.8,129638,12.3,149494,14.2,163310,15.5,69637,6.6,59612,5.7,72215,6.9,40767,3.9,19596,1.9,38.5,,255128,24.3,180334.0,17.1,503249,47.8,93001,8.8,2580,0.2,150514,14.3,4507,0.4,82499,7.800000000000001,6013,78187,923084,88.2,779845,74.5,255159,24.4,123086,11.8,88.6,38.6
Del Norte,2499.0,2332.0,2011-2012,2012,93.31732693077231,0500000US06015,28496,15677,55.0,12819,45.0,1705,6.0,1418,5.0,1829,6.4,1833,6.4,1997,7.0,4051,14.2,3486,12.2,4441,15.6,1988,7.0,1680,5.9,2397,8.4,1188,4.2,483,1.7,38.8,,5119,18.0,4551.0,16.0,18514,65.0,1069,3.8,1366,4.8,866,3.0,139,0.5,2798,9.8,6015,39626,21601,86.1,13524,53.9,11633,46.4,3492,13.9,78.9,13.8
El Dorado,18784.0,17496.0,2011-2012,2012,93.14310051107326,0500000US06017,180441,90422,50.1,90019,49.9,9305,5.2,11015,6.1,12386,6.9,12461,6.9,9117,5.1,17313,9.6,22032,12.2,31990,17.7,14519,8.0,13522,7.5,15672,8.7,7814,4.3,3295,1.8,43.5,,21650,12.0,17399.0,9.6,144479,80.1,1298,0.7,1247,0.7,6094,3.4,104,0.1,11096,6.1,6017,70117,160704,89.5,137364,76.5,48682,27.1,18784,10.5,93.1,31.3
Fresno,117508.0,114490.0,2011-2012,2012,97.43166422711646,0500000US06019,930517,464903,50.0,465614,50.0,79126,8.5,75575,8.1,74661,8.0,79200,8.5,76351,8.2,133151,14.3,114695,12.3,114508,12.3,48243,5.2,40628,4.4,50221,5.4,29985,3.2,14173,1.5,30.7,,467958,50.3,440632.0,47.4,303916,32.7,44497,4.8,5007,0.5,87152,9.4,1122,0.1,39593,4.2,6019,45741,735965,80.1,453219,49.3,359925,39.2,182614,19.9,72.8,19.4
