county,enrollment,vaccinated,s_year,vac_pct,geoid
Alameda,148667.0,145045.0,2012,97.56368259263992,0500000US06001
Alpine,57.0,56.0,2012,98.24561403508771,0500000US06003
Amador,2543.0,2417.0,2012,95.0452221785293,0500000US06005
Butte,22560.0,21008.0,2012,93.12056737588652,0500000US06007
Calaveras,3716.0,3417.0,2012,91.95371367061357,0500000US06009
Colusa,2680.0,2631.0,2012,98.17164179104478,0500000US06011
Contra Costa,119579.0,117161.0,2012,97.97790581958371,0500000US06013
Del Norte,2499.0,2332.0,2012,93.31732693077231,0500000US06015
El Dorado,18784.0,17496.0,2012,93.14310051107326,0500000US06017
Fresno,117508.0,114490.0,2012,97.43166422711646,0500000US06019
Glenn,3327.0,3239.0,2012,97.35497445145776,0500000US06021
Humboldt,11359.0,9847.0,2012,86.68896909939255,0500000US06023
Imperial,23063.0,22755.0,2012,98.66452759831765,0500000US06025
Inyo,2177.0,2143.0,2012,98.43821773082223,0500000US06027
Kern,106448.0,103800.0,2012,97.51240042086276,0500000US06029
Kings,17401.0,16964.0,2012,97.48865007758175,0500000US06031
Lake,5505.0,5121.0,2012,93.02452316076294,0500000US06033
Lassen,2933.0,2728.0,2012,93.01056938288443,0500000US06035
Los Angeles,1085356.0,1052842.0,2012,97.00430089297889,0500000US06037
Madera,17828.0,17239.0,2012,96.69620821180166,0500000US06039
Marin,24034.0,22701.0,2012,94.45369060497629,0500000US06041
Mariposa,1154.0,1044.0,2012,90.46793760831889,0500000US06043
Mendocino,8377.0,7608.0,2012,90.82010266205086,0500000US06045
Merced,34573.0,34083.0,2012,98.58270905041506,0500000US06047
Modoc,961.0,897.0,2012,93.34027055150884,0500000US06049
Mono,844.0,821.0,2012,97.27488151658767,0500000US06051
Monterey,46307.0,45358.0,2012,97.95063381346233,0500000US06053
Napa,14571.0,14115.0,2012,96.87049619106445,0500000US06055
Nevada,7978.0,6947.0,2012,87.07696164452243,0500000US06057
Orange,345593.0,333376.0,2012,96.4649168241255,0500000US06059
Placer,43299.0,40029.0,2012,92.44786253724104,0500000US06061
Plumas,1361.0,1229.0,2012,90.30124908155767,0500000US06063
Riverside,262530.0,255106.0,2012,97.17213270864282,0500000US06065
Sacramento,150077.0,142454.0,2012,94.92060742152361,0500000US06067
San Benito,6860.0,6697.0,2012,97.62390670553935,0500000US06069
San Bernardino,255058.0,248063.0,2012,97.25748653247497,0500000US06071
San Diego,333607.0,321270.0,2012,96.30193611045333,0500000US06073
San Francisco,54453.0,52817.0,2012,96.99557416487613,0500000US06075
San Joaquin,84867.0,83541.0,2012,98.43755523348298,0500000US06077
San Luis Obispo,22800.0,21317.0,2012,93.49561403508771,0500000US06079
San Mateo,69543.0,67952.0,2012,97.71220683605827,0500000US06081
Santa Barbara,44037.0,42532.0,2012,96.58241932920045,0500000US06083
Santa Clara,196683.0,192149.0,2012,97.69476772268065,0500000US06085
Santa Cruz,26212.0,24213.0,2012,92.3737219594079,0500000US06087
Shasta,17887.0,16367.0,2012,91.50220830770951,0500000US06089
Sierra,220.0,207.0,2012,94.0909090909091,0500000US06091
Siskiyou,3561.0,3217.0,2012,90.33979219320416,0500000US06093
Solano,39571.0,38723.0,2012,97.85701650198378,0500000US06095
Sonoma,46128.0,43944.0,2012,95.26534859521331,0500000US06097
Stanislaus,64719.0,62161.0,2012,96.04752854648557,0500000US06099
Sutter,13971.0,12936.0,2012,92.59179729439553,0500000US06101
Tehama,6420.0,6151.0,2012,95.80996884735202,0500000US06103
Trinity,875.0,756.0,2012,86.4,0500000US06105
Tulare,57578.0,56457.0,2012,98.05307582757304,0500000US06107
Tuolumne,4106.0,3636.0,2012,88.55333658061375,0500000US06109
Ventura,93012.0,88660.0,2012,95.32103384509526,0500000US06111
Yolo,19393.0,18608.0,2012,95.95214768215335,0500000US06113
Yuba,8368.0,7997.0,2012,95.56644359464627,0500000US06115
Alameda,60432.0,57112.0,2013,94.50622186920836,0500000US06001
Alpine,32.0,29.0,2013,90.625,0500000US06003
Amador,898.0,807.0,2013,89.86636971046771,0500000US06005
Butte,8542.0,7748.0,2013,90.70475298524936,0500000US06007
Calaveras,1147.0,994.0,2013,86.6608544027899,0500000US06009
Colusa,999.0,986.0,2013,98.69869869869869,0500000US06011
Contra Costa,45280.0,43608.0,2013,96.30742049469964,0500000US06013
Del Norte,776.0,692.0,2013,89.17525773195877,0500000US06015
El Dorado,6391.0,5748.0,2013,89.93897668596463,0500000US06017
Fresno,45505.0,43857.0,2013,96.37841995385122,0500000US06019
Glenn,1098.0,1080.0,2013,98.36065573770492,0500000US06021
Humboldt,4373.0,3567.0,2013,81.56871712782987,0500000US06023
Imperial,8342.0,8176.0,2013,98.0100695276912,0500000US06025
Inyo,648.0,630.0,2013,97.22222222222221,0500000US06027
Kern,39785.0,38366.0,2013,96.43332914414981,0500000US06029
Kings,6484.0,6329.0,2013,97.60950030845157,0500000US06031
Lake,1988.0,1779.0,2013,89.48692152917505,0500000US06033
Lassen,939.0,826.0,2013,87.96592119275826,0500000US06035
Los Angeles,385376.0,362966.0,2013,94.18489994187495,0500000US06037
Madera,6493.0,6190.0,2013,95.33343600800862,0500000US06039
Marin,11365.0,10467.0,2013,92.0985481742191,0500000US06041
Mariposa,240.0,205.0,2013,85.41666666666666,0500000US06043
Mendocino,3235.0,2812.0,2013,86.9242658423493,0500000US06045
Merced,11664.0,11362.0,2013,97.41083676268862,0500000US06047
Modoc,418.0,354.0,2013,84.688995215311,0500000US06049
Mono,289.0,270.0,2013,93.42560553633218,0500000US06051
Monterey,17873.0,17207.0,2013,96.27370894645554,0500000US06053
Napa,5222.0,4964.0,2013,95.05936422826503,0500000US06055
Nevada,2627.0,2035.0,2013,77.46478873239437,0500000US06057
Orange,128892.0,121898.0,2013,94.57375166806318,0500000US06059
Placer,14773.0,13206.0,2013,89.3928112096392,0500000US06061
Plumas,506.0,431.0,2013,85.17786561264822,0500000US06063
Riverside,89525.0,85902.0,2013,95.95308573024295,0500000US06065
Sacramento,55264.0,50410.0,2013,91.21670526925304,0500000US06067
San Benito,2391.0,2328.0,2013,97.3651191969887,0500000US06069
San Bernardino,86075.0,83067.0,2013,96.50537322102817,0500000US06071
San Diego,127053.0,119805.0,2013,94.29529408986801,0500000US06073
San Francisco,23663.0,22453.0,2013,94.88653171618138,0500000US06075
San Joaquin,31409.0,30431.0,2013,96.88624279665065,0500000US06077
San Luis Obispo,8519.0,7857.0,2013,92.22913487498533,0500000US06079
San Mateo,30763.0,29543.0,2013,96.03419692487729,0500000US06081
Santa Barbara,16868.0,15943.0,2013,94.51624377519565,0500000US06083
Santa Clara,79740.0,76438.0,2013,95.85904188612993,0500000US06085
Santa Cruz,9755.0,8706.0,2013,89.24654023577652,0500000US06087
Shasta,6268.0,5552.0,2013,88.57689853222719,0500000US06089
Sierra,77.0,77.0,2013,100.0,0500000US06091
Siskiyou,1414.0,1236.0,2013,87.41159830268741,0500000US06093
Solano,13849.0,13334.0,2013,96.28131995089898,0500000US06095
Sonoma,17109.0,15859.0,2013,92.69390379332515,0500000US06097
Stanislaus,23652.0,22583.0,2013,95.48029764924742,0500000US06099
Sutter,5092.0,4655.0,2013,91.4179104477612,0500000US06101
Tehama,2392.0,2262.0,2013,94.56521739130434,0500000US06103
Trinity,265.0,219.0,2013,82.64150943396227,0500000US06105
Tulare,22211.0,21527.0,2013,96.92044482463645,0500000US06107
Tuolumne,1398.0,1176.0,2013,84.12017167381974,0500000US06109
Ventura,34907.0,32709.0,2013,93.70326868536397,0500000US06111
Yolo,7544.0,7205.0,2013,95.50636267232238,0500000US06113
Yuba,3203.0,2915.0,2013,91.00842959725257,0500000US06115
Alameda,59565.0,56333.0,2014,94.57399479560145,0500000US06001
Alpine,12.0,10.0,2014,83.33333333333334,0500000US06003
Amador,840.0,721.0,2014,85.83333333333333,0500000US06005
Butte,8651.0,7761.0,2014,89.71217200323662,0500000US06007
Calaveras,1166.0,1005.0,2014,86.19210977701543,0500000US06009
Colusa,1006.0,993.0,2014,98.70775347912524,0500000US06011
Contra Costa,44109.0,42342.0,2014,95.99401482690607,0500000US06013
Del Norte,804.0,718.0,2014,89.30348258706468,0500000US06015
El Dorado,6322.0,5570.0,2014,88.10503005378045,0500000US06017
Fresno,44930.0,43031.0,2014,95.77342532828845,0500000US06019
Glenn,1167.0,1139.0,2014,97.6006855184233,0500000US06021
Humboldt,4350.0,3444.0,2014,79.17241379310344,0500000US06023
Imperial,8463.0,8322.0,2014,98.33392414037576,0500000US06025
Inyo,593.0,572.0,2014,96.45868465430016,0500000US06027
Kern,39567.0,37613.0,2014,95.06154118330933,0500000US06029
Kings,6718.0,6539.0,2014,97.33551652277464,0500000US06031
Lake,2075.0,1860.0,2014,89.63855421686748,0500000US06033
Lassen,958.0,837.0,2014,87.36951983298539,0500000US06035
Los Angeles,374819.0,352408.0,2014,94.02084739567631,0500000US06037
Madera,6872.0,6599.0,2014,96.02735739231665,0500000US06039
Marin,11026.0,10100.0,2014,91.60166878287683,0500000US06041
Mariposa,334.0,263.0,2014,78.74251497005989,0500000US06043
Mendocino,3149.0,2633.0,2014,83.61384566529057,0500000US06045
Merced,11916.0,11540.0,2014,96.8445787176905,0500000US06047
Modoc,356.0,309.0,2014,86.79775280898876,0500000US06049
Mono,352.0,321.0,2014,91.19318181818183,0500000US06051
Monterey,19043.0,18155.0,2014,95.33686919077876,0500000US06053
Napa,5427.0,5158.0,2014,95.04330200847613,0500000US06055
Nevada,2620.0,2046.0,2014,78.09160305343511,0500000US06057
Orange,129200.0,121091.0,2014,93.72368421052632,0500000US06059
Placer,14660.0,13200.0,2014,90.04092769440655,0500000US06061
Plumas,400.0,320.0,2014,80.0,0500000US06063
Riverside,88513.0,84466.0,2014,95.42779026809622,0500000US06065
Sacramento,53002.0,48320.0,2014,91.16637108033659,0500000US06067
San Benito,2459.0,2384.0,2014,96.9499796665311,0500000US06069
