geoid,geoid2,city,tot_pop,male,male_pct,female,female_pct,under_5,under_5_pct,5_9,5_9_pct,10_14,10_14_pct,15_19,15_19_pct,20_24,20_24_pct,25_34,25_34_pct,35_44,35_44_pct,45_54,45_54_pct,55_59,55_59_pct,60_64,60_64_pct,65_74,65_74_pct,75_84,75_84_pct,85_over,85_over_pct,median_age,median_age_pct,hispanic_latino,hispanic_latino_pct,mexican,mexican_pct,white,white_pct,black,black_pct,aian,aian_pct,asian,asian_pct,nhopi,nhopi_pct,other,other_pct,median_income,insurance,insurance_pct,private_insure,private_insure_pct,public_insure,public_insure_pct,no_insurance,no_insurance_pct
1600000US0600135,600135,Acalanes Ridge,1281,641,50.0,640,50.0,120,9.4,43,3.4,153,11.9,50,3.9,18,1.4,80,6.2,241,18.8,240,18.7,136,10.6,59,4.6,108,8.4,17,1.3,16,1.2,42.0,,48,3.7,48,3.7,839,65.5,0,0.0,0,0.0,216,16.9,0,0.0,356,27.8,135865.0,1254,97.9,1185,92.5,229,17.9,27,2.1
1600000US0600156,600156,Acampo,462,324,70.1,138,29.9,64,13.9,0,0.0,0,0.0,0,0.0,81,17.5,149,32.3,18,3.9,85,18.4,65,14.1,0,0.0,0,0.0,0,0.0,0,0.0,31.2,,407,88.1,407,88.1,55,11.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,123635.0,377,81.6,377,81.6,0,0.0,85,18.4
1600000US0600212,600212,Acton,7117,3547,49.8,3570,50.2,432,6.1,421,5.9,440,6.2,597,8.4,367,5.2,414,5.8,823,11.6,1653,23.2,563,7.9,466,6.5,617,8.7,294,4.1,30,0.4,45.3,,929,13.1,712,10.0,5865,82.4,27,0.4,0,0.0,92,1.3,0,0.0,303,4.3,91888.0,6543,92.0,5676,79.8,1766,24.8,569,8.0
1600000US0600296,600296,Adelanto,31040,16275,52.4,14765,47.6,3305,10.6,3262,10.5,3660,11.8,2843,9.2,3073,9.9,4987,16.1,3912,12.6,2774,8.9,825,2.7,1021,3.3,900,2.9,467,1.5,11,0.0,24.1,,16800,54.1,14285,46.0,5255,16.9,6571,21.2,24,0.1,756,2.4,224,0.7,2813,9.0,41113.0,22321,76.4,10474,35.9,13060,44.7,6888,23.6
1600000US0600310,600310,Adin,322,156,48.4,166,51.6,15,4.7,39,12.1,20,6.2,0,0.0,0,0.0,0,0.0,54,16.8,43,13.4,22,6.8,47,14.6,36,11.2,25,7.8,21,6.5,54.3,,8,2.5,8,2.5,309,96.0,0,0.0,5,1.6,0,0.0,0,0.0,0,0.0,38750.0,308,95.7,222,68.9,157,48.8,14,4.3
1600000US0600394,600394,Agoura Hills,20431,10427,51.0,10004,49.0,732,3.6,1219,6.0,1568,7.7,1790,8.8,1015,5.0,1926,9.4,2202,10.8,4247,20.8,1824,8.9,1477,7.2,1513,7.4,756,3.7,162,0.8,44.4,,2204,10.8,1560,7.6,16171,79.1,277,1.4,12,0.1,1230,6.0,0,0.0,1030,5.0,110716.0,19067,93.6,17813,87.4,3220,15.8,1314,6.4
1600000US0600450,600450,Agua Dulce,3233,1575,48.7,1658,51.3,165,5.1,138,4.3,256,7.9,362,11.2,170,5.3,149,4.6,472,14.6,501,15.5,323,10.0,373,11.5,225,7.0,78,2.4,21,0.6,43.7,,754,23.3,362,11.2,2296,71.0,0,0.0,0,0.0,26,0.8,0,0.0,314,9.8,101023.0,2932,90.7,2635,81.5,588,18.2,301,9.3
1600000US0600464,600464,Aguanga,1254,584,46.6,670,53.4,21,1.7,89,7.1,54,4.3,192,15.3,51,4.1,96,7.7,0,0.0,296,23.6,28,2.2,141,11.2,180,14.4,106,8.5,0,0.0,49.5,,47,3.7,47,3.7,1158,92.3,31,2.5,0,0.0,0,0.0,0,0.0,36,2.8,47983.0,848,67.6,728,58.1,488,38.9,406,32.4
1600000US0600478,600478,Ahwahnee,1748,827,47.3,921,52.7,7,0.4,119,6.8,89,5.1,108,6.2,119,6.8,83,4.7,258,14.8,271,15.5,81,4.6,106,6.1,257,14.7,205,11.7,45,2.6,52.3,,31,1.8,21,1.2,1707,97.7,0,0.0,0,0.0,1,0.1,0,0.0,18,1.0,52708.0,1553,89.4,1321,76.0,616,35.4,185,10.6
1600000US0600535,600535,Airport,1493,812,54.4,681,45.6,112,7.5,101,6.8,125,8.4,111,7.4,106,7.1,219,14.7,88,5.9,322,21.6,78,5.2,50,3.3,67,4.5,97,6.5,17,1.1,33.6,,940,63.0,885,59.3,553,37.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19667.0,1163,77.9,342,22.9,929,62.2,330,22.1
1600000US0600562,600562,Alameda,74023,35792,48.4,38231,51.6,4161,5.6,4390,5.9,3873,5.2,3776,5.1,4698,6.3,9951,13.4,11493,15.5,11944,16.1,5443,7.4,4545,6.1,5140,6.9,3078,4.2,1531,2.1,40.0,,9107,12.3,5516,7.5,32287,43.6,4834,6.5,135,0.2,23406,31.6,465,0.6,7395,10.0,77249.0,65482,90.1,55055,75.7,18158,25.0,7212,9.9
1600000US0600618,600618,Alamo,15504,7704,49.7,7800,50.3,788,5.1,1251,8.1,1316,8.5,1196,7.7,480,3.1,893,5.8,1999,12.9,2684,17.3,1366,8.8,1061,6.8,1504,9.7,693,4.5,273,1.8,44.3,,872,5.6,623,4.0,12936,83.4,93,0.6,5,0.0,1158,7.5,24,0.2,832,5.4,149495.0,15229,98.4,14632,94.6,2752,17.8,246,1.6
1600000US0600674,600674,Albany,18493,8975,48.5,9518,51.5,1440,7.8,1210,6.5,1328,7.2,1013,5.5,817,4.4,3062,16.6,3252,17.6,2234,12.1,1400,7.6,982,5.3,1020,5.5,492,2.7,243,1.3,36.1,,1768,9.6,1069,5.8,9450,51.1,518,2.8,41,0.2,5528,29.9,34,0.2,2264,12.2,73728.0,17012,92.1,15588,84.4,3043,16.5,1460,7.9
1600000US0600716,600716,Albion,298,178,59.7,120,40.3,0,0.0,0,0.0,0,0.0,61,20.5,16,5.4,29,9.7,16,5.4,92,30.9,0,0.0,59,19.8,14,4.7,0,0.0,11,3.7,46.4,,26,8.7,12,4.0,226,75.8,9,3.0,0,0.0,22,7.4,0,0.0,30,10.0,30214.0,193,64.8,143,48.0,61,20.5,105,35.2
1600000US0600786,600786,Alderpoint,320,244,76.3,76,23.8,38,11.9,15,4.7,0,0.0,0,0.0,0,0.0,40,12.5,128,40.0,0,0.0,48,15.0,51,15.9,0,0.0,0,0.0,0,0.0,38.4,,0,0.0,0,0.0,320,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30469.0,82,25.6,24,7.5,58,18.1,238,74.4
1600000US0600884,600884,Alhambra,83513,39750,47.6,43763,52.4,4210,5.0,4142,5.0,3957,4.7,4807,5.8,5486,6.6,13517,16.2,11814,14.1,12998,15.6,5838,7.0,4450,5.3,6132,7.3,3832,4.6,2330,2.8,39.8,,28197,33.8,21552,25.8,8821,10.6,1338,1.6,125,0.1,43983,52.7,41,0.0,1827,2.1,53917.0,67156,81.0,50229,60.6,22837,27.6,15706,19.0
1600000US0600898,600898,Alhambra Valley,754,437,58.0,317,42.0,15,2.0,15,2.0,0,0.0,51,6.8,27,3.6,101,13.4,23,3.1,126,16.7,106,14.1,98,13.0,115,15.3,32,4.2,45,6.0,56.4,,0,0.0,0,0.0,737,97.7,0,0.0,0,0.0,17,2.3,0,0.0,0,0.0,120625.0,732,97.1,704,93.4,200,26.5,22,2.9
1600000US0600947,600947,Aliso Viejo,47910,22732,47.4,25178,52.6,4069,8.5,3167,6.6,3438,7.2,2759,5.8,2556,5.3,7365,15.4,9449,19.7,8570,17.9,2258,4.7,1464,3.1,1874,3.9,659,1.4,282,0.6,35.8,,8103,16.9,6037,12.6,29082,60.7,1221,2.5,0,0.0,7571,15.8,22,0.0,3409,7.199999999999999,98515.0,42913,89.7,39925,83.4,4880,10.2,4936,10.3
