geoid,geoid2,city,tot_pop,male,male_pct,female,female_pct,under_5,under_5_pct,5_9,5_9_pct,10_14,10_14_pct,15_19,15_19_pct,20_24,20_24_pct,25_34,25_34_pct,35_44,35_44_pct,45_54,45_54_pct,55_59,55_59_pct,60_64,60_64_pct,65_74,65_74_pct,75_84,75_84_pct,85_over,85_over_pct,median_age,median_age_pct,hispanic_latino,hispanic_latino_pct,white,white_pct,black,black_pct,aian,aian_pct,asian,asian_pct,nhopi,nhopi_pct,other,other_pct,median_income,insurance,insurance_pct,private_insure,private_insure_pct,public_insure,public_insure_pct,no_insurance,no_insurance_pct
1600000US0600135,600135,Acalanes Ridge,1139,483,42.4,656,57.6,33,2.9,31,2.7,152,13.3,86,7.6,0,0.0,142,12.5,75,6.6,194,17.0,215,18.9,94,8.3,87,7.6,15,1.3,15,1.3,47.0,,0,0.0,658,57.8,0,0.0,0,0.0,322,28.3,0,0.0,318,28.0,156953.0,1125,98.8,1057,92.8,171,15.0,14,1.2
1600000US0600156,600156,Acampo,787,533,67.7,254,32.3,67,8.5,0,0.0,0,0.0,0,0.0,134,17.0,243,30.9,18,2.3,175,22.2,103,13.1,47,6.0,0,0.0,0,0.0,0,0.0,31.4,,418,53.1,369,46.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,152713.0,695,88.3,695,88.3,0,0.0,92,11.7
1600000US0600212,600212,Acton,7058,3755,53.2,3303,46.8,382,5.4,401,5.7,452,6.4,406,5.8,538,7.6,388,5.5,741,10.5,1304,18.5,877,12.4,490,6.9,759,10.8,296,4.2,24,0.3,47.5,,1174,16.6,5462,77.4,135,1.9,15,0.2,75,1.1,0,0.0,334,4.699999999999999,89150.0,6443,91.5,5761,81.8,1532,21.7,602,8.5
1600000US0600296,600296,Adelanto,32059,16270,50.8,15789,49.2,3804,11.9,3412,10.6,2957,9.2,2626,8.2,2783,8.7,4702,14.7,3860,12.0,3835,12.0,1063,3.3,876,2.7,1305,4.1,651,2.0,185,0.6,25.6,,18830,58.7,5767,18.0,6205,19.4,6,0.0,395,1.2,0,0.0,1664,5.1,33298.0,25857,85.0,10324,34.0,16609,54.6,4548,15.0
1600000US0600310,600310,Adin,173,84,48.6,89,51.4,6,3.5,0,0.0,16,9.2,20,11.6,0,0.0,4,2.3,0,0.0,12,6.9,28,16.2,44,25.4,14,8.1,17,9.8,12,6.9,60.0,,0,0.0,173,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,173,100.0,124,71.7,96,55.5,0,0.0
1600000US0600394,600394,Agoura Hills,20697,10446,50.5,10251,49.5,859,4.2,1085,5.2,1718,8.3,1568,7.6,1035,5.0,1972,9.5,2830,13.7,3977,19.2,1830,8.8,1255,6.1,1828,8.8,564,2.7,176,0.9,43.3,,2547,12.3,15555,75.2,431,2.1,10,0.0,1503,7.3,0,0.0,1242,6.1,113658.0,19468,94.5,17616,85.5,3743,18.2,1143,5.5
1600000US0600450,600450,Agua Dulce,3567,1795,50.3,1772,49.7,203,5.7,140,3.9,194,5.4,311,8.7,133,3.7,286,8.0,398,11.2,627,17.6,402,11.3,237,6.6,463,13.0,155,4.3,18,0.5,46.4,,753,21.1,2456,68.9,7,0.2,0,0.0,61,1.7,0,0.0,580,16.2,99638.0,3360,94.2,2968,83.2,995,27.9,207,5.8
1600000US0600464,600464,Aguanga,766,439,57.3,327,42.7,0,0.0,58,7.6,19,2.5,55,7.2,0,0.0,59,7.7,70,9.1,99,12.9,172,22.5,68,8.9,102,13.3,41,5.4,23,3.0,56.1,,198,25.8,568,74.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,43505.0,535,69.8,317,41.4,218,28.5,231,30.2
1600000US0600478,600478,Ahwahnee,1709,863,50.5,846,49.5,20,1.2,88,5.1,99,5.8,94,5.5,64,3.7,79,4.6,144,8.4,154,9.0,183,10.7,143,8.4,218,12.8,386,22.6,37,2.2,56.0,,31,1.8,1641,96.0,0,0.0,26,1.5,0,0.0,0,0.0,22,1.2,62715.0,1586,93.5,1214,71.5,819,48.3,111,6.5
1600000US0600535,600535,Airport,1565,858,54.8,707,45.2,252,16.1,148,9.5,72,4.6,90,5.8,78,5.0,377,24.1,147,9.4,227,14.5,22,1.4,14,0.9,97,6.2,41,2.6,0,0.0,30.1,,1159,74.1,376,24.0,30,1.9,0,0.0,0,0.0,0,0.0,0,0.0,32845.0,1201,76.7,633,40.4,631,40.3,364,23.3
1600000US0600562,600562,Alameda,76733,37208,48.5,39525,51.5,4369,5.7,4590,6.0,3793,4.9,3709,4.8,4144,5.4,10803,14.1,12356,16.1,12036,15.7,5237,6.8,5125,6.7,6083,7.9,3117,4.1,1371,1.8,40.7,,9079,11.8,33353,43.5,5297,6.9,138,0.2,23661,30.8,561,0.7,8868,11.5,79312.0,68303,90.8,57004,75.7,19173,25.5,6960,9.2
1600000US0600618,600618,Alamo,16301,8281,50.8,8020,49.2,848,5.2,958,5.9,1338,8.2,1593,9.8,578,3.5,1040,6.4,1535,9.4,2669,16.4,1453,8.9,1233,7.6,1902,11.7,908,5.6,246,1.5,46.3,,1426,8.7,13144,80.6,170,1.0,13,0.1,863,5.3,51,0.3,997,6.1000000000000005,165070.0,15927,97.8,15143,93.0,3269,20.1,355,2.2
1600000US0600674,600674,Albany,19249,9390,48.8,9859,51.2,1547,8.0,1459,7.6,1405,7.3,1105,5.7,832,4.3,3101,16.1,3236,16.8,2726,14.2,1041,5.4,835,4.3,1283,6.7,509,2.6,170,0.9,35.5,,2491,12.9,9161,47.6,839,4.4,59,0.3,5166,26.8,198,1.0,2513,13.0,79596.0,18085,94.2,16069,83.7,3650,19.0,1104,5.8
