city,enrollment,vaccinated,school_year,year,vac_pct
Acampo,366.0,360.0,2011-2012,2012,98.36065573770492
Acton,841.0,636.0,2011-2012,2012,75.62425683709868
Adelanto,1500.0,1415.0,2011-2012,2012,94.33333333333334
Adin,20.0,18.0,2011-2012,2012,90.0
Agoura Hills,3619.0,3406.0,2011-2012,2012,94.11439624205582
Agua Dulce,34.0,32.0,2011-2012,2012,94.11764705882352
Aguanga,109.0,103.0,2011-2012,2012,94.4954128440367
Ahwahnee,114.0,101.0,2011-2012,2012,88.59649122807018
Alameda,7618.0,7411.0,2011-2012,2012,97.28275137831452
Alamo,3049.0,3012.0,2011-2012,2012,98.78648737290915
Albany,2407.0,2247.0,2011-2012,2012,93.35272122974658
Alhambra,9753.0,9662.0,2011-2012,2012,99.06695375781811
Aliso Viejo,7221.0,6473.0,2011-2012,2012,89.64132391635508
Allensworth,25.0,24.0,2011-2012,2012,96.0
Alpaugh,164.0,157.0,2011-2012,2012,95.73170731707317
Alpine,869.0,796.0,2011-2012,2012,91.59953970080552
Alta,28.0,25.0,2011-2012,2012,89.28571428571429
Altadena,1835.0,1665.0,2011-2012,2012,90.73569482288828
Alturas,657.0,533.0,2011-2012,2012,81.12633181126331
American Canyon,2076.0,2063.0,2011-2012,2012,99.373795761079
Anaheim,41407.0,40773.0,2011-2012,2012,98.46885792257348
Anderson,2153.0,1980.0,2011-2012,2012,91.96470041802137
Angels,1021.0,978.0,2011-2012,2012,95.78844270323212
Angwin,151.0,132.0,2011-2012,2012,87.41721854304636
Antelope,4980.0,4691.0,2011-2012,2012,94.19678714859437
Antioch,11474.0,11197.0,2011-2012,2012,97.58584626111208
Anza,575.0,537.0,2011-2012,2012,93.3913043478261
Apple Valley,9166.0,8689.0,2011-2012,2012,94.79598516255727
Aptos,2852.0,2679.0,2011-2012,2012,93.93408134642355
Arboga,48.0,47.0,2011-2012,2012,97.91666666666666
Arbuckle,789.0,776.0,2011-2012,2012,98.35234474017744
Arcadia,7691.0,7573.0,2011-2012,2012,98.46573917565986
Arcata,1979.0,1696.0,2011-2012,2012,85.69984840828701
Armona,446.0,429.0,2011-2012,2012,96.18834080717488
Arnold,51.0,42.0,2011-2012,2012,82.35294117647058
Aromas,150.0,145.0,2011-2012,2012,96.66666666666667
Arroyo Grande,4176.0,3955.0,2011-2012,2012,94.70785440613027
Artesia,1621.0,1590.0,2011-2012,2012,98.08760024676127
Arvin,3925.0,3911.0,2011-2012,2012,99.64331210191084
Atascadero,3169.0,2972.0,2011-2012,2012,93.78352792679078
Atherton,4461.0,4388.0,2011-2012,2012,98.36359560636629
Atwater,5833.0,5774.0,2011-2012,2012,98.98851362935025
Auberry,23.0,23.0,2011-2012,2012,100.0
Auburn,3508.0,3251.0,2011-2012,2012,92.67388825541619
Avalon,411.0,397.0,2011-2012,2012,96.59367396593674
Avenal,1427.0,1419.0,2011-2012,2012,99.43938332165382
Avery,166.0,161.0,2011-2012,2012,96.98795180722891
