county,city,vac_info_type,n
Alameda,Alameda,7thGradeData,975.0
Alameda,Alameda,ChildCareData,1183.0
Alameda,Alameda,KindergartenData,944.0
Alameda,Albany,7thGradeData,243.0
Alameda,Albany,ChildCareData,240.0
Alameda,Albany,KindergartenData,244.0
Alameda,Berkeley,7thGradeData,925.0
Alameda,Berkeley,KindergartenData,717.0
Alameda,Castro Valley,7thGradeData,788.0
Alameda,Castro Valley,ChildCareData,766.0
Alameda,Castro Valley,KindergartenData,842.0
Alameda,Dublin,7thGradeData,744.0
Alameda,Dublin,ChildCareData,1078.0
Alameda,Dublin,KindergartenData,987.0
Alameda,Emeryville,7thGradeData,50.0
Alameda,Emeryville,ChildCareData,133.0
Alameda,Emeryville,KindergartenData,34.0
Alameda,Fremont,7thGradeData,2775.0
Alameda,Fremont,ChildCareData,4045.0
Alameda,Fremont,KindergartenData,3212.0
Alameda,Hayward,7thGradeData,435.0
Alameda,Hayward,ChildCareData,1966.0
Alameda,Hayward,KindergartenData,2185.0
Alameda,Livermore,7thGradeData,1074.0
Alameda,Livermore,ChildCareData,1202.0
Alameda,Livermore,KindergartenData,1139.0
Alameda,Newark,7thGradeData,525.0
Alameda,Newark,ChildCareData,946.0
Alameda,Newark,KindergartenData,741.0
Alameda,Oakland,7thGradeData,3400.0
Alameda,Oakland,ChildCareData,4851.0
Alameda,Oakland,KindergartenData,4260.0
Alameda,Piedmont,7thGradeData,222.0
Alameda,Piedmont,ChildCareData,97.0
Alameda,Piedmont,KindergartenData,170.0
Alameda,Pleasanton,7thGradeData,1156.0
Alameda,Pleasanton,ChildCareData,1612.0
Alameda,Pleasanton,KindergartenData,1032.0
Alameda,Richmond,7thGradeData,13.0
Alameda,Richmond,KindergartenData,7.0
Alameda,San Leandro,7thGradeData,905.0
Alameda,San Leandro,ChildCareData,817.0
Alameda,San Leandro,KindergartenData,880.0
Alameda,San Lorenzo,7thGradeData,633.0
Alameda,San Lorenzo,ChildCareData,321.0
Alameda,San Lorenzo,KindergartenData,514.0
Alameda,Sunol,7thGradeData,33.0
Alameda,Sunol,ChildCareData,20.0
Alameda,Sunol,KindergartenData,31.0
Alameda,Union City,7thGradeData,913.0
Alameda,Union City,ChildCareData,583.0
Alameda,Union City,KindergartenData,1006.0
Amador,Ione,ChildCareData,41.0
Amador,Ione,KindergartenData,58.0
Amador,Jackson,7thGradeData,280.0
Amador,Jackson,ChildCareData,73.0
Amador,Jackson,KindergartenData,106.0
Amador,Pine Grove,ChildCareData,41.0
Amador,Pioneer,ChildCareData,52.0
Amador,Pioneer,KindergartenData,27.0
Amador,Plymouth,7thGradeData,29.0
Amador,Plymouth,ChildCareData,50.0
Amador,Plymouth,KindergartenData,27.0
Amador,Sutter Creek,KindergartenData,34.0
Berkeley City,Berkeley,ChildCareData,2295.0
Butte,Bangor,7thGradeData,11.0
Butte,Bangor,ChildCareData,10.0
Butte,Bangor,KindergartenData,11.0
Butte,Biggs,7thGradeData,52.0
Butte,Biggs,ChildCareData,20.0
Butte,Biggs,KindergartenData,40.0
Butte,Chico,7thGradeData,1073.0
Butte,Chico,ChildCareData,1365.0
Butte,Chico,KindergartenData,1068.0
Butte,Durham,7thGradeData,88.0
Butte,Durham,ChildCareData,17.0
Butte,Durham,KindergartenData,60.0
Butte,Forest Ranch,KindergartenData,9.0
Butte,Gridley,7thGradeData,165.0
Butte,Gridley,ChildCareData,159.0
Butte,Gridley,KindergartenData,205.0
Butte,Magalia,7thGradeData,66.0
Butte,Magalia,ChildCareData,27.0
Butte,Magalia,KindergartenData,83.0
Butte,Oroville,7thGradeData,431.0
Butte,Oroville,ChildCareData,616.0
Butte,Oroville,KindergartenData,723.0
Butte,Palermo,7thGradeData,116.0
Butte,Palermo,ChildCareData,64.0
Butte,Paradise,7thGradeData,241.0
Butte,Paradise,ChildCareData,279.0
Butte,Paradise,KindergartenData,212.0
Calaveras,Angels,7thGradeData,81.0
Calaveras,Angels,ChildCareData,30.0
Calaveras,Angels,KindergartenData,37.0
Calaveras,Avery,7thGradeData,64.0
Calaveras,Copperopolis,ChildCareData,27.0
Calaveras,Copperopolis,KindergartenData,38.0
Calaveras,Mokelumne Hill,KindergartenData,11.0
Calaveras,Murphys,ChildCareData,19.0
Calaveras,Murphys,KindergartenData,46.0
Calaveras,San Andreas,7thGradeData,30.0
Calaveras,San Andreas,ChildCareData,36.0
Calaveras,San Andreas,KindergartenData,52.0
Calaveras,Valley Springs,7thGradeData,224.0
Calaveras,Valley Springs,ChildCareData,96.0
Calaveras,Valley Springs,KindergartenData,141.0
Calaveras,West Point,ChildCareData,11.0
Calaveras,West Point,KindergartenData,15.0
Colusa,Arbuckle,7thGradeData,118.0
Colusa,Arbuckle,ChildCareData,68.0
Colusa,Arbuckle,KindergartenData,107.0
Colusa,Colusa,7thGradeData,115.0
Colusa,Colusa,ChildCareData,79.0
Colusa,Colusa,KindergartenData,122.0
Colusa,Maxwell,7thGradeData,24.0
Colusa,Maxwell,ChildCareData,17.0
Colusa,Maxwell,KindergartenData,23.0
Colusa,Williams,7thGradeData,89.0
Colusa,Williams,ChildCareData,80.0
Colusa,Williams,KindergartenData,141.0
Contra Costa,Alamo,7thGradeData,184.0
Contra Costa,Alamo,ChildCareData,270.0
Contra Costa,Alamo,KindergartenData,123.0
Contra Costa,Antioch,7thGradeData,1334.0
Contra Costa,Antioch,ChildCareData,847.0
Contra Costa,Antioch,KindergartenData,1205.0
Contra Costa,Bay Point,7thGradeData,248.0
Contra Costa,Bay Point,ChildCareData,310.0
Contra Costa,Bay Point,KindergartenData,290.0
Contra Costa,Brentwood,7thGradeData,1048.0
Contra Costa,Brentwood,ChildCareData,697.0
Contra Costa,Brentwood,KindergartenData,905.0
Contra Costa,Byron,7thGradeData,208.0
Contra Costa,Byron,KindergartenData,8.0
Contra Costa,Clayton,7thGradeData,208.0
Contra Costa,Clayton,ChildCareData,108.0
Contra Costa,Clayton,KindergartenData,110.0
Contra Costa,Concord,7thGradeData,999.0
Contra Costa,Concord,ChildCareData,1628.0
Contra Costa,Concord,KindergartenData,1489.0
Contra Costa,Danville,7thGradeData,1055.0
Contra Costa,Danville,ChildCareData,1323.0
Contra Costa,Danville,KindergartenData,768.0
Contra Costa,Discovery Bay,ChildCareData,101.0
Contra Costa,Discovery Bay,KindergartenData,149.0
Contra Costa,El Cerrito,7thGradeData,540.0
Contra Costa,El Cerrito,ChildCareData,244.0
Contra Costa,El Cerrito,KindergartenData,308.0
Contra Costa,El Sobrante (Contra Costa County),7thGradeData,331.0
Contra Costa,El Sobrante (Contra Costa County),ChildCareData,115.0
Contra Costa,El Sobrante (Contra Costa County),KindergartenData,147.0
Contra Costa,Hercules,7thGradeData,235.0
Contra Costa,Hercules,ChildCareData,160.0
Contra Costa,Hercules,KindergartenData,206.0
Contra Costa,Kensington,ChildCareData,204.0
Contra Costa,Kensington,KindergartenData,76.0
Contra Costa,Knightsen,7thGradeData,55.0
Contra Costa,Knightsen,KindergartenData,52.0
Contra Costa,Lafayette,7thGradeData,417.0
Contra Costa,Lafayette,ChildCareData,858.0
Contra Costa,Lafayette,KindergartenData,419.0
Contra Costa,Martinez,7thGradeData,340.0
Contra Costa,Martinez,ChildCareData,469.0
Contra Costa,Martinez,KindergartenData,488.0
Contra Costa,Moraga,7thGradeData,223.0
Contra Costa,Moraga,ChildCareData,455.0
Contra Costa,Moraga,KindergartenData,190.0
Contra Costa,Oakley,7thGradeData,619.0
Contra Costa,Oakley,ChildCareData,296.0
Contra Costa,Oakley,KindergartenData,594.0
Contra Costa,Orinda,7thGradeData,299.0
Contra Costa,Orinda,ChildCareData,327.0
Contra Costa,Orinda,KindergartenData,251.0
Contra Costa,Pinole,7thGradeData,365.0
Contra Costa,Pinole,ChildCareData,75.0
Contra Costa,Pinole,KindergartenData,253.0
Contra Costa,Pittsburg,7thGradeData,945.0
Contra Costa,Pittsburg,ChildCareData,837.0
Contra Costa,Pittsburg,KindergartenData,1061.0
Contra Costa,Pleasant Hill,7thGradeData,930.0
Contra Costa,Pleasant Hill,ChildCareData,668.0
Contra Costa,Pleasant Hill,KindergartenData,583.0
Contra Costa,Richmond,7thGradeData,626.0
Contra Costa,Richmond,ChildCareData,1453.0
Contra Costa,Richmond,KindergartenData,1320.0
Contra Costa,Rodeo,7thGradeData,33.0
Contra Costa,Rodeo,ChildCareData,209.0
Contra Costa,Rodeo,KindergartenData,198.0
Contra Costa,San Pablo,7thGradeData,525.0
Contra Costa,San Pablo,ChildCareData,255.0
Contra Costa,San Pablo,KindergartenData,501.0
Contra Costa,San Ramon,7thGradeData,1477.0
Contra Costa,San Ramon,ChildCareData,833.0
Contra Costa,San Ramon,KindergartenData,1288.0
Contra Costa,Walnut Creek,7thGradeData,972.0
Contra Costa,Walnut Creek,ChildCareData,1404.0
Contra Costa,Walnut Creek,KindergartenData,925.0
Del Norte,Crescent City,7thGradeData,231.0
Del Norte,Crescent City,ChildCareData,144.0
Del Norte,Crescent City,KindergartenData,247.0
Del Norte,Klamath,KindergartenData,14.0
Del Norte,Smith River,7thGradeData,26.0
Del Norte,Smith River,ChildCareData,15.0
Del Norte,Smith River,KindergartenData,27.0
El Dorado,Cameron Park,7thGradeData,198.0
El Dorado,Cameron Park,ChildCareData,181.0
El Dorado,Cameron Park,KindergartenData,120.0
El Dorado,Camino,7thGradeData,48.0
El Dorado,Camino,ChildCareData,25.0
El Dorado,Camino,KindergartenData,61.0
El Dorado,Cool,ChildCareData,27.0
El Dorado,Cool,KindergartenData,37.0
El Dorado,Diamond Springs,ChildCareData,112.0
El Dorado,El Dorado,7thGradeData,25.0
El Dorado,El Dorado,KindergartenData,7.0
El Dorado,El Dorado Hills,7thGradeData,644.0
El Dorado,El Dorado Hills,ChildCareData,586.0
El Dorado,El Dorado Hills,KindergartenData,550.0
El Dorado,Garden Valley,7thGradeData,66.0
El Dorado,Georgetown,ChildCareData,21.0
El Dorado,Georgetown,KindergartenData,37.0
El Dorado,Placerville,7thGradeData,457.0
El Dorado,Placerville,ChildCareData,380.0
El Dorado,Placerville,KindergartenData,404.0
El Dorado,Pollock Pines,7thGradeData,66.0
El Dorado,Pollock Pines,ChildCareData,39.0
El Dorado,Pollock Pines,KindergartenData,72.0
El Dorado,Rescue,7thGradeData,194.0
El Dorado,Rescue,ChildCareData,57.0
El Dorado,Rescue,KindergartenData,156.0
El Dorado,Shingle Springs,7thGradeData,63.0
El Dorado,Shingle Springs,ChildCareData,115.0
El Dorado,Shingle Springs,KindergartenData,142.0
El Dorado,Somerset,7thGradeData,32.0
El Dorado,Somerset,ChildCareData,13.0
El Dorado,Somerset,KindergartenData,25.0
El Dorado,South Lake Tahoe,7thGradeData,238.0
El Dorado,South Lake Tahoe,ChildCareData,378.0
El Dorado,South Lake Tahoe,KindergartenData,352.0
Fresno,Auberry,ChildCareData,17.0
Fresno,Cantua Creek,7thGradeData,26.0
Fresno,Cantua Creek,KindergartenData,13.0
Fresno,Caruthers,7thGradeData,114.0
Fresno,Caruthers,ChildCareData,93.0
Fresno,Caruthers,KindergartenData,135.0
Fresno,Clovis,7thGradeData,2086.0
Fresno,Clovis,ChildCareData,1797.0
Fresno,Clovis,KindergartenData,1965.0
Fresno,Coalinga,7thGradeData,205.0
Fresno,Coalinga,ChildCareData,210.0
Fresno,Coalinga,KindergartenData,229.0
Fresno,Del Rey,ChildCareData,23.0
Fresno,Del Rey,KindergartenData,55.0
Fresno,Dunlap,7thGradeData,41.0
Fresno,Dunlap,ChildCareData,17.0
Fresno,Dunlap,KindergartenData,53.0
Fresno,Firebaugh,7thGradeData,166.0
Fresno,Firebaugh,ChildCareData,220.0
Fresno,Firebaugh,KindergartenData,170.0
Fresno,Five Points,7thGradeData,21.0
Fresno,Five Points,ChildCareData,46.0
Fresno,Five Points,KindergartenData,32.0
Fresno,Fowler,7thGradeData,178.0
Fresno,Fowler,ChildCareData,117.0
Fresno,Fowler,KindergartenData,146.0
Fresno,Fresno,7thGradeData,8182.0
Fresno,Fresno,ChildCareData,7669.0
Fresno,Fresno,KindergartenData,10143.0
Fresno,Helm,7thGradeData,13.0
Fresno,Helm,KindergartenData,12.0
Fresno,Huron,7thGradeData,123.0
Fresno,Huron,ChildCareData,135.0
Fresno,Huron,KindergartenData,152.0
Fresno,Kerman,7thGradeData,720.0
Fresno,Kerman,ChildCareData,209.0
Fresno,Kerman,KindergartenData,482.0
Fresno,Kingsburg,7thGradeData,258.0
Fresno,Kingsburg,ChildCareData,213.0
Fresno,Kingsburg,KindergartenData,317.0
Fresno,Laton,7thGradeData,51.0
Fresno,Laton,ChildCareData,66.0
Fresno,Laton,KindergartenData,77.0
Fresno,Mendota,7thGradeData,210.0
Fresno,Mendota,ChildCareData,182.0
Fresno,Mendota,KindergartenData,292.0
Fresno,Orange Cove,7thGradeData,188.0
Fresno,Orange Cove,ChildCareData,245.0
Fresno,Orange Cove,KindergartenData,246.0
Fresno,Parlier,7thGradeData,304.0
Fresno,Parlier,ChildCareData,239.0
Fresno,Parlier,KindergartenData,337.0
Fresno,Pinedale,ChildCareData,153.0
Fresno,Pinedale,KindergartenData,157.0
Fresno,Prather,KindergartenData,110.0
Fresno,Raisin City,7thGradeData,34.0
Fresno,Raisin City,ChildCareData,28.0
Fresno,Raisin City,KindergartenData,37.0
Fresno,Reedley,7thGradeData,527.0
Fresno,Reedley,ChildCareData,463.0
Fresno,Reedley,KindergartenData,566.0
Fresno,Riverdale,7thGradeData,117.0
Fresno,Riverdale,ChildCareData,103.0
Fresno,Riverdale,KindergartenData,157.0
Fresno,San Joaquin,7thGradeData,90.0
Fresno,San Joaquin,ChildCareData,118.0
Fresno,San Joaquin,KindergartenData,95.0
Fresno,Sanger,7thGradeData,794.0
Fresno,Sanger,ChildCareData,484.0
Fresno,Sanger,KindergartenData,595.0
Fresno,Selma,7thGradeData,517.0
Fresno,Selma,ChildCareData,516.0
Fresno,Selma,KindergartenData,554.0
Fresno,Simi Valley,7thGradeData,69.0
Fresno,Simi Valley,KindergartenData,46.0
Fresno,Tollhouse,7thGradeData,70.0
Fresno,Tranquillity,7thGradeData,23.0
Fresno,Tranquillity,KindergartenData,19.0
