county,city,vac_info_type,n
Alameda,Alameda,7thGradeData,752.0
Alameda,Alameda,ChildCareData,1098.0
Alameda,Alameda,KindergartenData,974.0
Alameda,Albany,7thGradeData,284.0
Alameda,Albany,ChildCareData,248.0
Alameda,Albany,KindergartenData,300.0
Alameda,Berkeley,7thGradeData,933.0
Alameda,Berkeley,ChildCareData,61.0
Alameda,Berkeley,KindergartenData,903.0
Alameda,Castro Valley,7thGradeData,804.0
Alameda,Castro Valley,ChildCareData,750.0
Alameda,Castro Valley,KindergartenData,802.0
Alameda,Dublin,7thGradeData,894.0
Alameda,Dublin,ChildCareData,1350.0
Alameda,Dublin,KindergartenData,1155.0
Alameda,Emeryville,7thGradeData,60.0
Alameda,Emeryville,ChildCareData,147.0
Alameda,Fremont,7thGradeData,2894.0
Alameda,Fremont,ChildCareData,4112.0
Alameda,Fremont,KindergartenData,3436.0
Alameda,Hayward,7thGradeData,1748.0
Alameda,Hayward,ChildCareData,1923.0
Alameda,Hayward,KindergartenData,2313.0
Alameda,Livermore,7thGradeData,1116.0
Alameda,Livermore,ChildCareData,1366.0
Alameda,Livermore,KindergartenData,1253.0
Alameda,Newark,7thGradeData,555.0
Alameda,Newark,ChildCareData,1055.0
Alameda,Newark,KindergartenData,670.0
Alameda,Oakland,7thGradeData,3947.0
Alameda,Oakland,ChildCareData,4102.0
Alameda,Oakland,KindergartenData,5591.0
Alameda,Piedmont,7thGradeData,263.0
Alameda,Piedmont,ChildCareData,84.0
Alameda,Piedmont,KindergartenData,159.0
Alameda,Pleasanton,7thGradeData,1217.0
Alameda,Pleasanton,ChildCareData,1686.0
Alameda,Pleasanton,KindergartenData,1088.0
Alameda,San Leandro,7thGradeData,973.0
Alameda,San Leandro,ChildCareData,802.0
Alameda,San Leandro,KindergartenData,886.0
Alameda,San Lorenzo,7thGradeData,700.0
Alameda,San Lorenzo,ChildCareData,340.0
Alameda,San Lorenzo,KindergartenData,439.0
Alameda,Sunol,7thGradeData,19.0
Alameda,Sunol,ChildCareData,31.0
Alameda,Sunol,KindergartenData,34.0
Alameda,Union City,7thGradeData,940.0
Alameda,Union City,ChildCareData,483.0
Alameda,Union City,KindergartenData,898.0
Amador,Ione,ChildCareData,37.0
Amador,Ione,KindergartenData,66.0
Amador,Jackson,7thGradeData,293.0
Amador,Jackson,ChildCareData,68.0
Amador,Jackson,KindergartenData,96.0
Amador,Pine Grove,ChildCareData,48.0
Amador,Pioneer,ChildCareData,31.0
Amador,Pioneer,KindergartenData,33.0
Amador,Plymouth,7thGradeData,19.0
Amador,Plymouth,ChildCareData,16.0
Amador,Plymouth,KindergartenData,25.0
Amador,Sutter Creek,KindergartenData,50.0
Berkeley City,Berkeley,ChildCareData,2272.0
Butte,Bangor,7thGradeData,15.0
