,county,city,vac_info_type,n
0,Alameda,Alameda,7thGradeData,931
1,Alameda,Alameda,ChildCareData,1231
2,Alameda,Alameda,KindergartenData,986
3,Alameda,Albany,7thGradeData,255
4,Alameda,Albany,ChildCareData,249
5,Alameda,Albany,KindergartenData,307
6,Alameda,Berkeley,7thGradeData,908
7,Alameda,Berkeley,ChildCareData,2346
8,Alameda,Berkeley,KindergartenData,860
9,Alameda,Castro Valley,7thGradeData,776
10,Alameda,Castro Valley,ChildCareData,797
11,Alameda,Castro Valley,KindergartenData,864
12,Alameda,Dublin,7thGradeData,939
13,Alameda,Dublin,ChildCareData,1275
14,Alameda,Dublin,KindergartenData,1150
15,Alameda,Emeryville,7thGradeData,50
16,Alameda,Emeryville,ChildCareData,238
17,Alameda,Emeryville,KindergartenData,70
18,Alameda,Fremont,7thGradeData,2855
19,Alameda,Fremont,ChildCareData,4388
20,Alameda,Fremont,KindergartenData,3743
21,Alameda,Hayward,7thGradeData,1803
22,Alameda,Hayward,ChildCareData,1852
23,Alameda,Hayward,KindergartenData,2101
24,Alameda,Livermore,7thGradeData,1047
25,Alameda,Livermore,ChildCareData,1439
26,Alameda,Livermore,KindergartenData,1331
27,Alameda,Newark,7thGradeData,514
28,Alameda,Newark,ChildCareData,1015
29,Alameda,Newark,KindergartenData,673
30,Alameda,Oakland,7thGradeData,4118
31,Alameda,Oakland,ChildCareData,4446
32,Alameda,Oakland,KindergartenData,5354
33,Alameda,Piedmont,7thGradeData,237
34,Alameda,Piedmont,ChildCareData,57
35,Alameda,Piedmont,KindergartenData,196
36,Alameda,Pleasanton,7thGradeData,1236
37,Alameda,Pleasanton,ChildCareData,2088
38,Alameda,Pleasanton,KindergartenData,1058
39,Alameda,San Leandro,7thGradeData,1005
40,Alameda,San Leandro,ChildCareData,1083
41,Alameda,San Leandro,KindergartenData,1038
42,Alameda,San Lorenzo,7thGradeData,680
43,Alameda,San Lorenzo,ChildCareData,342
44,Alameda,San Lorenzo,KindergartenData,390
45,Alameda,Sunol,7thGradeData,30
46,Alameda,Sunol,ChildCareData,25
47,Alameda,Sunol,KindergartenData,34
48,Alameda,Union City,7thGradeData,938
49,Alameda,Union City,ChildCareData,491
50,Alameda,Union City,KindergartenData,862
51,Amador,Ione,KindergartenData,87
52,Amador,Jackson,7thGradeData,291
53,Amador,Jackson,ChildCareData,36
54,Amador,Jackson,KindergartenData,114
55,Amador,Pioneer,KindergartenData,45
56,Amador,Plymouth,7thGradeData,21
57,Amador,Plymouth,ChildCareData,34
58,Amador,Plymouth,KindergartenData,28
59,Amador,Sutter Creek,KindergartenData,63
60,Butte,Biggs,7thGradeData,34
61,Butte,Biggs,KindergartenData,55
62,Butte,Chico,7thGradeData,959
63,Butte,Chico,ChildCareData,1429
64,Butte,Chico,KindergartenData,1178
