county,city,vac_info_type,pct
Alameda,Alameda,7thGradeData,98.22857142857143
Alameda,Alameda,ChildCareData,94.88333333333333
Alameda,Alameda,KindergartenData,92.28666666666666
Alameda,Albany,7thGradeData,98.0
Alameda,Albany,ChildCareData,91.43333333333334
Alameda,Albany,KindergartenData,97.325
Alameda,Berkeley,7thGradeData,99.22727272727273
Alameda,Berkeley,KindergartenData,83.40476190476191
Alameda,Castro Valley,7thGradeData,99.23333333333333
Alameda,Castro Valley,ChildCareData,97.2909090909091
Alameda,Castro Valley,KindergartenData,92.77499999999999
Alameda,Dublin,7thGradeData,98.92
Alameda,Dublin,ChildCareData,93.34117647058824
Alameda,Dublin,KindergartenData,97.7818181818182
Alameda,Emeryville,7thGradeData,61.1
Alameda,Emeryville,ChildCareData,82.06666666666666
Alameda,Emeryville,KindergartenData,55.9
Alameda,Fremont,7thGradeData,98.28235294117648
Alameda,Fremont,ChildCareData,94.85423728813561
Alameda,Fremont,KindergartenData,96.53095238095239
Alameda,Hayward,7thGradeData,97.5111111111111
Alameda,Hayward,ChildCareData,96.51714285714286
Alameda,Hayward,KindergartenData,94.50999999999999
Alameda,Livermore,7thGradeData,99.15555555555555
Alameda,Livermore,ChildCareData,92.51851851851852
Alameda,Livermore,KindergartenData,92.34285714285714
Alameda,Newark,7thGradeData,89.6
Alameda,Newark,ChildCareData,95.07142857142857
Alameda,Newark,KindergartenData,95.43333333333334
Alameda,Oakland,7thGradeData,98.58000000000001
Alameda,Oakland,ChildCareData,91.60689655172412
Alameda,Oakland,KindergartenData,82.62499999999999
Alameda,Piedmont,7thGradeData,99.75
Alameda,Piedmont,ChildCareData,96.2
Alameda,Piedmont,KindergartenData,87.075
Alameda,Pleasanton,7thGradeData,98.69999999999999
Alameda,Pleasanton,ChildCareData,95.905
Alameda,Pleasanton,KindergartenData,98.26666666666667
Alameda,San Leandro,7thGradeData,99.9875
Alameda,San Leandro,ChildCareData,93.32083333333334
Alameda,San Leandro,KindergartenData,96.09333333333333
Alameda,San Lorenzo,7thGradeData,97.83333333333333
Alameda,San Lorenzo,ChildCareData,96.65
Alameda,San Lorenzo,KindergartenData,92.21
Alameda,Sunol,7thGradeData,84.0
Alameda,Sunol,ChildCareData,95.0
Alameda,Union City,7thGradeData,99.45
Alameda,Union City,ChildCareData,97.05833333333334
Alameda,Union City,KindergartenData,94.32999999999998
Alpine,Markleeville,ChildCareData,100.0
Alpine,Markleeville,KindergartenData,84.2
Amador,Ione,ChildCareData,92.35
Amador,Ione,KindergartenData,88.3
Amador,Jackson,7thGradeData,87.46666666666665
Amador,Jackson,ChildCareData,91.275
Amador,Jackson,KindergartenData,94.2
Amador,Pine Grove,ChildCareData,96.45
Amador,Pine Grove,KindergartenData,92.8
Amador,Pioneer,ChildCareData,97.85
Amador,Plymouth,ChildCareData,89.5
Amador,Plymouth,KindergartenData,91.2
Amador,Sutter Creek,KindergartenData,87.2
Berkeley City,Berkeley,ChildCareData,92.2913793103448
Butte,Bangor,7thGradeData,100.0
Butte,Bangor,ChildCareData,90.9
Butte,Bangor,KindergartenData,90.0
Butte,Biggs,7thGradeData,100.0
Butte,Biggs,ChildCareData,93.3
Butte,Biggs,KindergartenData,89.7
Butte,Chico,7thGradeData,80.85833333333333
Butte,Chico,ChildCareData,85.84358974358973
Butte,Chico,KindergartenData,85.35000000000001
Butte,Durham,7thGradeData,95.5
Butte,Durham,ChildCareData,100.0
