county,city,vac_info_type,pct
Alameda,Alameda,7thGradeData,98.00333333333333
Alameda,Alameda,ChildCareData,95.38708333333334
Alameda,Alameda,KindergartenData,97.73066666666666
Alameda,Albany,7thGradeData,94.35
Alameda,Albany,ChildCareData,96.02375
Alameda,Albany,KindergartenData,96.84333333333332
Alameda,Berkeley,7thGradeData,98.00222222222222
Alameda,Berkeley,ChildCareData,92.42
Alameda,Berkeley,KindergartenData,86.26210526315788
Alameda,Castro Valley,7thGradeData,96.6875
Alameda,Castro Valley,ChildCareData,97.02916666666668
Alameda,Castro Valley,KindergartenData,95.58083333333333
Alameda,Dublin,7thGradeData,97.854
Alameda,Dublin,ChildCareData,97.893
Alameda,Dublin,KindergartenData,98.70727272727272
Alameda,Emeryville,7thGradeData,100.0
Alameda,Emeryville,ChildCareData,97.2325
Alameda,Fremont,7thGradeData,97.60624999999999
Alameda,Fremont,ChildCareData,97.65567164179105
Alameda,Fremont,KindergartenData,98.02923076923076
Alameda,Hayward,7thGradeData,99.86
Alameda,Hayward,ChildCareData,97.10076923076922
Alameda,Hayward,KindergartenData,97.951
Alameda,Livermore,7thGradeData,98.29222222222221
Alameda,Livermore,ChildCareData,97.35666666666668
Alameda,Livermore,KindergartenData,95.70142857142858
Alameda,Newark,7thGradeData,98.68
Alameda,Newark,ChildCareData,98.51176470588236
Alameda,Newark,KindergartenData,97.64636363636363
Alameda,Oakland,7thGradeData,96.52654545454546
Alameda,Oakland,ChildCareData,95.75499999999998
Alameda,Oakland,KindergartenData,96.25204081632654
Alameda,Piedmont,7thGradeData,99.36500000000001
Alameda,Piedmont,ChildCareData,99.07333333333334
Alameda,Piedmont,KindergartenData,97.675
Alameda,Pleasanton,7thGradeData,98.99666666666667
Alameda,Pleasanton,ChildCareData,96.97428571428573
Alameda,Pleasanton,KindergartenData,97.06499999999998
Alameda,San Leandro,7thGradeData,99.84666666666665
Alameda,San Leandro,ChildCareData,99.395
Alameda,San Leandro,KindergartenData,97.39714285714285
Alameda,San Lorenzo,7thGradeData,98.7375
Alameda,San Lorenzo,ChildCareData,97.62875
Alameda,San Lorenzo,KindergartenData,99.22285714285714
Alameda,Sunol,7thGradeData,86.36
Alameda,Sunol,ChildCareData,93.94
Alameda,Sunol,KindergartenData,91.89
Alameda,Union City,7thGradeData,94.445
Alameda,Union City,ChildCareData,99.57307692307693
Alameda,Union City,KindergartenData,97.58222222222223
Amador,Ione,ChildCareData,97.62
Amador,Ione,KindergartenData,84.62
Amador,Jackson,7thGradeData,94.17
Amador,Jackson,ChildCareData,84.33
Amador,Jackson,KindergartenData,88.205
Amador,Pine Grove,ChildCareData,93.37666666666667
Amador,Pioneer,ChildCareData,77.5
Amador,Pioneer,KindergartenData,100.0
Amador,Plymouth,7thGradeData,95.0
Amador,Plymouth,ChildCareData,100.0
Amador,Plymouth,KindergartenData,96.15
Amador,Sutter Creek,KindergartenData,89.29
Berkeley City,Berkeley,ChildCareData,92.38442307692308
Butte,Bangor,7thGradeData,100.0
Butte,Bangor,KindergartenData,100.0
Butte,Biggs,7thGradeData,96.55
Butte,Biggs,ChildCareData,92.31
Butte,Biggs,KindergartenData,93.55
Butte,Chico,7thGradeData,91.19444444444443
Butte,Chico,ChildCareData,89.45432432432433
Butte,Chico,KindergartenData,88.3404761904762
Butte,Durham,7thGradeData,100.0
Butte,Durham,ChildCareData,100.0
Butte,Durham,KindergartenData,87.06
Butte,Forest Ranch,KindergartenData,81.25
Butte,Gridley,7thGradeData,97.48
Butte,Gridley,ChildCareData,98.4375
Butte,Gridley,KindergartenData,98.125
Butte,Magalia,7thGradeData,96.92
Butte,Magalia,ChildCareData,88.54333333333334
Butte,Magalia,KindergartenData,88.235
Butte,Oroville,7thGradeData,97.47555555555556
Butte,Oroville,ChildCareData,93.42842105263158
Butte,Oroville,KindergartenData,92.46142857142857
Butte,Palermo,7thGradeData,99.31
Butte,Palermo,ChildCareData,100.0
Butte,Paradise,7thGradeData,92.69428571428571
Butte,Paradise,ChildCareData,92.13833333333332
Butte,Paradise,KindergartenData,85.0025
Calaveras,Angels,7thGradeData,87.06
Calaveras,Angels,ChildCareData,95.0
Calaveras,Angels,KindergartenData,85.45
Calaveras,Arnold,KindergartenData,86.21
Calaveras,Avery,7thGradeData,94.03
Calaveras,Copperopolis,ChildCareData,100.0
Calaveras,Copperopolis,KindergartenData,95.24
Calaveras,Mokelumne Hill,KindergartenData,100.0
Calaveras,Murphys,ChildCareData,100.0
Calaveras,Murphys,KindergartenData,78.79
Calaveras,Rail Road Flat,KindergartenData,90.0
Calaveras,San Andreas,7thGradeData,79.41
Calaveras,San Andreas,ChildCareData,73.86500000000001
Calaveras,San Andreas,KindergartenData,71.0
Calaveras,Valley Springs,7thGradeData,95.45
Calaveras,Valley Springs,ChildCareData,94.02833333333335
Calaveras,Valley Springs,KindergartenData,93.94
Calaveras,West Point,ChildCareData,87.5
Calaveras,West Point,KindergartenData,100.0
Colusa,Arbuckle,7thGradeData,100.0
Colusa,Arbuckle,ChildCareData,100.0
Colusa,Arbuckle,KindergartenData,99.02
Colusa,Colusa,7thGradeData,99.535
Colusa,Colusa,ChildCareData,100.0
Colusa,Colusa,KindergartenData,100.0
Colusa,Maxwell,7thGradeData,100.0
Colusa,Maxwell,ChildCareData,100.0
Colusa,Maxwell,KindergartenData,100.0
Colusa,Williams,7thGradeData,100.0
Colusa,Williams,ChildCareData,99.18666666666667
Colusa,Williams,KindergartenData,100.0
Contra Costa,Alamo,7thGradeData,96.5
Contra Costa,Alamo,ChildCareData,95.074
Contra Costa,Alamo,KindergartenData,96.22
Contra Costa,Antioch,7thGradeData,88.23125000000002
Contra Costa,Antioch,ChildCareData,96.75266666666667
Contra Costa,Antioch,KindergartenData,94.69235294117647
Contra Costa,Bay Point,7thGradeData,99.6
Contra Costa,Bay Point,ChildCareData,93.21142857142857
Contra Costa,Bay Point,KindergartenData,96.05333333333333
Contra Costa,Berkeley,KindergartenData,93.75
Contra Costa,Brentwood,7thGradeData,99.17
Contra Costa,Brentwood,ChildCareData,93.6863157894737
Contra Costa,Brentwood,KindergartenData,95.674
Contra Costa,Byron,7thGradeData,91.68
Contra Costa,Byron,KindergartenData,50.91
Contra Costa,Clayton,7thGradeData,99.17
Contra Costa,Clayton,ChildCareData,88.7425
Contra Costa,Clayton,KindergartenData,96.92
Contra Costa,Concord,7thGradeData,93.33909090909091
Contra Costa,Concord,ChildCareData,95.70511111111111
Contra Costa,Concord,KindergartenData,95.78499999999998
Contra Costa,Crockett,7thGradeData,97.6
Contra Costa,Danville,7thGradeData,98.01166666666667
Contra Costa,Danville,ChildCareData,95.65950000000001
Contra Costa,Danville,KindergartenData,93.16636363636363
Contra Costa,Discovery Bay,ChildCareData,94.82333333333334
Contra Costa,Discovery Bay,KindergartenData,93.53999999999999
Contra Costa,El Cerrito,7thGradeData,99.866
Contra Costa,El Cerrito,ChildCareData,92.59555555555556
Contra Costa,El Cerrito,KindergartenData,93.4175
Contra Costa,El Sobrante (Contra Costa County),7thGradeData,99.38499999999999
Contra Costa,El Sobrante (Contra Costa County),ChildCareData,83.33333333333333
Contra Costa,El Sobrante (Contra Costa County),KindergartenData,88.372
Contra Costa,Hercules,7thGradeData,98.5
Contra Costa,Hercules,ChildCareData,97.50333333333333
Contra Costa,Hercules,KindergartenData,100.0
Contra Costa,Kensington,ChildCareData,95.41499999999999
Contra Costa,Kensington,KindergartenData,96.43
Contra Costa,Knightsen,7thGradeData,95.38
Contra Costa,Knightsen,KindergartenData,97.06
Contra Costa,Lafayette,7thGradeData,99.36
Contra Costa,Lafayette,ChildCareData,96.38153846153847
Contra Costa,Lafayette,KindergartenData,96.24625
Contra Costa,Martinez,7thGradeData,99.705
Contra Costa,Martinez,ChildCareData,97.81461538461538
Contra Costa,Martinez,KindergartenData,98.16166666666668
Contra Costa,Moraga,7thGradeData,99.03999999999999
Contra Costa,Moraga,ChildCareData,96.91000000000001
Contra Costa,Moraga,KindergartenData,95.4325
Contra Costa,Oakley,7thGradeData,98.89
Contra Costa,Oakley,ChildCareData,95.9157142857143
Contra Costa,Oakley,KindergartenData,97.69857142857143
Contra Costa,Orinda,7thGradeData,99.02
Contra Costa,Orinda,ChildCareData,97.145
Contra Costa,Orinda,KindergartenData,94.92500000000001
Contra Costa,Pinole,7thGradeData,99.42666666666666
Contra Costa,Pinole,ChildCareData,95.81666666666666
Contra Costa,Pinole,KindergartenData,98.846
Contra Costa,Pittsburg,7thGradeData,99.89750000000001
Contra Costa,Pittsburg,ChildCareData,98.85684210526317
Contra Costa,Pittsburg,KindergartenData,94.79363636363637
Contra Costa,Pleasant Hill,7thGradeData,99.494
Contra Costa,Pleasant Hill,ChildCareData,96.33076923076922
Contra Costa,Pleasant Hill,KindergartenData,97.75142857142858
Contra Costa,Richmond,7thGradeData,100.0
Contra Costa,Richmond,ChildCareData,97.29454545454546
Contra Costa,Richmond,KindergartenData,97.16291666666666
Contra Costa,Rodeo,7thGradeData,100.0
Contra Costa,Rodeo,ChildCareData,96.815
Contra Costa,Rodeo,KindergartenData,99.685
Contra Costa,San Pablo,7thGradeData,99.89500000000001
Contra Costa,San Pablo,ChildCareData,98.099
Contra Costa,San Pablo,KindergartenData,99.43999999999998
Contra Costa,San Ramon,7thGradeData,97.07833333333333
Contra Costa,San Ramon,ChildCareData,95.60785714285714
Contra Costa,San Ramon,KindergartenData,96.22923076923078
Contra Costa,Walnut Creek,7thGradeData,98.2811111111111
Contra Costa,Walnut Creek,ChildCareData,93.90666666666668
Contra Costa,Walnut Creek,KindergartenData,95.46799999999999
Del Norte,Crescent City,7thGradeData,88.50999999999999
Del Norte,Crescent City,ChildCareData,95.98111111111112
Del Norte,Crescent City,KindergartenData,86.91285714285713
Del Norte,Klamath,KindergartenData,93.75
Del Norte,Smith River,7thGradeData,100.0
Del Norte,Smith River,KindergartenData,86.36
El Dorado,Cameron Park,7thGradeData,96.38
El Dorado,Cameron Park,ChildCareData,94.59333333333332
El Dorado,Cameron Park,KindergartenData,87.71
El Dorado,Camino,7thGradeData,92.515
El Dorado,Camino,ChildCareData,100.0
El Dorado,Camino,KindergartenData,93.88
El Dorado,Cool,ChildCareData,82.76
El Dorado,Cool,KindergartenData,80.7
El Dorado,Diamond Springs,ChildCareData,88.02333333333333
El Dorado,El Dorado Hills,7thGradeData,97.804
El Dorado,El Dorado Hills,ChildCareData,94.34571428571428
El Dorado,El Dorado Hills,KindergartenData,92.98250000000002
El Dorado,Garden Valley,7thGradeData,95.35
El Dorado,Georgetown,7thGradeData,83.33
El Dorado,Georgetown,ChildCareData,100.0
El Dorado,Georgetown,KindergartenData,86.405
El Dorado,Placerville,7thGradeData,89.59142857142857
El Dorado,Placerville,ChildCareData,91.89818181818183
El Dorado,Placerville,KindergartenData,84.11777777777779
El Dorado,Pollock Pines,7thGradeData,97.44
