,COUNTY,CITY,vac_info_type,pct
0,Alameda,Alameda,7th grade,97.1
1,Alameda,Alameda,childcare,95.92307692307692
2,Alameda,Alameda,kindergarten,96.5
3,Alameda,Albany,7th grade,96.0
4,Alameda,Albany,childcare,94.16666666666667
5,Alameda,Albany,kindergarten,96.66666666666667
6,Alameda,Berkeley,7th grade,96.14285714285714
7,Alameda,Berkeley,childcare,94.2439024390244
8,Alameda,Berkeley,kindergarten,93.0
9,Alameda,Castro Valley,7th grade,97.0
10,Alameda,Castro Valley,childcare,96.61538461538461
11,Alameda,Castro Valley,kindergarten,96.91666666666667
12,Alameda,Dublin,7th grade,96.6
13,Alameda,Dublin,childcare,94.85
14,Alameda,Dublin,kindergarten,96.9090909090909
15,Alameda,Emeryville,childcare,95.75
16,Alameda,Fremont,7th grade,96.3076923076923
17,Alameda,Fremont,childcare,94.95161290322581
18,Alameda,Fremont,kindergarten,97.45945945945945
19,Alameda,Hayward,7th grade,97.0909090909091
20,Alameda,Hayward,childcare,95.26315789473684
21,Alameda,Hayward,kindergarten,97.71428571428571
22,Alameda,Livermore,7th grade,96.625
23,Alameda,Livermore,childcare,96.54166666666667
24,Alameda,Livermore,kindergarten,97.83333333333333
25,Alameda,Newark,7th grade,97.33333333333333
26,Alameda,Newark,childcare,96.4375
27,Alameda,Newark,kindergarten,96.9
28,Alameda,Oakland,7th grade,95.96078431372548
29,Alameda,Oakland,childcare,95.57142857142857
30,Alameda,Oakland,kindergarten,94.88764044943821
31,Alameda,Piedmont,7th grade,97.0
32,Alameda,Piedmont,childcare,95.0
33,Alameda,Piedmont,kindergarten,95.75
34,Alameda,Pleasanton,7th grade,98.66666666666667
35,Alameda,Pleasanton,childcare,96.36363636363636
36,Alameda,Pleasanton,kindergarten,98.4
37,Alameda,San Leandro,7th grade,96.83333333333333
38,Alameda,San Leandro,childcare,95.54545454545455
39,Alameda,San Leandro,kindergarten,96.76923076923077
40,Alameda,San Lorenzo,7th grade,96.0
41,Alameda,San Lorenzo,childcare,95.42857142857143
42,Alameda,San Lorenzo,kindergarten,98.25
43,Alameda,Sunol,7th grade,50.0
44,Alameda,Sunol,childcare,95.0
45,Alameda,Sunol,kindergarten,94.0
46,Alameda,Union City,7th grade,97.66666666666667
47,Alameda,Union City,childcare,95.0
48,Alameda,Union City,kindergarten,97.875
49,Amador,Ione,childcare,95.0
50,Amador,Ione,kindergarten,98.0
51,Amador,Jackson,7th grade,96.5
52,Amador,Jackson,childcare,86.0
53,Amador,Jackson,kindergarten,96.5
54,Amador,Pine Grove,childcare,95.0
55,Amador,Pioneer,childcare,95.0
56,Amador,Pioneer,kindergarten,95.0
57,Amador,Plymouth,7th grade,95.0
58,Amador,Plymouth,childcare,95.0
59,Amador,Plymouth,kindergarten,95.0
60,Amador,Sutter Creek,kindergarten,90.0
61,Butte,Biggs,7th grade,50.0
62,Butte,Biggs,kindergarten,90.0
63,Butte,Chico,7th grade,88.0
64,Butte,Chico,childcare,94.9090909090909
65,Butte,Chico,kindergarten,92.25
66,Butte,Durham,7th grade,98.0
67,Butte,Durham,kindergarten,98.0
68,Butte,Gridley,7th grade,97.0
69,Butte,Gridley,childcare,95.75
70,Butte,Gridley,kindergarten,97.0
71,Butte,Magalia,7th grade,96.0
72,Butte,Magalia,childcare,92.0
73,Butte,Magalia,kindergarten,97.0
74,Butte,Oroville,7th grade,98.0
75,Butte,Oroville,childcare,95.11764705882354
76,Butte,Oroville,kindergarten,96.4
77,Butte,Palermo,7th grade,99.0
78,Butte,Palermo,childcare,98.0
79,Butte,Paradise,7th grade,96.25
80,Butte,Paradise,childcare,96.0
81,Butte,Paradise,kindergarten,96.5
82,Calaveras,Angels,7th grade,98.0
83,Calaveras,Angels,childcare,95.0
84,Calaveras,Angels,kindergarten,90.0
85,Calaveras,Arnold,kindergarten,90.0
86,Calaveras,Avery,7th grade,98.0
87,Calaveras,Copperopolis,kindergarten,94.0
88,Calaveras,Murphys,childcare,90.0
89,Calaveras,Murphys,kindergarten,90.0
90,Calaveras,San Andreas,7th grade,57.0
91,Calaveras,San Andreas,childcare,90.0
92,Calaveras,San Andreas,kindergarten,69.0
93,Calaveras,Valley Springs,7th grade,99.0
94,Calaveras,Valley Springs,kindergarten,96.5
95,Colusa,Arbuckle,7th grade,99.0
96,Colusa,Arbuckle,childcare,95.0
97,Colusa,Arbuckle,kindergarten,99.0
98,Colusa,Colusa,7th grade,99.0
99,Colusa,Colusa,childcare,95.0
100,Colusa,Colusa,kindergarten,98.0
101,Colusa,Maxwell,7th grade,95.0
102,Colusa,Maxwell,kindergarten,95.0
103,Colusa,Williams,childcare,95.0
104,Colusa,Williams,kindergarten,97.0
105,Contra Costa,Alamo,7th grade,99.0
106,Contra Costa,Alamo,childcare,96.0
107,Contra Costa,Alamo,kindergarten,98.0
108,Contra Costa,Antioch,7th grade,97.375
109,Contra Costa,Antioch,childcare,96.38461538461539
110,Contra Costa,Antioch,kindergarten,96.17647058823529
111,Contra Costa,Bay Point,7th grade,99.0
112,Contra Costa,Bay Point,childcare,96.16666666666667
113,Contra Costa,Bay Point,kindergarten,99.0
114,Contra Costa,Brentwood,7th grade,99.0
115,Contra Costa,Brentwood,childcare,95.5
116,Contra Costa,Brentwood,kindergarten,97.63636363636364
117,Contra Costa,Byron,7th grade,92.0
118,Contra Costa,Byron,kindergarten,68.0
119,Contra Costa,Clayton,7th grade,99.0
120,Contra Costa,Clayton,childcare,96.0
121,Contra Costa,Clayton,kindergarten,98.0
122,Contra Costa,Concord,7th grade,95.44444444444444
123,Contra Costa,Concord,childcare,95.91428571428571
124,Contra Costa,Concord,kindergarten,96.5
125,Contra Costa,Crockett,7th grade,99.0
126,Contra Costa,Danville,7th grade,97.66666666666667
127,Contra Costa,Danville,childcare,93.95
128,Contra Costa,Danville,kindergarten,97.7
129,Contra Costa,Discovery Bay,childcare,94.33333333333333
130,Contra Costa,Discovery Bay,kindergarten,96.0
131,Contra Costa,El Cerrito,7th grade,98.33333333333333
132,Contra Costa,El Cerrito,childcare,93.42857142857143
133,Contra Costa,El Cerrito,kindergarten,93.33333333333333
134,Contra Costa,El Sobrante (Contra Costa County),7th grade,97.0
135,Contra Costa,El Sobrante (Contra Costa County),childcare,97.0
136,Contra Costa,El Sobrante (Contra Costa County),kindergarten,91.33333333333333
137,Contra Costa,Hercules,7th grade,99.0
138,Contra Costa,Hercules,childcare,97.0
139,Contra Costa,Hercules,kindergarten,98.0
140,Contra Costa,Kensington,childcare,94.66666666666667
141,Contra Costa,Kensington,kindergarten,98.0
142,Contra Costa,Knightsen,7th grade,98.0
143,Contra Costa,Knightsen,kindergarten,95.0
144,Contra Costa,Lafayette,7th grade,97.0
145,Contra Costa,Lafayette,childcare,95.16666666666667
146,Contra Costa,Lafayette,kindergarten,93.33333333333333
147,Contra Costa,Martinez,7th grade,99.0
148,Contra Costa,Martinez,childcare,96.27272727272727
149,Contra Costa,Martinez,kindergarten,97.16666666666667
150,Contra Costa,Moraga,7th grade,99.0
151,Contra Costa,Moraga,childcare,97.0
152,Contra Costa,Moraga,kindergarten,96.33333333333333
153,Contra Costa,Oakley,7th grade,99.0
154,Contra Costa,Oakley,childcare,96.28571428571429
155,Contra Costa,Oakley,kindergarten,98.14285714285714
156,Contra Costa,Orinda,7th grade,99.0
