GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC04_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC04_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104
1600000US0600135,0600135,"Acalanes Ridge CDP, California",1111,307,1111,,565,178,50.9,8.6,546,183,49.1,8.6,71,51,6.4,4.0,49,58,4.4,4.7,61,74,5.5,6.1,53,59,4.8,5.1,14,23,1.3,2.0,146,97,13.1,8.2,138,87,12.4,6.0,167,80,15.0,6.4,174,103,15.7,8.9,76,55,6.8,5.0,130,71,11.7,6.9,16,25,1.4,2.3,16,25,1.4,2.3,46.2,9.4,,,877,209,78.9,8.7,863,205,77.7,9.2,195,79,17.6,8.0,162,72,14.6,7.2,877,209,877,,419,113,47.8,7.6,458,134,52.2,7.6,162,72,162,,106,52,65.4,19.9,56,43,34.6,19.9,1111,307,1111,,980,274,88.2,9.9,131,123,11.8,9.9,980,274,88.2,9.9,756,257,68.0,13.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,224,142,20.2,12.5,0,12,0.0,3.1,59,65,5.3,5.9,37,54,3.3,4.8,0,12,0.0,3.1,24,41,2.2,3.7,17,27,1.5,2.3,87,131,7.8,11.6,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,131,123,11.8,9.9,0,12,0.0,3.1,0,12,0.0,3.1,131,123,11.8,9.9,0,12,0.0,3.1,1111,307,1111,,887,302,79.8,12.5,0,12,0.0,3.1,0,12,0.0,3.1,355,172,32.0,13.1,0,12,0.0,3.1,0,12,0.0,3.1,1111,307,1111,,19,31,1.7,2.7,19,31,1.7,2.7,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,1092,305,98.3,2.7,737,252,66.3,12.8,0,12,0.0,3.1,0,12,0.0,3.1,224,142,20.2,12.5,0,12,0.0,3.1,0,12,0.0,3.1,131,123,11.8,9.9,0,12,0.0,3.1,131,123,11.8,9.9,409,79,,
1600000US0600156,0600156,"Acampo CDP, California",666,697,666,,480,486,72.1,5.2,186,213,27.9,5.2,68,105,10.2,8.2,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,130,124,19.5,4.6,213,257,32.0,8.2,19,30,2.9,7.9,87,109,13.1,10.3,106,112,15.9,4.3,43,55,6.5,10.6,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,31.0,7.0,,,598,598,89.8,8.2,598,598,89.8,8.2,0,12,0.0,5.1,0,12,0.0,5.1,598,598,598,,480,486,80.3,3.3,118,113,19.7,3.3,0,12,0,,0,12,,,0,12,,,666,697,666,,666,697,100.0,5.1,0,12,0.0,5.1,666,697,100.0,5.1,666,697,100.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,666,697,666,,666,697,100.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,666,697,666,,429,663,64.4,52.2,429,663,64.4,52.2,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,237,217,35.6,52.2,237,217,35.6,52.2,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,0,12,0.0,5.1,138,111,,
1600000US0600212,0600212,"Acton CDP, California",7022,698,7022,,3596,433,51.2,3.1,3426,389,48.8,3.1,398,181,5.7,2.4,377,128,5.4,1.7,437,173,6.2,2.3,510,234,7.3,2.9,489,192,7.0,2.6,428,135,6.1,1.9,868,206,12.4,2.6,1425,265,20.3,3.1,703,169,10.0,2.4,476,148,6.8,2.4,625,172,8.9,2.6,286,123,4.1,1.7,0,17,0.0,0.5,45.0,2.2,,,5493,497,78.2,4.0,5154,413,73.4,4.2,1171,244,16.7,3.9,911,197,13.0,3.0,5493,497,5493,,2839,335,51.7,3.2,2654,269,48.3,3.2,911,197,911,,383,110,42.0,7.7,528,134,58.0,7.7,7022,698,7022,,6903,697,98.3,1.0,119,70,1.7,1.0,6903,697,98.3,1.0,6120,668,87.2,4.0,23,25,0.3,0.4,18,31,0.3,0.4,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,95,77,1.4,1.1,0,17,0.0,0.5,32,35,0.5,0.5,20,22,0.3,0.3,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,43,68,0.6,1.0,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,647,267,9.2,3.6,119,70,1.7,1.0,42,41,0.6,0.6,0,17,0.0,0.5,55,53,0.8,0.8,0,17,0.0,0.5,7022,698,7022,,6224,663,88.6,3.8,66,59,0.9,0.8,19,31,0.3,0.4,165,105,2.3,1.5,15,25,0.2,0.4,653,267,9.3,3.6,7022,698,7022,,1199,322,17.1,3.8,905,316,12.9,4.0,95,118,1.4,1.6,0,17,0.0,0.5,199,143,2.8,2.1,5823,563,82.9,3.8,5526,586,78.7,4.3,22,25,0.3,0.4,18,31,0.3,0.4,95,77,1.4,1.1,0,17,0.0,0.5,60,95,0.9,1.4,102,68,1.5,1.0,0,17,0.0,0.5,102,68,1.5,1.0,2689,148,,
1600000US0600296,0600296,"Adelanto city, California",31376,39,31376,,16302,614,52.0,2.0,15074,619,48.0,2.0,3739,529,11.9,1.7,3339,440,10.6,1.4,3086,548,9.8,1.7,2784,349,8.9,1.1,3128,527,10.0,1.7,5451,623,17.4,2.0,3497,459,11.1,1.5,3076,436,9.8,1.4,934,277,3.0,0.9,943,294,3.0,0.9,865,212,2.8,0.7,499,215,1.6,0.7,35,46,0.1,0.1,24.2,1.4,,,19455,754,62.0,2.4,17796,752,56.7,2.4,1874,370,6.0,1.2,1399,302,4.5,1.0,19455,754,19455,,9913,608,51.0,2.2,9542,531,49.0,2.2,1399,302,1399,,580,130,41.5,7.3,819,234,58.5,7.3,31376,39,31376,,29195,765,93.0,2.4,2181,753,7.0,2.4,29195,765,93.0,2.4,18038,1477,57.5,4.7,6604,1463,21.0,4.7,116,87,0.4,0.3,4,7,0.0,0.1,0,26,0.0,0.1,0,26,0.0,0.1,0,26,0.0,0.1,701,346,2.2,1.1,87,110,0.3,0.4,14,23,0.0,0.1,176,157,0.6,0.5,13,22,0.0,0.1,12,21,0.0,0.1,185,142,0.6,0.5,214,237,0.7,0.8,182,242,0.6,0.8,5,10,0.0,0.1,12,21,0.0,0.1,85,145,0.3,0.5,80,140,0.3,0.4,3554,996,11.3,3.2,2181,753,7.0,2.4,841,652,2.7,2.1,374,221,1.2,0.7,320,299,1.0,1.0,13,16,0.0,0.1,31376,39,31376,,19994,1498,63.7,4.8,7571,1409,24.1,4.5,646,271,2.1,0.9,1135,450,3.6,1.4,256,272,0.8,0.9,4034,1040,12.9,3.3,31376,39,31376,,16307,1237,52.0,3.9,13654,1159,43.5,3.7,150,111,0.5,0.4,48,47,0.2,0.2,2455,630,7.8,2.0,15069,1236,48.0,3.9,6252,1178,19.9,3.8,6509,1448,20.7,4.6,6,10,0.0,0.1,661,339,2.1,1.1,170,240,0.5,0.8,9,15,0.0,0.1,1462,741,4.7,2.4,32,50,0.1,0.2,1430,700,4.6,2.2,8930,691,,
1600000US0600310,0600310,"Adin CDP, California",289,134,289,,132,74,45.7,9.6,157,71,54.3,9.6,18,29,6.2,9.8,36,55,12.5,15.4,20,30,6.9,8.4,0,12,0.0,11.4,0,12,0.0,11.4,4,11,1.4,3.9,40,47,13.8,14.0,39,46,13.5,14.8,39,52,13.5,18.9,29,34,10.0,12.2,23,20,8.0,7.6,23,23,8.0,8.4,18,14,6.2,5.6,54.1,21.9,,,215,82,74.4,23.2,215,82,74.4,23.2,77,32,26.6,14.5,64,31,22.1,13.5,215,82,215,,92,41,42.8,10.1,123,53,57.2,10.1,64,31,64,,17,17,26.6,26.5,47,31,73.4,26.5,289,134,289,,289,134,100.0,11.4,0,12,0.0,11.4,289,134,100.0,11.4,286,128,99.0,2.5,0,12,0.0,11.4,3,9,1.0,2.5,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,289,134,289,,286,128,99.0,2.5,0,12,0.0,11.4,3,9,1.0,2.5,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,289,134,289,,11,19,3.8,6.1,11,19,3.8,6.1,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,278,129,96.2,6.1,275,123,95.2,6.2,0,12,0.0,11.4,3,9,1.0,2.5,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,0,12,0.0,11.4,157,57,,
1600000US0600394,0600394,"Agoura Hills city, California",20488,32,20488,,10234,392,50.0,1.9,10254,394,50.0,1.9,834,230,4.1,1.1,1278,235,6.2,1.1,1333,312,6.5,1.5,1546,208,7.5,1.0,1103,254,5.4,1.2,2083,381,10.2,1.9,2347,463,11.5,2.3,3957,464,19.3,2.3,1863,274,9.1,1.3,1569,339,7.7,1.7,1747,342,8.5,1.7,649,221,3.2,1.1,179,83,0.9,0.4,44.3,1.6,,,15935,381,77.8,1.9,15239,448,74.4,2.2,3553,453,17.3,2.2,2575,376,12.6,1.8,15935,381,15935,,7884,397,49.5,2.0,8051,345,50.5,2.0,2575,376,2575,,1384,249,53.7,5.6,1191,225,46.3,5.6,20488,32,20488,,19746,252,96.4,1.2,742,250,3.6,1.2,19746,252,96.4,1.2,17126,712,83.6,3.5,329,273,1.6,1.3,15,23,0.1,0.1,0,23,0.0,0.2,0,23,0.0,0.2,0,23,0.0,0.2,0,23,0.0,0.2,1439,290,7.0,1.4,390,196,1.9,1.0,489,245,2.4,1.2,199,204,1.0,1.0,123,110,0.6,0.5,35,40,0.2,0.2,57,81,0.3,0.4,146,110,0.7,0.5,0,23,0.0,0.2,0,23,0.0,0.2,0,23,0.0,0.2,0,23,0.0,0.2,0,23,0.0,0.2,837,542,4.1,2.6,742,250,3.6,1.2,136,119,0.7,0.6,0,23,0.0,0.2,324,157,1.6,0.8,53,82,0.3,0.4,20488,32,20488,,17731,650,86.5,3.2,539,369,2.6,1.8,68,85,0.3,0.4,1864,348,9.1,1.7,62,78,0.3,0.4,1004,565,4.9,2.8,20488,32,20488,,2355,602,11.5,2.9,1661,530,8.1,2.6,59,87,0.3,0.4,102,107,0.5,0.5,533,264,2.6,1.3,18133,602,88.5,2.9,15776,748,77.0,3.7,329,273,1.6,1.3,15,23,0.1,0.1,1426,284,7.0,1.4,0,23,0.0,0.2,52,47,0.3,0.2,535,227,2.6,1.1,25,30,0.1,0.1,510,224,2.5,1.1,7802,346,,
1600000US0600450,0600450,"Agua Dulce CDP, California",3161,604,3161,,1628,358,51.5,3.9,1533,292,48.5,3.9,148,112,4.7,3.2,123,100,3.9,2.9,276,170,8.7,5.0,340,205,10.8,5.5,138,83,4.4,2.5,151,93,4.8,2.7,381,214,12.1,6.2,544,166,17.2,4.7,304,104,9.6,3.6,291,103,9.2,3.8,334,102,10.6,3.3,106,50,3.4,1.8,25,35,0.8,1.1,45.3,5.0,,,2426,357,76.7,6.6,2260,319,71.5,6.9,629,147,19.9,5.7,465,127,14.7,4.5,2426,357,2426,,1230,213,50.7,3.6,1196,183,49.3,3.6,465,127,465,,281,90,60.4,9.3,184,63,39.6,9.3,3161,604,3161,,2565,508,81.1,13.9,596,490,18.9,13.9,2565,508,81.1,13.9,2438,503,77.1,13.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,22,26,0.7,0.9,0,12,0.0,1.1,0,12,0.0,1.1,10,16,0.3,0.5,0,12,0.0,1.1,12,20,0.4,0.7,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,105,98,3.3,3.2,596,490,18.9,13.9,37,54,1.2,1.6,536,446,17.0,12.6,0,12,0.0,1.1,0,12,0.0,1.1,3161,604,3161,,3034,619,96.0,3.5,37,54,1.2,1.6,536,446,17.0,12.6,22,26,0.7,0.9,0,12,0.0,1.1,128,100,4.0,3.3,3161,604,3161,,759,371,24.0,9.3,319,240,10.1,7.5,226,329,7.1,9.9,26,40,0.8,1.3,188,150,5.9,4.6,2402,437,76.0,9.3,2043,410,64.6,11.7,0,12,0.0,1.1,0,12,0.0,1.1,12,20,0.4,0.7,0,12,0.0,1.1,0,12,0.0,1.1,347,302,11.0,9.1,0,12,0.0,1.1,347,302,11.0,9.1,1186,130,,
1600000US0600464,0600464,"Aguanga CDP, California",1119,430,1119,,473,192,42.3,9.3,646,285,57.7,9.3,15,20,1.3,1.6,105,87,9.4,6.6,47,55,4.2,4.8,191,120,17.1,5.7,0,12,0.0,3.1,82,92,7.3,7.0,33,53,2.9,4.8,286,147,25.6,10.1,28,31,2.5,2.8,55,68,4.9,6.2,180,115,16.1,10.5,97,72,8.7,7.0,0,12,0.0,3.1,47.8,8.1,,,795,280,71.0,10.5,761,264,68.0,11.4,317,160,28.3,15.3,277,144,24.8,13.8,795,280,795,,424,170,53.3,11.1,371,159,46.7,11.1,277,144,277,,146,96,52.7,27.3,131,108,47.3,27.3,1119,430,1119,,1102,430,98.5,2.6,17,28,1.5,2.6,1102,430,98.5,2.6,1005,419,89.8,11.2,30,47,2.7,4.3,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,67,106,6.0,9.8,17,28,1.5,2.6,0,12,0.0,3.1,17,28,1.5,2.6,0,12,0.0,3.1,0,12,0.0,3.1,1119,430,1119,,1022,419,91.3,10.7,30,47,2.7,4.3,17,28,1.5,2.6,0,12,0.0,3.1,0,12,0.0,3.1,67,106,6.0,9.8,1119,430,1119,,107,114,9.6,9.9,107,114,9.6,9.9,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,1012,400,90.4,9.9,965,397,86.2,11.0,30,47,2.7,4.3,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,0,12,0.0,3.1,17,28,1.5,2.6,0,12,0.0,3.1,17,28,1.5,2.6,570,242,,
1600000US0600478,0600478,"Ahwahnee CDP, California",1788,487,1788,,879,221,49.2,6.3,909,309,50.8,6.3,19,33,1.1,1.8,133,114,7.4,5.0,105,91,5.9,4.8,145,93,8.1,3.7,108,101,6.0,4.8,81,68,4.5,3.8,289,157,16.2,6.3,153,88,8.6,4.3,154,104,8.6,5.9,135,83,7.6,5.1,234,133,13.1,7.9,201,117,11.2,6.9,31,28,1.7,1.7,45.7,15.5,,,1434,356,80.2,7.8,1316,281,73.6,11.2,544,153,30.4,11.0,466,150,26.1,10.2,1434,356,1434,,701,158,48.9,7.2,733,246,51.1,7.2,466,150,466,,279,111,59.9,13.7,187,86,40.1,13.7,1788,487,1788,,1763,485,98.6,1.4,25,26,1.4,1.4,1763,485,98.6,1.4,1736,483,97.1,3.0,0,12,0.0,1.9,26,47,1.5,2.6,26,47,1.5,2.6,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,1,2,0.1,0.1,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,1,2,0.1,0.1,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,25,26,1.4,1.4,0,12,0.0,1.9,7,12,0.4,0.7,0,12,0.0,1.9,0,12,0.0,1.9,1788,487,1788,,1761,486,98.5,2.6,0,12,0.0,1.9,33,49,1.8,2.7,1,2,0.1,0.1,6,13,0.3,0.7,12,19,0.7,1.1,1788,487,1788,,13,20,0.7,1.1,1,2,0.1,0.1,0,12,0.0,1.9,0,12,0.0,1.9,12,19,0.7,1.1,1775,484,99.3,1.1,1735,482,97.0,3.0,0,12,0.0,1.9,26,47,1.5,2.6,1,2,0.1,0.1,0,12,0.0,1.9,0,12,0.0,1.9,13,18,0.7,1.0,0,12,0.0,1.9,13,18,0.7,1.0,911,154,,
1600000US0600535,0600535,"Airport CDP, California",1859,372,1859,,922,226,49.6,5.9,937,205,50.4,5.9,162,130,8.7,6.1,140,83,7.5,3.8,181,92,9.7,4.7,133,83,7.2,3.9,87,65,4.7,3.4,329,137,17.7,5.6,156,87,8.4,4.1,327,117,17.6,7.0,64,41,3.4,2.3,54,43,2.9,2.3,119,77,6.4,4.1,107,73,5.8,3.9,0,12,0.0,1.9,32.6,2.7,,,1299,235,69.9,7.5,1205,202,64.8,5.7,226,109,12.2,5.7,226,109,12.2,5.7,1299,235,1299,,657,135,50.6,5.4,642,139,49.4,5.4,226,109,226,,104,64,46.0,20.8,122,79,54.0,20.8,1859,372,1859,,1852,374,99.6,0.7,7,13,0.4,0.7,1852,374,99.6,0.7,1637,408,88.1,10.0,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,215,175,11.6,9.6,7,13,0.4,0.7,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,1859,372,1859,,1637,408,88.1,10.0,7,13,0.4,0.7,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,222,180,11.9,10.0,1859,372,1859,,1316,327,70.8,9.9,1250,336,67.2,10.3,0,12,0.0,1.9,19,29,1.0,1.6,47,62,2.5,3.4,543,212,29.2,9.9,543,212,29.2,9.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,669,86,,
