GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC04_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC04_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104,HC01_VC108,HC02_VC108,HC03_VC108,HC04_VC108,HC01_VC109,HC02_VC109,HC03_VC109,HC04_VC109,HC01_VC110,HC02_VC110,HC03_VC110,HC04_VC110
1600000US0600135,0600135,"Acalanes Ridge CDP, California",1139,360,1139,,483,168,42.4,9.8,656,254,57.6,9.8,33,40,2.9,3.6,31,35,2.7,3.0,152,115,13.3,8.5,86,58,7.6,4.9,0,12,0.0,2.8,142,120,12.5,8.7,75,54,6.6,4.5,194,99,17.0,7.9,215,162,18.9,11.6,94,79,8.3,7.4,87,62,7.6,5.6,15,24,1.3,2.3,15,23,1.3,2.2,47.0,5.9,,,837,293,73.5,11.2,837,293,73.5,11.2,145,79,12.7,7.9,117,71,10.3,7.0,837,293,837,,382,142,45.6,10.2,455,193,54.4,10.2,117,71,117,,73,50,62.4,24.9,44,41,37.6,24.9,1139,360,1139,,980,296,86.0,15.4,159,195,14.0,15.4,980,296,86.0,15.4,658,218,57.8,13.3,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,322,169,28.3,13.0,0,12,0.0,2.8,129,131,11.3,11.7,50,78,4.4,6.8,0,12,0.0,2.8,35,57,3.1,5.1,0,12,0.0,2.8,108,139,9.5,12.0,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,159,195,14.0,15.4,0,12,0.0,2.8,0,12,0.0,2.8,159,195,14.0,15.4,0,12,0.0,2.8,1139,360,1139,,817,312,71.7,13.0,0,12,0.0,2.8,0,12,0.0,2.8,481,241,42.2,13.3,0,12,0.0,2.8,0,12,0.0,2.8,1139,360,1139,,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,0,12,0.0,2.8,1139,360,100.0,2.8,658,218,57.8,13.3,0,12,0.0,2.8,0,12,0.0,2.8,322,169,28.3,13.0,0,12,0.0,2.8,0,12,0.0,2.8,159,195,14.0,15.4,0,12,0.0,2.8,159,195,14.0,15.4,401,90,,,825,294,825,,382,142,46.3,10.5,443,195,53.7,10.5
1600000US0600156,0600156,"Acampo CDP, California",787,749,787,,533,524,67.7,8.7,254,234,32.3,8.7,67,108,8.5,8.6,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,134,145,17.0,6.7,243,273,30.9,11.9,18,28,2.3,6.0,175,197,22.2,24.4,103,111,13.1,5.2,47,62,6.0,8.7,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,31.4,19.3,,,720,654,91.5,8.6,720,654,91.5,8.6,0,12,0.0,4.0,0,12,0.0,4.0,720,654,720,,533,524,74.0,12.9,187,151,26.0,12.9,0,12,0,,0,12,,,0,12,,,787,749,787,,787,749,100.0,4.0,0,12,0.0,4.0,787,749,100.0,4.0,787,749,100.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,787,749,787,,787,749,100.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,787,749,787,,418,670,53.1,53.1,418,670,53.1,53.1,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,369,340,46.9,53.1,369,340,46.9,53.1,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,0,12,0.0,4.0,190,132,,,720,654,720,,533,524,74.0,12.9,187,151,26.0,12.9
1600000US0600212,0600212,"Acton CDP, California",7058,562,7058,,3755,390,53.2,2.4,3303,265,46.8,2.4,382,203,5.4,2.7,401,132,5.7,1.7,452,125,6.4,1.7,406,155,5.8,2.1,538,185,7.6,2.5,388,146,5.5,2.0,741,121,10.5,1.6,1304,207,18.5,2.9,877,184,12.4,2.9,490,151,6.9,2.0,759,197,10.8,2.9,296,138,4.2,1.9,24,33,0.3,0.5,47.5,2.5,,,5602,422,79.4,3.5,5248,360,74.4,3.8,1394,237,19.8,3.0,1079,205,15.3,2.7,5602,422,5602,,2957,290,52.8,2.3,2645,196,47.2,2.3,1079,205,1079,,499,118,46.2,7.0,580,135,53.8,7.0,7058,562,7058,,6903,580,97.8,1.4,155,94,2.2,1.4,6903,580,97.8,1.4,6126,605,86.8,4.5,136,82,1.9,1.2,15,26,0.2,0.4,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,75,52,1.1,0.8,31,39,0.4,0.6,25,39,0.4,0.6,19,20,0.3,0.3,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,551,276,7.8,3.8,155,94,2.2,1.4,64,67,0.9,1.0,0,17,0.0,0.5,52,61,0.7,0.9,8,13,0.1,0.2,7058,562,7058,,6249,582,88.5,4.1,219,118,3.1,1.7,24,29,0.3,0.4,151,93,2.1,1.4,14,22,0.2,0.3,557,277,7.9,3.9,7058,562,7058,,1174,267,16.6,3.4,905,309,12.8,4.2,94,117,1.3,1.6,0,17,0.0,0.5,175,145,2.5,2.1,5884,509,83.4,3.4,5462,554,77.4,4.3,135,81,1.9,1.1,15,26,0.2,0.4,75,52,1.1,0.8,0,17,0.0,0.5,60,100,0.9,1.4,137,92,1.9,1.3,0,17,0.0,0.5,137,92,1.9,1.3,2776,151,,,5435,433,5435,,2831,308,52.1,2.5,2604,196,47.9,2.5
1600000US0600296,0600296,"Adelanto city, California",32059,30,32059,,16270,672,50.8,2.1,15789,674,49.2,2.1,3804,506,11.9,1.6,3412,498,10.6,1.6,2957,454,9.2,1.4,2626,460,8.2,1.4,2783,548,8.7,1.7,4702,680,14.7,2.1,3860,594,12.0,1.9,3835,648,12.0,2.0,1063,271,3.3,0.8,876,259,2.7,0.8,1305,308,4.1,1.0,651,210,2.0,0.7,185,127,0.6,0.4,25.6,1.2,,,20159,694,62.9,2.2,18622,733,58.1,2.3,2510,394,7.8,1.2,2141,347,6.7,1.1,20159,694,20159,,10218,549,50.7,2.0,9941,499,49.3,2.0,2141,347,2141,,898,211,41.9,7.2,1243,254,58.1,7.2,32059,30,32059,,30807,526,96.1,1.7,1252,530,3.9,1.7,30807,526,96.1,1.7,19421,1859,60.6,5.8,6414,1489,20.0,4.6,27,30,0.1,0.1,0,25,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,428,186,1.3,0.6,0,25,0.0,0.1,36,55,0.1,0.2,118,81,0.4,0.3,6,11,0.0,0.1,13,24,0.0,0.1,64,62,0.2,0.2,191,159,0.6,0.5,0,25,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,4517,1286,14.1,4.0,1252,530,3.9,1.7,504,422,1.6,1.3,149,136,0.5,0.4,216,248,0.7,0.8,17,21,0.1,0.1,32059,30,32059,,20533,1773,64.0,5.5,7071,1513,22.1,4.7,263,157,0.8,0.5,732,311,2.3,1.0,13,20,0.0,0.1,4777,1293,14.9,4.0,32059,30,32059,,18830,1329,58.7,4.1,15613,1398,48.7,4.4,416,277,1.3,0.9,39,58,0.1,0.2,2762,893,8.6,2.8,13229,1328,41.3,4.1,5767,1010,18.0,3.2,6205,1425,19.4,4.4,6,12,0.0,0.1,395,174,1.2,0.5,0,25,0.0,0.1,48,55,0.1,0.2,808,511,2.5,1.6,6,10,0.0,0.1,802,511,2.5,1.6,8949,532,,,16299,854,16299,,8450,568,51.8,2.3,7849,566,48.2,2.3
1600000US0600310,0600310,"Adin CDP, California",173,90,173,,84,46,48.6,14.5,89,55,51.4,14.5,6,13,3.5,7.4,0,12,0.0,17.0,16,26,9.2,12.7,20,30,11.6,14.9,0,12,0.0,17.0,4,11,2.3,6.3,0,12,0.0,17.0,12,20,6.9,9.5,28,33,16.2,19.7,44,46,25.4,24.6,14,17,8.1,9.8,17,14,9.8,9.4,12,17,6.9,10.9,60.0,9.0,,,131,67,75.7,27.3,131,67,75.7,27.3,66,47,38.2,27.9,43,32,24.9,20.4,131,67,131,,74,42,56.5,15.8,57,36,43.5,15.8,43,32,43,,29,23,67.4,30.6,14,17,32.6,30.6,173,90,173,,173,90,100.0,17.0,0,12,0.0,17.0,173,90,100.0,17.0,173,90,100.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,173,90,173,,173,90,100.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,173,90,173,,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,173,90,100.0,17.0,173,90,100.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,0,12,0.0,17.0,100,42,,,131,67,131,,74,42,56.5,15.8,57,36,43.5,15.8
1600000US0600394,0600394,"Agoura Hills city, California",20697,42,20697,,10446,423,50.5,2.1,10251,428,49.5,2.1,859,292,4.2,1.4,1085,256,5.2,1.2,1718,331,8.3,1.6,1568,328,7.6,1.6,1035,269,5.0,1.3,1972,394,9.5,1.9,2830,427,13.7,2.1,3977,412,19.2,2.0,1830,358,8.8,1.7,1255,272,6.1,1.3,1828,306,8.8,1.5,564,190,2.7,0.9,176,86,0.9,0.4,43.3,1.8,,,15890,436,76.8,2.1,15226,436,73.6,2.1,3371,400,16.3,1.9,2568,361,12.4,1.7,15890,436,15890,,8050,442,50.7,2.2,7840,392,49.3,2.2,2568,361,2568,,1384,221,53.9,4.6,1184,209,46.1,4.6,20697,42,20697,,19970,293,96.5,1.4,727,291,3.5,1.4,19970,293,96.5,1.4,17186,699,83.0,3.4,434,304,2.1,1.5,10,16,0.0,0.1,0,22,0.0,0.2,0,22,0.0,0.2,0,22,0.0,0.2,0,22,0.0,0.2,1537,309,7.4,1.5,310,214,1.5,1.0,525,256,2.5,1.2,160,137,0.8,0.7,140,135,0.7,0.7,62,66,0.3,0.3,0,22,0.0,0.2,340,194,1.6,0.9,0,22,0.0,0.2,0,22,0.0,0.2,0,22,0.0,0.2,0,22,0.0,0.2,0,22,0.0,0.2,803,534,3.9,2.6,727,291,3.5,1.4,49,49,0.2,0.2,53,71,0.3,0.3,443,240,2.1,1.2,66,82,0.3,0.4,20697,42,20697,,17814,614,86.1,3.0,589,377,2.8,1.8,140,111,0.7,0.5,2034,409,9.8,2.0,33,56,0.2,0.3,875,541,4.2,2.6,20697,42,20697,,2547,667,12.3,3.2,1782,525,8.6,2.5,12,24,0.1,0.1,156,175,0.8,0.8,597,304,2.9,1.5,18150,669,87.7,3.2,15555,747,75.2,3.6,431,304,2.1,1.5,10,16,0.0,0.1,1503,310,7.3,1.5,0,22,0.0,0.2,60,52,0.3,0.3,591,286,2.9,1.4,12,22,0.1,0.1,579,284,2.8,1.4,7616,353,,,14861,579,14861,,7510,443,50.5,2.3,7351,458,49.5,2.3
1600000US0600450,0600450,"Agua Dulce CDP, California",3567,428,3567,,1795,264,50.3,3.7,1772,235,49.7,3.7,203,99,5.7,2.5,140,80,3.9,2.1,194,138,5.4,4.0,311,151,8.7,3.6,133,50,3.7,1.3,286,105,8.0,2.8,398,111,11.2,2.7,627,146,17.6,4.0,402,144,11.3,3.9,237,91,6.6,2.7,463,111,13.0,3.2,155,62,4.3,1.8,18,28,0.5,0.8,46.4,2.8,,,2820,310,79.1,5.1,2699,299,75.7,5.5,757,131,21.2,4.0,636,119,17.8,3.6,2820,310,2820,,1446,193,51.3,2.4,1374,142,48.7,2.4,636,119,636,,383,87,60.2,6.1,253,56,39.8,6.1,3567,428,3567,,3075,319,86.2,8.2,492,323,13.8,8.2,3075,319,86.2,8.2,2920,318,81.9,7.9,12,14,0.3,0.4,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,61,80,1.7,2.3,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,12,18,0.3,0.5,0,12,0.0,0.9,49,78,1.4,2.2,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,82,77,2.3,2.2,492,323,13.8,8.2,35,39,1.0,1.0,406,311,11.4,8.0,0,12,0.0,0.9,0,12,0.0,0.9,3567,428,3567,,3412,441,95.7,3.2,60,51,1.7,1.3,419,313,11.7,8.1,61,80,1.7,2.3,0,12,0.0,0.9,120,86,3.4,2.5,3567,428,3567,,753,339,21.1,8.2,395,170,11.1,4.9,164,219,4.6,5.9,0,12,0.0,0.9,194,123,5.4,3.2,2814,340,78.9,8.2,2456,254,68.9,8.1,7,10,0.2,0.3,0,12,0.0,0.9,61,80,1.7,2.3,0,12,0.0,0.9,0,12,0.0,0.9,290,238,8.1,6.5,0,12,0.0,0.9,290,238,8.1,6.5,1213,85,,,2717,327,2717,,1416,202,52.1,2.7,1301,154,47.9,2.7
1600000US0600464,0600464,"Aguanga CDP, California",766,311,766,,439,183,57.3,10.9,327,168,42.7,10.9,0,12,0.0,4.2,58,46,7.6,4.9,19,32,2.5,3.9,55,55,7.2,6.2,0,12,0.0,4.2,59,59,7.7,7.0,70,82,9.1,9.9,99,96,12.9,11.9,172,174,22.5,20.7,68,77,8.9,9.7,102,85,13.3,10.9,41,43,5.4,5.3,23,36,3.0,4.7,56.1,9.2,,,660,265,86.2,8.0,634,257,82.8,10.1,234,155,30.5,18.1,166,117,21.7,14.4,660,265,660,,399,167,60.5,11.1,261,136,39.5,11.1,166,117,166,,110,89,66.3,23.4,56,49,33.7,23.4,766,311,766,,766,311,100.0,4.2,0,12,0.0,4.2,766,311,100.0,4.2,695,298,90.7,14.4,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,71,113,9.3,14.4,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,766,311,766,,695,298,90.7,14.4,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,71,113,9.3,14.4,766,311,766,,198,172,25.8,20.4,140,149,18.3,18.2,0,12,0.0,4.2,0,12,0.0,4.2,58,93,7.6,11.5,568,269,74.2,20.4,568,269,74.2,20.4,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,0,12,0.0,4.2,581,267,,,660,265,660,,399,167,60.5,11.1,261,136,39.5,11.1
1600000US0600478,0600478,"Ahwahnee CDP, California",1709,412,1709,,863,220,50.5,5.0,846,226,49.5,5.0,20,34,1.2,1.9,88,70,5.1,3.7,99,91,5.8,4.7,94,83,5.5,4.1,64,60,3.7,3.3,79,75,4.6,4.3,144,120,8.4,6.0,154,103,9.0,6.1,183,121,10.7,7.0,143,96,8.4,5.6,218,119,12.8,6.9,386,150,22.6,9.0,37,38,2.2,2.2,56.0,7.7,,,1410,303,82.5,10.3,1408,303,82.4,10.3,715,200,41.8,11.6,641,169,37.5,10.0,1410,303,1410,,716,172,50.8,5.7,694,171,49.2,5.7,641,169,641,,392,142,61.2,11.6,249,83,38.8,11.6,1709,412,1709,,1681,410,98.4,1.9,28,32,1.6,1.9,1681,410,98.4,1.9,1655,404,96.8,2.8,0,12,0.0,1.9,26,40,1.5,2.3,26,40,1.5,2.3,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,28,32,1.6,1.9,0,12,0.0,1.9,9,12,0.5,0.7,0,12,0.0,1.9,0,12,0.0,1.9,1709,412,1709,,1683,406,98.5,2.3,0,12,0.0,1.9,35,41,2.0,2.3,0,12,0.0,1.9,2,5,0.1,0.3,17,28,1.0,1.7,1709,412,1709,,31,37,1.8,2.2,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,31,37,1.8,2.2,1678,409,98.2,2.2,1641,403,96.0,3.1,0,12,0.0,1.9,26,40,1.5,2.3,0,12,0.0,1.9,0,12,0.0,1.9,0,12,0.0,1.9,11,14,0.6,0.8,0,12,0.0,1.9,11,14,0.6,0.8,978,192,,,1410,303,1410,,716,172,50.8,5.7,694,171,49.2,5.7
1600000US0600535,0600535,"Airport CDP, California",1565,374,1565,,858,236,54.8,7.2,707,199,45.2,7.2,252,155,16.1,8.3,148,71,9.5,3.3,72,52,4.6,2.9,90,73,5.8,4.6,78,56,5.0,3.7,377,151,24.1,6.4,147,69,9.4,4.3,227,76,14.5,5.4,22,25,1.4,1.6,14,16,0.9,1.0,97,70,6.2,4.4,41,30,2.6,1.9,0,12,0.0,2.1,30.1,2.4,,,1056,236,67.5,9.3,982,216,62.7,7.8,138,76,8.8,4.7,138,76,8.8,4.7,1056,236,1056,,551,138,52.2,5.9,505,127,47.8,5.9,138,76,138,,47,30,34.1,21.0,91,65,65.9,21.0,1565,374,1565,,1561,373,99.7,0.5,4,8,0.3,0.5,1561,373,99.7,0.5,1344,435,85.9,12.1,30,35,1.9,2.4,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,187,166,11.9,11.5,4,8,0.3,0.5,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,1565,374,1565,,1344,435,85.9,12.1,34,37,2.2,2.5,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,191,167,12.2,11.6,1565,374,1565,,1159,360,74.1,11.5,1090,361,69.6,12.2,0,12,0.0,2.1,0,12,0.0,2.1,69,56,4.4,3.8,406,184,25.9,11.5,376,190,24.0,11.6,30,35,1.9,2.4,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,559,106,,,808,175,808,,442,112,54.7,7.4,366,99,45.3,7.4
