GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC04_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC04_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104
0500000US06001,06001,"Alameda County, California",1559308,,1559308,,763965,76,49.0,0.1,795343,76,51.0,0.1,97537,,6.3,,95681,1776,6.1,0.1,92804,1776,6.0,0.1,96814,61,6.2,0.1,109497,62,7.0,0.1,240451,,15.4,,232433,,14.9,,224438,,14.4,,99146,1343,6.4,0.1,86321,1344,5.5,0.1,103202,,6.6,,54135,785,3.5,0.1,26849,786,1.7,0.1,36.9,0.1,,,1217233,,78.1,,1155149,1054,74.1,0.1,234019,1296,15.0,0.1,184186,,11.8,,1217233,,1217233,,589172,,48.4,,628061,,51.6,,184186,,184186,,79584,,43.2,,104602,,56.8,,1559308,,1559308,,1464577,3213,93.9,0.2,94731,3213,6.1,0.2,1464577,3213,93.9,0.2,707017,4120,45.3,0.3,184785,1544,11.9,0.1,9315,927,0.6,0.1,745,172,0.0,0.1,85,48,0.0,0.1,234,142,0.0,0.1,331,129,0.0,0.1,424061,2097,27.2,0.1,86281,3396,5.5,0.2,153803,3912,9.9,0.3,85120,3200,5.5,0.2,12709,1074,0.8,0.1,18728,1562,1.2,0.1,32457,2139,2.1,0.1,34963,2213,2.2,0.1,12923,473,0.8,0.1,1881,395,0.1,0.1,1560,307,0.1,0.1,3104,665,0.2,0.1,6378,748,0.4,0.1,126476,3802,8.1,0.2,94731,3213,6.1,0.2,12303,1049,0.8,0.1,7327,767,0.5,0.1,32387,1750,2.1,0.1,3690,915,0.2,0.1,1559308,,1559308,,780397,5298,50.0,0.3,213076,1262,13.7,0.1,27078,1511,1.7,0.1,473026,1071,30.3,0.1,22500,1168,1.4,0.1,148115,4031,9.5,0.3,1559308,,1559308,,352500,,22.6,,265372,3233,17.0,0.2,10645,1033,0.7,0.1,2198,459,0.1,0.1,74285,2977,4.8,0.2,1206808,,77.4,,519375,522,33.3,0.1,179984,1363,11.5,0.1,4688,311,0.3,0.1,421451,2080,27.0,0.1,12502,458,0.8,0.1,4387,708,0.3,0.1,64421,2619,4.1,0.2,3549,596,0.2,0.1,60872,2480,3.9,0.2,587071,729,,
0500000US06003,06003,"Alpine County, California",1202,190,1202,,665,118,55.3,4.8,537,104,44.7,4.8,27,21,2.2,1.7,79,32,6.6,2.4,60,25,5.0,2.0,102,46,8.5,3.3,92,43,7.7,3.2,120,49,10.0,3.8,150,76,12.5,5.6,161,47,13.4,3.2,113,57,9.4,4.2,73,30,6.1,2.5,127,43,10.6,3.7,85,37,7.1,3.1,13,20,1.1,1.6,43.6,6.0,,,967,162,80.4,4.6,897,140,74.6,5.7,268,72,22.3,6.1,225,69,18.7,5.9,967,162,967,,519,105,53.7,5.8,448,93,46.3,5.8,225,69,225,,116,42,51.6,9.4,109,39,48.4,9.4,1202,190,1202,,1133,180,94.3,2.9,69,37,5.7,2.9,1133,180,94.3,2.9,854,176,71.0,6.6,11,17,0.9,1.4,208,64,17.3,5.9,10,15,0.8,1.3,0,12,0.0,2.9,0,12,0.0,2.9,4,7,0.3,0.6,12,12,1.0,1.0,0,12,0.0,2.9,9,10,0.7,0.9,3,5,0.2,0.4,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,0,12,0.0,2.9,14,21,1.2,1.7,0,12,0.0,2.9,0,12,0.0,2.9,14,21,1.2,1.7,0,12,0.0,2.9,34,41,2.8,3.3,69,37,5.7,2.9,0,12,0.0,2.9,34,22,2.8,1.8,8,12,0.7,1.0,0,12,0.0,2.9,1202,190,1202,,913,184,76.0,6.2,14,22,1.2,1.8,260,65,21.6,5.9,36,26,3.0,2.2,14,21,1.2,1.7,45,50,3.7,3.9,1202,190,1202,,86,62,7.2,4.7,37,30,3.1,2.4,7,11,0.6,0.9,0,12,0.0,2.9,42,44,3.5,3.4,1116,173,92.8,4.7,830,173,69.1,6.7,11,17,0.9,1.4,208,64,17.3,5.9,12,12,1.0,1.0,14,21,1.2,1.7,0,12,0.0,2.9,41,27,3.4,2.2,0,12,0.0,2.9,41,27,3.4,2.2,1821,58,,
0500000US06005,06005,"Amador County, California",37159,,37159,,19966,119,53.7,0.3,17193,119,46.3,0.3,1284,29,3.5,0.1,1763,209,4.7,0.6,1667,188,4.5,0.5,2034,150,5.5,0.4,1678,127,4.5,0.3,3294,178,8.9,0.5,4243,198,11.4,0.5,5970,209,16.1,0.6,3287,316,8.8,0.9,3476,316,9.4,0.8,4987,98,13.4,0.3,2476,221,6.7,0.6,1000,211,2.7,0.6,49.6,0.4,,,31180,98,83.9,0.3,30085,183,81.0,0.5,10427,303,28.1,0.8,8463,71,22.8,0.2,31180,98,31180,,16960,122,54.4,0.3,14220,74,45.6,0.3,8463,71,8463,,4063,57,48.0,0.6,4400,66,52.0,0.6,37159,,37159,,35879,343,96.6,0.9,1280,343,3.4,0.9,35879,343,96.6,0.9,32551,346,87.6,0.9,812,117,2.2,0.3,744,170,2.0,0.5,283,181,0.8,0.5,15,21,0.0,0.1,0,26,0.0,0.1,18,26,0.0,0.1,501,87,1.3,0.2,25,32,0.1,0.1,71,67,0.2,0.2,104,64,0.3,0.2,50,37,0.1,0.1,18,25,0.0,0.1,13,16,0.0,0.1,220,121,0.6,0.3,80,75,0.2,0.2,63,71,0.2,0.2,0,26,0.0,0.1,2,5,0.0,0.1,15,22,0.0,0.1,1191,284,3.2,0.8,1280,343,3.4,0.9,160,128,0.4,0.3,690,293,1.9,0.8,165,97,0.4,0.3,0,26,0.0,0.1,37159,,37159,,33746,344,90.8,0.9,1072,46,2.9,0.1,1524,270,4.1,0.7,745,84,2.0,0.2,137,90,0.4,0.2,1316,300,3.5,0.8,37159,,37159,,4724,,12.7,,3495,272,9.4,0.7,186,106,0.5,0.3,32,22,0.1,0.1,1011,264,2.7,0.7,32435,,87.3,,29696,4,79.9,0.1,781,117,2.1,0.3,643,167,1.7,0.4,482,85,1.3,0.2,80,75,0.2,0.2,2,4,0.0,0.1,751,234,2.0,0.6,0,26,0.0,0.1,751,234,2.0,0.6,18157,177,,
0500000US06007,06007,"Butte County, California",221578,,221578,,109745,148,49.5,0.1,111833,148,50.5,0.1,12178,32,5.5,0.1,12500,522,5.6,0.2,12727,523,5.7,0.2,16301,80,7.4,0.1,26049,155,11.8,0.1,26502,169,12.0,0.1,23064,157,10.4,0.1,27080,135,12.2,0.1,14747,713,6.7,0.3,14720,717,6.6,0.3,19065,84,8.6,0.1,11212,424,5.1,0.2,5433,428,2.5,0.2,36.9,0.2,,,176048,,79.5,,162676,722,73.4,0.3,44170,581,19.9,0.3,35710,40,16.1,0.1,176048,,176048,,86438,33,49.1,0.1,89610,34,50.9,0.1,35710,40,35710,,15742,40,44.1,0.1,19968,4,55.9,0.1,221578,,221578,,207332,910,93.6,0.4,14246,910,6.4,0.4,207332,910,93.6,0.4,185077,982,83.5,0.4,3248,376,1.5,0.2,2667,431,1.2,0.2,125,72,0.1,0.1,5,8,0.0,0.1,59,62,0.0,0.1,77,55,0.0,0.1,9384,531,4.2,0.2,799,341,0.4,0.2,1202,355,0.5,0.2,1215,342,0.5,0.2,361,148,0.2,0.1,127,73,0.1,0.1,518,284,0.2,0.1,5162,676,2.3,0.3,370,135,0.2,0.1,94,55,0.0,0.1,75,76,0.0,0.1,116,81,0.1,0.1,85,75,0.0,0.1,6586,767,3.0,0.3,14246,910,6.4,0.4,1818,385,0.8,0.2,6246,656,2.8,0.3,2378,475,1.1,0.2,136,92,0.1,0.1,221578,,221578,,198478,1038,89.6,0.5,5943,323,2.7,0.1,9969,698,4.5,0.3,12586,204,5.7,0.1,1396,296,0.6,0.1,8539,835,3.9,0.4,221578,,221578,,32968,,14.9,,27962,631,12.6,0.3,513,188,0.2,0.1,115,74,0.1,0.1,4378,645,2.0,0.3,188610,,85.1,,164509,115,74.2,0.1,2996,345,1.4,0.2,1649,277,0.7,0.1,9298,529,4.2,0.2,338,112,0.2,0.1,120,89,0.1,0.1,9700,657,4.4,0.3,150,92,0.1,0.1,9550,646,4.3,0.3,96700,232,,
0500000US06009,06009,"Calaveras County, California",44921,,44921,,22257,168,49.5,0.4,22664,168,50.5,0.4,1847,64,4.1,0.1,2338,296,5.2,0.7,2389,270,5.3,0.6,2743,137,6.1,0.3,1981,124,4.4,0.3,3548,169,7.9,0.4,4276,215,9.5,0.5,6928,216,15.4,0.5,4123,403,9.2,0.9,4285,446,9.5,1.0,6539,164,14.6,0.4,2811,214,6.3,0.5,1113,229,2.5,0.5,50.3,0.2,,,36523,67,81.3,0.1,35201,164,78.4,0.4,13210,337,29.4,0.8,10463,177,23.3,0.4,36523,67,36523,,17968,119,49.2,0.3,18555,102,50.8,0.3,10463,177,10463,,5112,81,48.9,0.8,5351,151,51.1,0.8,44921,,44921,,43110,307,96.0,0.7,1811,307,4.0,0.7,43110,307,96.0,0.7,41129,262,91.6,0.6,292,133,0.7,0.3,361,170,0.8,0.4,59,44,0.1,0.1,5,9,0.0,0.1,0,26,0.0,0.1,0,26,0.0,0.1,526,143,1.2,0.3,17,27,0.0,0.1,57,70,0.1,0.2,239,164,0.5,0.4,112,71,0.2,0.2,31,33,0.1,0.1,0,26,0.0,0.1,70,77,0.2,0.2,131,156,0.3,0.3,6,14,0.0,0.1,0,26,0.0,0.1,100,148,0.2,0.3,25,45,0.1,0.1,671,223,1.5,0.5,1811,307,4.0,0.7,234,132,0.5,0.3,886,208,2.0,0.5,381,148,0.8,0.3,21,48,0.0,0.1,44921,,44921,,42880,356,95.5,0.8,566,56,1.3,0.1,1281,187,2.9,0.4,950,38,2.1,0.1,218,167,0.5,0.4,863,240,1.9,0.5,44921,,44921,,4901,,10.9,,3564,349,7.9,0.8,88,110,0.2,0.2,0,26,0.0,0.1,1249,343,2.8,0.8,40020,,89.1,,37234,26,82.9,0.1,280,132,0.6,0.3,324,166,0.7,0.4,513,143,1.1,0.3,131,156,0.3,0.3,0,26,0.0,0.1,1538,287,3.4,0.6,0,26,0.0,0.1,1538,287,3.4,0.6,28006,70,,
0500000US06011,06011,"Colusa County, California",21424,,21424,,11156,92,52.1,0.4,10268,92,47.9,0.4,1731,26,8.1,0.1,1774,173,8.3,0.8,1593,177,7.4,0.8,1687,75,7.9,0.4,1395,74,6.5,0.3,2727,39,12.7,0.2,2660,83,12.4,0.4,2770,66,12.9,0.3,1275,159,6.0,0.7,1133,161,5.3,0.7,1452,40,6.8,0.2,991,98,4.6,0.5,236,60,1.1,0.3,34.1,0.4,,,15255,42,71.2,0.2,14219,128,66.4,0.6,3393,149,15.8,0.7,2679,63,12.5,0.3,15255,42,15255,,7884,64,51.7,0.3,7371,46,48.3,0.3,2679,63,2679,,1330,54,49.6,1.1,1349,25,50.4,1.1,21424,,21424,,20632,214,96.3,1.0,792,214,3.7,1.0,20632,214,96.3,1.0,17439,618,81.4,2.9,198,24,0.9,0.1,286,61,1.3,0.3,0,23,0.0,0.2,0,23,0.0,0.2,0,23,0.0,0.2,0,23,0.0,0.2,283,52,1.3,0.2,3,5,0.0,0.1,12,20,0.1,0.1,94,50,0.4,0.2,72,46,0.3,0.2,47,51,0.2,0.2,11,15,0.1,0.1,44,40,0.2,0.2,19,17,0.1,0.1,3,5,0.0,0.1,0,23,0.0,0.2,0,23,0.0,0.2,16,17,0.1,0.1,2407,581,11.2,2.7,792,214,3.7,1.0,104,27,0.5,0.1,194,82,0.9,0.4,79,67,0.4,0.3,0,23,0.0,0.2,21424,,21424,,18113,575,84.5,2.7,387,113,1.8,0.5,637,150,3.0,0.7,454,69,2.1,0.3,90,58,0.4,0.3,2687,608,12.5,2.8,21424,,21424,,12155,,56.7,,11564,194,54.0,0.9,120,121,0.6,0.6,20,30,0.1,0.1,451,166,2.1,0.8,9269,,43.3,,8184,23,38.2,0.2,180,13,0.8,0.1,274,58,1.3,0.3,283,52,1.3,0.2,19,17,0.1,0.1,0,23,0.0,0.2,329,79,1.5,0.4,7,11,0.0,0.1,322,78,1.5,0.4,7891,72,,
0500000US06013,06013,"Contra Costa County, California",1081232,,1081232,,527174,87,48.8,0.1,554058,87,51.2,0.1,65548,,6.1,,74534,1341,6.9,0.1,73803,1340,6.8,0.1,73189,117,6.8,0.1,65052,117,6.0,0.1,134277,,12.4,,148692,117,13.8,0.1,164788,117,15.2,0.1,73239,1234,6.8,0.1,63686,1233,5.9,0.1,81499,97,7.5,0.1,42245,911,3.9,0.1,20680,909,1.9,0.1,38.7,0.1,,,821037,,75.9,,781350,827,72.3,0.1,182076,1167,16.8,0.1,144424,,13.4,,821037,,821037,,394318,,48.0,,426719,,52.0,,144424,,144424,,62742,,43.4,,81682,,56.6,,1081232,,1081232,,1017831,2852,94.1,0.3,63401,2852,5.9,0.3,1017831,2852,94.1,0.3,671384,4029,62.1,0.4,97035,1593,9.0,0.1,5482,658,0.5,0.1,902,349,0.1,0.1,55,63,0.0,0.1,424,250,0.0,0.1,157,104,0.0,0.1,161381,2103,14.9,0.2,26446,2111,2.4,0.2,44002,2181,4.1,0.2,51256,2503,4.7,0.2,7534,755,0.7,0.1,9001,1092,0.8,0.1,7584,985,0.7,0.1,15558,1177,1.4,0.1,5133,389,0.5,0.1,859,283,0.1,0.1,707,325,0.1,0.1,827,319,0.1,0.1,2740,666,0.3,0.1,77416,3924,7.2,0.4,63401,2852,5.9,0.3,8051,963,0.7,0.1,7116,652,0.7,0.1,22430,1797,2.1,0.2,2396,617,0.2,0.1,1081232,,1081232,,721452,4434,66.7,0.4,115172,1371,10.7,0.1,18379,1163,1.7,0.1,194679,1047,18.0,0.1,12370,1320,1.1,0.1,88917,4089,8.2,0.4,1081232,,1081232,,267859,,24.8,,187773,3537,17.4,0.3,7841,1023,0.7,0.1,2140,632,0.2,0.1,70105,3345,6.5,0.3,813373,,75.2,,503515,478,46.6,0.1,93141,1132,8.6,0.1,3002,358,0.3,0.1,159608,2109,14.8,0.2,4809,313,0.4,0.1,3151,620,0.3,0.1,46147,2301,4.3,0.2,1709,448,0.2,0.1,44438,2381,4.1,0.2,403449,293,,
0500000US06015,06015,"Del Norte County, California",28066,,28066,,15563,185,55.5,0.7,12503,185,44.5,0.7,1787,202,6.4,0.7,1595,256,5.7,0.9,1538,238,5.5,0.8,1834,234,6.5,0.8,1962,190,7.0,0.7,3772,246,13.4,0.9,3217,226,11.5,0.8,4415,193,15.7,0.7,1985,214,7.1,0.8,1809,232,6.4,0.8,2515,165,9.0,0.6,1122,128,4.0,0.5,515,118,1.8,0.4,39.2,0.8,,,22082,129,78.7,0.5,20991,219,74.8,0.8,5205,249,18.5,0.9,4152,149,14.8,0.5,22082,129,22082,,12296,174,55.7,0.6,9786,117,44.3,0.6,4152,149,4152,,2015,150,48.5,2.1,2137,56,51.5,2.1,28066,,28066,,25602,351,91.2,1.3,2464,351,8.8,1.3,25602,351,91.2,1.3,21437,355,76.4,1.3,1007,167,3.6,0.6,1407,240,5.0,0.9,22,24,0.1,0.1,12,20,0.0,0.1,0,23,0.0,0.1,6,9,0.0,0.1,602,127,2.1,0.5,55,98,0.2,0.3,69,85,0.2,0.3,229,105,0.8,0.4,0,23,0.0,0.1,20,39,0.1,0.1,41,39,0.1,0.1,188,92,0.7,0.3,46,17,0.2,0.1,2,4,0.0,0.1,23,16,0.1,0.1,13,14,0.0,0.1,8,8,0.0,0.1,1103,275,3.9,1.0,2464,351,8.8,1.3,128,138,0.5,0.5,1338,215,4.8,0.8,550,141,2.0,0.5,32,26,0.1,0.1,28066,,28066,,23674,462,84.4,1.6,1329,131,4.7,0.5,3011,207,10.7,0.7,1299,77,4.6,0.3,164,93,0.6,0.3,1316,285,4.7,1.0,28066,,28066,,5231,,18.6,,4838,136,17.2,0.5,136,90,0.5,0.3,22,32,0.1,0.1,235,101,0.8,0.4,22835,,81.4,,17906,33,63.8,0.1,991,166,3.5,0.6,1232,193,4.4,0.7,594,127,2.1,0.5,46,17,0.2,0.1,35,33,0.1,0.1,2031,312,7.2,1.1,15,18,0.1,0.1,2016,312,7.2,1.1,11270,228,,
0500000US06017,06017,"El Dorado County, California",181465,,181465,,90744,183,50.0,0.1,90721,183,50.0,0.1,8634,173,4.8,0.1,11200,560,6.2,0.3,11736,559,6.5,0.3,12172,200,6.7,0.1,9885,192,5.4,0.1,17349,203,9.6,0.1,20927,196,11.5,0.1,30246,208,16.7,0.1,15692,623,8.6,0.3,14058,598,7.7,0.3,17746,115,9.8,0.1,8319,434,4.6,0.2,3501,422,1.9,0.2,44.4,0.2,,,142010,120,78.3,0.1,135125,448,74.5,0.2,37707,545,20.8,0.3,29566,110,16.3,0.1,142010,120,142010,,70534,94,49.7,0.1,71476,107,50.3,0.1,29566,110,29566,,14085,46,47.6,0.2,15481,96,52.4,0.2,181465,,181465,,175221,701,96.6,0.4,6244,701,3.4,0.4,175221,701,96.6,0.4,158367,924,87.3,0.5,1781,297,1.0,0.2,1629,482,0.9,0.3,251,120,0.1,0.1,42,62,0.0,0.1,43,44,0.0,0.1,1,3,0.0,0.1,6885,454,3.8,0.3,1942,584,1.1,0.3,892,303,0.5,0.2,2526,634,1.4,0.3,425,147,0.2,0.1,408,228,0.2,0.1,411,296,0.2,0.2,281,185,0.2,0.1,191,122,0.1,0.1,18,22,0.0,0.1,20,32,0.0,0.1,3,5,0.0,0.1,150,121,0.1,0.1,6368,824,3.5,0.5,6244,701,3.4,0.4,514,234,0.3,0.1,1953,345,1.1,0.2,2036,447,1.1,0.2,226,207,0.1,0.1,181465,,181465,,164051,1132,90.4,0.6,2809,299,1.5,0.2,3977,349,2.2,0.2,9411,169,5.2,0.1,777,183,0.4,0.1,7139,825,3.9,0.5,181465,,181465,,22411,,12.4,,18572,507,10.2,0.3,685,266,0.4,0.1,139,119,0.1,0.1,3015,469,1.7,0.3,159054,,87.6,,143978,117,79.3,0.1,1533,225,0.8,0.1,1160,322,0.6,0.2,6780,435,3.7,0.2,191,122,0.1,0.1,76,75,0.0,0.1,5336,609,2.9,0.3,151,103,0.1,0.1,5185,607,2.9,0.3,88496,122,,
0500000US06019,06019,"Fresno County, California",948844,,948844,,473427,43,49.9,0.1,475417,43,50.1,0.1,79613,45,8.4,0.1,78352,1580,8.3,0.2,73801,1590,7.8,0.2,75832,123,8.0,0.1,78538,129,8.3,0.1,137867,77,14.5,0.1,115496,72,12.2,0.1,114615,77,12.1,0.1,50041,1041,5.3,0.1,44125,1038,4.7,0.1,55379,52,5.8,0.1,30364,722,3.2,0.1,14821,721,1.6,0.1,31.2,0.2,,,671017,,70.7,,624350,900,65.8,0.1,125852,869,13.3,0.1,100564,48,10.6,0.1,671017,,671017,,331642,,49.4,,339375,,50.6,,100564,48,100564,,44292,27,44.0,0.1,56272,29,56.0,0.1,948844,,948844,,909430,2570,95.8,0.3,39414,2570,4.2,0.3,909430,2570,95.8,0.3,555967,5812,58.6,0.6,48276,850,5.1,0.1,9890,1047,1.0,0.1,618,284,0.1,0.1,0,29,0.0,0.1,193,135,0.0,0.1,156,139,0.0,0.1,92096,1210,9.7,0.1,16342,1701,1.7,0.2,6873,912,0.7,0.1,10007,1169,1.1,0.1,4915,599,0.5,0.1,1803,440,0.2,0.1,3597,780,0.4,0.1,48559,1800,5.1,0.2,1710,364,0.2,0.1,253,167,0.0,0.1,289,305,0.0,0.1,636,250,0.1,0.1,532,199,0.1,0.1,201491,5684,21.2,0.6,39414,2570,4.2,0.3,4939,733,0.5,0.1,8306,901,0.9,0.1,6364,872,0.7,0.1,640,337,0.1,0.1,948844,,948844,,587505,5688,61.9,0.6,57682,991,6.1,0.1,21735,1625,2.3,0.2,104664,795,11.0,0.1,4238,664,0.4,0.1,215729,5938,22.7,0.6,948844,,948844,,485914,,51.2,,456262,1951,48.1,0.2,3694,682,0.4,0.1,687,259,0.1,0.1,25271,1846,2.7,0.2,462930,,48.8,,300279,601,31.6,0.1,45398,628,4.8,0.1,4635,413,0.5,0.1,90465,1053,9.5,0.1,1291,143,0.1,0.1,1762,581,0.2,0.1,19100,1301,2.0,0.1,1890,667,0.2,0.1,17210,1291,1.8,0.1,319912,299,,
