GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC04_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC04_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104,HC01_VC108,HC02_VC108,HC03_VC108,HC04_VC108,HC01_VC109,HC02_VC109,HC03_VC109,HC04_VC109,HC01_VC110,HC02_VC110,HC03_VC110,HC04_VC110
0500000US06001,06001,"Alameda County, California",1605217,,1605217,,786730,51,49.0,0.1,818487,51,51.0,0.1,97572,,6.1,,97295,1419,6.1,0.1,94149,1418,5.9,0.1,95047,43,5.9,0.1,107875,43,6.7,0.1,256823,,16.0,,237847,,14.8,,225126,,14.0,,104823,1426,6.5,0.1,88961,1427,5.5,0.1,115361,,7.2,,56825,903,3.5,0.1,27513,903,1.7,0.1,37.2,0.1,,,1261005,,78.6,,1201426,967,74.8,0.1,251302,1136,15.7,0.1,199699,,12.4,,1261005,,1261005,,610946,,48.4,,650059,,51.6,,199699,,199699,,86820,,43.5,,112879,,56.5,,1605217,,1605217,,1503177,3022,93.6,0.2,102040,3022,6.4,0.2,1503177,3022,93.6,0.2,703973,3959,43.9,0.2,182092,1491,11.3,0.1,10176,939,0.6,0.1,753,181,0.0,0.1,110,52,0.0,0.1,323,142,0.0,0.1,277,105,0.0,0.1,452582,1592,28.2,0.1,102241,2904,6.4,0.2,159609,3243,9.9,0.2,87738,3295,5.5,0.2,12673,995,0.8,0.1,18859,1594,1.2,0.1,34419,2492,2.1,0.2,37043,2383,2.3,0.1,13811,318,0.9,0.1,2447,443,0.2,0.1,1789,384,0.1,0.1,3281,517,0.2,0.1,6294,609,0.4,0.1,140543,3974,8.8,0.2,102040,3022,6.4,0.2,14329,1089,0.9,0.1,6919,793,0.4,0.1,36579,1561,2.3,0.1,3278,719,0.2,0.1,1605217,,1605217,,783725,4023,48.8,0.3,213147,1498,13.3,0.1,26952,1456,1.7,0.1,507642,1159,31.6,0.1,24217,1107,1.5,0.1,162821,4008,10.1,0.2,1605217,,1605217,,362070,,22.6,,270297,3728,16.8,0.2,11373,1074,0.7,0.1,2567,483,0.2,0.1,77833,3424,4.8,0.2,1243147,,77.4,,523797,541,32.6,0.1,176819,1344,11.0,0.1,4959,325,0.3,0.1,449676,1640,28.0,0.1,13223,300,0.8,0.1,4524,752,0.3,0.1,70149,2328,4.4,0.1,3836,631,0.2,0.1,66313,2218,4.1,0.1,592796,480,,,1040380,4007,1040380,,500155,2222,48.1,0.1,540225,2470,51.9,0.1
0500000US06003,06003,"Alpine County, California",1184,191,1184,,692,124,58.4,3.8,492,88,41.6,3.8,51,18,4.3,1.5,58,26,4.9,2.0,75,34,6.3,2.5,129,45,10.9,3.5,81,33,6.8,2.8,106,49,9.0,3.9,132,47,11.1,3.4,129,35,10.9,2.8,95,58,8.0,4.2,82,28,6.9,2.3,150,54,12.7,4.1,83,47,7.0,3.8,13,18,1.1,1.4,42.8,5.8,,,910,155,76.9,4.5,837,150,70.7,6.1,292,84,24.7,5.9,246,82,20.8,5.9,910,155,910,,526,96,57.8,3.9,384,75,42.2,3.9,246,82,246,,136,51,55.3,10.2,110,45,44.7,10.2,1184,191,1184,,1100,187,92.9,3.7,84,45,7.1,3.7,1100,187,92.9,3.7,857,173,72.4,4.8,10,15,0.8,1.2,224,62,18.9,5.3,5,12,0.4,1.0,0,12,0.0,2.7,0,12,0.0,2.7,4,5,0.3,0.4,9,13,0.8,1.1,0,12,0.0,2.7,0,12,0.0,2.7,4,6,0.3,0.6,0,12,0.0,2.7,0,12,0.0,2.7,5,12,0.4,1.0,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,0,12,0.0,2.7,84,45,7.1,3.7,0,12,0.0,2.7,46,30,3.9,2.5,12,18,1.0,1.5,0,12,0.0,2.7,1184,191,1184,,928,182,78.4,5.3,16,23,1.4,1.9,290,58,24.5,5.0,40,31,3.4,2.5,0,12,0.0,2.7,7,8,0.6,0.6,1184,191,1184,,92,54,7.8,4.1,70,44,5.9,3.5,8,14,0.7,1.1,0,12,0.0,2.7,14,18,1.2,1.4,1092,177,92.2,4.1,804,164,67.9,5.5,10,15,0.8,1.2,224,62,18.9,5.3,9,13,0.8,1.1,0,12,0.0,2.7,0,12,0.0,2.7,45,32,3.8,2.7,0,12,0.0,2.7,45,32,3.8,2.7,1771,43,,,894,154,894,,512,95,57.3,4.1,382,75,42.7,4.1
0500000US06005,06005,"Amador County, California",36963,,36963,,19839,125,53.7,0.3,17124,125,46.3,0.3,1392,44,3.8,0.1,1616,175,4.4,0.5,1620,171,4.4,0.5,1944,129,5.3,0.3,1645,100,4.5,0.3,3476,166,9.4,0.4,3991,158,10.8,0.4,5587,170,15.1,0.5,3069,293,8.3,0.8,3481,286,9.4,0.8,5627,88,15.2,0.2,2406,176,6.5,0.5,1109,181,3.0,0.5,50.3,0.2,,,31218,33,84.5,0.1,30048,166,81.3,0.4,11289,267,30.5,0.7,9142,81,24.7,0.2,31218,33,31218,,16894,71,54.1,0.2,14324,60,45.9,0.2,9142,81,9142,,4443,52,48.6,0.5,4699,70,51.4,0.5,36963,,36963,,35615,281,96.4,0.8,1348,281,3.6,0.8,35615,281,96.4,0.8,32039,295,86.7,0.8,898,120,2.4,0.3,502,132,1.4,0.4,109,93,0.3,0.3,26,22,0.1,0.1,16,19,0.0,0.1,24,36,0.1,0.1,547,96,1.5,0.3,25,32,0.1,0.1,59,51,0.2,0.1,174,78,0.5,0.2,9,11,0.0,0.1,39,45,0.1,0.1,6,8,0.0,0.1,235,134,0.6,0.4,76,48,0.2,0.1,54,46,0.1,0.1,0,25,0.0,0.1,4,7,0.0,0.1,18,23,0.0,0.1,1553,352,4.2,1.0,1348,281,3.6,0.8,90,69,0.2,0.2,862,251,2.3,0.7,123,85,0.3,0.2,0,25,0.0,0.1,36963,,36963,,33293,386,90.1,1.0,1099,138,3.0,0.4,1420,216,3.8,0.6,764,69,2.1,0.2,158,42,0.4,0.1,1640,344,4.4,0.9,36963,,36963,,4822,,13.0,,3987,270,10.8,0.7,119,71,0.3,0.2,28,30,0.1,0.1,688,263,1.9,0.7,32141,,87.0,,29436,7,79.6,0.1,860,116,2.3,0.3,458,124,1.2,0.3,521,96,1.4,0.3,72,48,0.2,0.1,4,7,0.0,0.1,790,193,2.1,0.5,0,25,0.0,0.1,790,193,2.1,0.5,18203,169,,,30238,222,30238,,16225,208,53.7,0.4,14013,95,46.3,0.4
0500000US06007,06007,"Butte County, California",223877,,223877,,110926,147,49.5,0.1,112951,147,50.5,0.1,12220,46,5.5,0.1,13202,635,5.9,0.3,12142,627,5.4,0.3,15752,107,7.0,0.1,26166,129,11.7,0.1,27381,163,12.2,0.1,23191,202,10.4,0.1,25984,157,11.6,0.1,15264,575,6.8,0.3,14430,575,6.4,0.3,21215,99,9.5,0.1,11445,385,5.1,0.2,5485,395,2.5,0.2,36.9,0.2,,,178405,102,79.7,0.1,165209,688,73.8,0.3,46377,483,20.7,0.2,38145,49,17.0,0.1,178405,102,178405,,87559,108,49.1,0.1,90846,68,50.9,0.1,38145,49,38145,,16967,49,44.5,0.1,21178,3,55.5,0.1,223877,,223877,,210188,904,93.9,0.4,13689,904,6.1,0.4,210188,904,93.9,0.4,186105,981,83.1,0.4,3366,314,1.5,0.1,2445,372,1.1,0.2,126,67,0.1,0.1,3,4,0.0,0.1,92,93,0.0,0.1,76,53,0.0,0.1,9651,443,4.3,0.2,767,355,0.3,0.2,1053,313,0.5,0.1,1198,305,0.5,0.1,350,123,0.2,0.1,223,126,0.1,0.1,330,166,0.1,0.1,5730,623,2.6,0.3,457,173,0.2,0.1,127,91,0.1,0.1,38,58,0.0,0.1,108,78,0.0,0.1,184,137,0.1,0.1,8164,933,3.6,0.4,13689,904,6.1,0.4,1810,332,0.8,0.1,5830,471,2.6,0.2,2378,425,1.1,0.2,106,79,0.0,0.1,223877,,223877,,199109,1158,88.9,0.5,6005,318,2.7,0.1,9361,521,4.2,0.2,12901,228,5.8,0.1,1335,214,0.6,0.1,9990,957,4.5,0.4,223877,,223877,,34503,,15.4,,29290,629,13.1,0.3,483,185,0.2,0.1,255,183,0.1,0.1,4475,611,2.0,0.3,189374,,84.6,,164398,199,73.4,0.1,3279,312,1.5,0.1,1553,222,0.7,0.1,9497,436,4.2,0.2,380,155,0.2,0.1,340,187,0.2,0.1,9927,644,4.4,0.3,183,126,0.1,0.1,9744,626,4.4,0.3,97513,307,,,170635,770,170635,,83441,529,48.9,0.2,87194,438,51.1,0.2
0500000US06009,06009,"Calaveras County, California",44787,,44787,,22156,158,49.5,0.4,22631,158,50.5,0.4,1827,57,4.1,0.1,2551,280,5.7,0.6,1973,280,4.4,0.6,2590,157,5.8,0.3,1993,148,4.4,0.3,3779,196,8.4,0.4,4043,210,9.0,0.5,6346,218,14.2,0.5,4276,461,9.5,1.0,4164,468,9.3,1.0,7064,205,15.8,0.5,3093,236,6.9,0.5,1088,205,2.4,0.5,51.2,0.4,,,36745,104,82.0,0.2,35435,198,79.1,0.4,13819,451,30.9,1.0,11245,211,25.1,0.5,36745,104,36745,,18113,114,49.3,0.3,18632,98,50.7,0.3,11245,211,11245,,5535,107,49.2,0.9,5710,171,50.8,0.9,44787,,44787,,43012,311,96.0,0.7,1775,311,4.0,0.7,43012,311,96.0,0.7,41304,229,92.2,0.5,258,119,0.6,0.3,453,231,1.0,0.5,89,58,0.2,0.1,9,15,0.0,0.1,0,25,0.0,0.1,0,25,0.0,0.1,448,99,1.0,0.2,0,25,0.0,0.1,104,85,0.2,0.2,137,90,0.3,0.2,54,49,0.1,0.1,53,40,0.1,0.1,3,7,0.0,0.1,97,75,0.2,0.2,155,179,0.3,0.4,4,9,0.0,0.1,0,25,0.0,0.1,118,170,0.3,0.4,33,53,0.1,0.1,394,158,0.9,0.4,1775,311,4.0,0.7,264,120,0.6,0.3,817,243,1.8,0.5,489,127,1.1,0.3,38,54,0.1,0.1,44787,,44787,,42979,334,96.0,0.7,607,101,1.4,0.2,1310,217,2.9,0.5,1002,51,2.2,0.1,197,186,0.4,0.4,481,186,1.1,0.4,44787,,44787,,5028,,11.2,,4207,260,9.4,0.6,115,119,0.3,0.3,24,30,0.1,0.1,682,225,1.5,0.5,39759,,88.8,,36857,54,82.3,0.1,256,120,0.6,0.3,400,216,0.9,0.5,448,99,1.0,0.2,155,179,0.3,0.4,33,52,0.1,0.1,1610,271,3.6,0.6,7,11,0.0,0.1,1603,270,3.6,0.6,28104,79,,,35474,436,35474,,17553,237,49.5,0.4,17921,264,50.5,0.4
0500000US06011,06011,"Colusa County, California",21361,,21361,,11097,77,51.9,0.4,10264,77,48.1,0.4,1574,25,7.4,0.1,1660,136,7.8,0.6,1740,153,8.1,0.7,1528,66,7.2,0.3,1467,75,6.9,0.3,2794,67,13.1,0.3,2504,46,11.7,0.2,2723,61,12.7,0.3,1400,175,6.6,0.8,1191,175,5.6,0.8,1669,75,7.8,0.4,902,83,4.2,0.4,209,79,1.0,0.4,34.7,0.3,,,15425,76,72.2,0.4,14448,150,67.6,0.7,3523,157,16.5,0.7,2780,55,13.0,0.3,15425,76,15425,,8003,87,51.9,0.4,7422,57,48.1,0.4,2780,55,2780,,1356,49,48.8,1.0,1424,28,51.2,1.0,21361,,21361,,20743,220,97.1,1.0,618,220,2.9,1.0,20743,220,97.1,1.0,18721,440,87.6,2.1,222,72,1.0,0.3,211,77,1.0,0.4,14,24,0.1,0.1,0,22,0.0,0.2,0,22,0.0,0.2,0,22,0.0,0.2,346,37,1.6,0.2,118,145,0.6,0.7,30,29,0.1,0.1,66,85,0.3,0.4,40,40,0.2,0.2,29,43,0.1,0.2,19,23,0.1,0.1,44,50,0.2,0.2,20,18,0.1,0.1,3,4,0.0,0.1,0,22,0.0,0.2,0,22,0.0,0.2,17,17,0.1,0.1,1223,397,5.7,1.9,618,220,2.9,1.0,140,99,0.7,0.5,202,106,0.9,0.5,72,69,0.3,0.3,0,22,0.0,0.2,21361,,21361,,19287,449,90.3,2.1,424,122,2.0,0.6,521,117,2.4,0.5,446,62,2.1,0.3,42,37,0.2,0.2,1343,420,6.3,2.0,21361,,21361,,12351,,57.8,,11668,240,54.6,1.1,60,86,0.3,0.4,23,38,0.1,0.2,600,224,2.8,1.0,9010,,42.2,,7881,22,36.9,0.2,212,67,1.0,0.3,191,74,0.9,0.3,346,37,1.6,0.2,20,18,0.1,0.1,51,55,0.2,0.3,309,136,1.4,0.6,0,22,0.0,0.2,309,136,1.4,0.6,7939,52,,,12229,410,12229,,6201,264,50.7,1.2,6028,235,49.3,1.2
0500000US06013,06013,"Contra Costa County, California",1107925,,1107925,,540671,84,48.8,0.1,567254,84,51.2,0.1,65295,,5.9,,74595,1355,6.7,0.1,74705,1355,6.7,0.1,72546,126,6.5,0.1,67904,125,6.1,0.1,138690,,12.5,,149266,93,13.5,0.1,164966,92,14.9,0.1,76597,1294,6.9,0.1,65998,1289,6.0,0.1,90980,104,8.2,0.1,44847,807,4.0,0.1,21536,819,1.9,0.1,39.1,0.1,,,847260,,76.5,,807541,834,72.9,0.1,196289,968,17.7,0.1,157363,76,14.2,0.1,847260,,847260,,407731,,48.1,,439529,,51.9,,157363,76,157363,,68713,76,43.7,0.1,88650,,56.3,0.1,1107925,,1107925,,1036826,2933,93.6,0.3,71099,2933,6.4,0.3,1036826,2933,93.6,0.3,661857,3637,59.7,0.3,97032,1612,8.8,0.1,5447,817,0.5,0.1,692,327,0.1,0.1,27,25,0.0,0.1,375,149,0.0,0.1,58,63,0.0,0.1,171853,1733,15.5,0.2,29570,1799,2.7,0.2,47272,1844,4.3,0.2,50482,2724,4.6,0.2,7436,657,0.7,0.1,8916,1058,0.8,0.1,8227,1190,0.7,0.1,19950,1483,1.8,0.1,5511,347,0.5,0.1,730,244,0.1,0.1,547,240,0.0,0.1,1100,614,0.1,0.1,3134,632,0.3,0.1,95126,3555,8.6,0.3,71099,2933,6.4,0.3,9169,1069,0.8,0.1,7866,743,0.7,0.1,24601,1545,2.2,0.1,2802,610,0.3,0.1,1107925,,1107925,,718062,4404,64.8,0.4,117896,1355,10.6,0.1,20184,1423,1.8,0.1,208641,1060,18.8,0.1,12807,1143,1.2,0.1,109004,3646,9.8,0.3,1107925,,1107925,,277676,,25.1,,191840,3618,17.3,0.3,8768,1340,0.8,0.1,1953,472,0.2,0.1,75115,3674,6.8,0.3,830249,,74.9,,504792,632,45.6,0.1,93809,1314,8.5,0.1,2823,408,0.3,0.1,169695,1694,15.3,0.2,5177,271,0.5,0.1,3485,833,0.3,0.1,50468,2312,4.6,0.2,1694,451,0.2,0.1,48774,2326,4.4,0.2,406803,276,,,730753,3264,730753,,348293,1927,47.7,0.1,382460,1782,52.3,0.1
0500000US06015,06015,"Del Norte County, California",27628,,27628,,15168,144,54.9,0.5,12460,144,45.1,0.5,1631,146,5.9,0.5,1594,192,5.8,0.7,1604,220,5.8,0.8,1644,189,6.0,0.7,1761,223,6.4,0.8,4082,226,14.8,0.8,3336,186,12.1,0.7,3886,165,14.1,0.6,2039,210,7.4,0.8,1829,196,6.6,0.7,2523,104,9.1,0.4,1135,154,4.1,0.6,564,138,2.0,0.5,38.1,0.6,,,21773,,78.8,,20734,179,75.0,0.6,5224,209,18.9,0.8,4222,91,15.3,0.3,21773,,21773,,12140,43,55.8,0.2,9633,44,44.2,0.2,4222,91,4222,,2036,59,48.2,0.5,2186,41,51.8,0.5,27628,,27628,,25332,370,91.7,1.3,2296,370,8.3,1.3,25332,370,91.7,1.3,21485,301,77.8,1.1,642,141,2.3,0.5,1834,321,6.6,1.2,187,194,0.7,0.7,10,15,0.0,0.1,0,22,0.0,0.1,0,22,0.0,0.1,672,147,2.4,0.5,29,56,0.1,0.2,9,11,0.0,0.1,228,105,0.8,0.4,19,25,0.1,0.1,17,30,0.1,0.1,54,38,0.2,0.1,316,167,1.1,0.6,31,30,0.1,0.1,16,20,0.1,0.1,0,22,0.0,0.1,1,3,0.0,0.1,14,19,0.1,0.1,668,219,2.4,0.8,2296,370,8.3,1.3,133,115,0.5,0.4,1233,274,4.5,1.0,516,146,1.9,0.5,41,35,0.1,0.1,27628,,27628,,23549,454,85.2,1.6,898,206,3.3,0.7,3392,285,12.3,1.0,1264,72,4.6,0.3,56,43,0.2,0.2,945,257,3.4,0.9,27628,,27628,,5326,,19.3,,4614,144,16.7,0.5,85,48,0.3,0.2,40,43,0.1,0.2,587,125,2.1,0.5,22302,,80.7,,17427,46,63.1,0.2,632,138,2.3,0.5,1671,286,6.0,1.0,650,143,2.4,0.5,31,30,0.1,0.1,41,37,0.1,0.1,1850,333,6.7,1.2,19,32,0.1,0.1,1831,329,6.6,1.2,11326,100,,,21065,146,21065,,11713,91,55.6,0.3,9352,109,44.4,0.3
0500000US06017,06017,"El Dorado County, California",183000,,183000,,91349,181,49.9,0.1,91651,181,50.1,0.1,8525,176,4.7,0.1,10814,521,5.9,0.3,11421,575,6.2,0.3,11792,210,6.4,0.1,10148,210,5.5,0.1,17832,184,9.7,0.1,20429,201,11.2,0.1,28382,189,15.5,0.1,16487,712,9.0,0.4,14459,736,7.9,0.4,19918,114,10.9,0.1,9164,369,5.0,0.2,3629,370,2.0,0.2,45.2,0.1,,,144594,115,79.0,0.1,137934,450,75.4,0.2,41607,680,22.7,0.4,32711,83,17.9,0.1,144594,115,144594,,71626,34,49.5,0.1,72968,108,50.5,0.1,32711,83,32711,,15653,4,47.9,0.1,17058,83,52.1,0.1,183000,,183000,,176586,682,96.5,0.4,6414,682,3.5,0.4,176586,682,96.5,0.4,159165,866,87.0,0.5,1784,253,1.0,0.1,1494,344,0.8,0.2,357,218,0.2,0.1,24,41,0.0,0.1,12,22,0.0,0.1,1,2,0.0,0.1,7596,362,4.2,0.2,1956,518,1.1,0.3,1483,422,0.8,0.2,2168,433,1.2,0.2,411,120,0.2,0.1,482,208,0.3,0.1,344,154,0.2,0.1,752,296,0.4,0.2,343,148,0.2,0.1,32,39,0.0,0.1,33,40,0.0,0.1,1,2,0.0,0.1,277,147,0.2,0.1,6204,871,3.4,0.5,6414,682,3.5,0.4,601,197,0.3,0.1,2310,379,1.3,0.2,1857,333,1.0,0.2,2,4,0.0,0.1,183000,,183000,,165044,939,90.2,0.5,2594,225,1.4,0.1,4133,252,2.3,0.1,10098,176,5.5,0.1,913,198,0.5,0.1,7062,896,3.9,0.5,183000,,183000,,22868,,12.5,,19171,625,10.5,0.3,462,205,0.3,0.1,121,68,0.1,0.1,3114,579,1.7,0.3,160132,,87.5,,144069,183,78.7,0.1,1576,185,0.9,0.1,1203,327,0.7,0.2,7542,360,4.1,0.2,331,147,0.2,0.1,235,167,0.1,0.1,5176,502,2.8,0.3,112,64,0.1,0.1,5064,505,2.8,0.3,88882,131,,,136940,707,136940,,68018,418,49.7,0.2,68922,457,50.3,0.2
0500000US06019,06019,"Fresno County, California",963160,,963160,,480527,85,49.9,0.1,482633,85,50.1,0.1,79212,,8.2,,79297,1477,8.2,0.2,74717,1477,7.8,0.2,73242,110,7.6,0.1,77556,92,8.1,0.1,142862,87,14.8,0.1,117078,60,12.2,0.1,113308,92,11.8,0.1,53070,1102,5.5,0.1,44893,1098,4.7,0.1,61323,57,6.4,0.1,31101,715,3.2,0.1,15501,715,1.6,0.1,31.6,0.1,,,684914,,71.1,,640290,768,66.5,0.1,132594,1056,13.8,0.1,107925,58,11.2,0.1,684914,,684914,,338517,,49.4,,346397,,50.6,,107925,58,107925,,47889,30,44.4,0.1,60036,38,55.6,0.1,963160,,963160,,925503,2388,96.1,0.2,37657,2388,3.9,0.2,925503,2388,96.1,0.2,593119,5140,61.6,0.5,48434,964,5.0,0.1,10034,1088,1.0,0.1,691,224,0.1,0.1,0,28,0.0,0.1,222,150,0.0,0.1,169,160,0.0,0.1,95558,1303,9.9,0.1,18997,1617,2.0,0.2,6110,880,0.6,0.1,9126,1005,0.9,0.1,5140,608,0.5,0.1,1987,404,0.2,0.1,4145,727,0.4,0.1,50053,1722,5.2,0.2,1868,418,0.2,0.1,409,271,0.0,0.1,313,288,0.0,0.1,450,227,0.0,0.1,696,191,0.1,0.1,176490,4735,18.3,0.5,37657,2388,3.9,0.2,4867,782,0.5,0.1,8555,1066,0.9,0.1,6759,848,0.7,0.1,542,163,0.1,0.1,963160,,963160,,624102,4678,64.8,0.5,57441,983,6.0,0.1,22138,1457,2.3,0.2,107804,708,11.2,0.1,4803,713,0.5,0.1,188115,5040,19.5,0.5,963160,,963160,,501136,,52.0,,469858,1909,48.8,0.2,3933,676,0.4,0.1,746,237,0.1,0.1,26599,1889,2.8,0.2,462024,,48.0,,296265,480,30.8,0.1,45506,696,4.7,0.1,4357,471,0.5,0.1,93878,1149,9.7,0.1,1255,157,0.1,0.1,1590,535,0.2,0.1,19173,1417,2.0,0.1,1388,602,0.1,0.1,17785,1302,1.8,0.1,323857,265,,,566161,2502,566161,,276472,1524,48.8,0.1,289689,1445,51.2,0.1
